# mass number (A) = 56
# number of protons (Z) = 26
#relative orbital quantum number l = 3
# k (1/fm)	relative two_body (fm^3)
0.0	0.0
0.02	1.2083661935e-09
0.04	7.69267785711e-08
0.06	8.68541074024e-07
0.08	4.82008477001e-06
0.1	1.80973012426e-05
0.12	5.29990649306e-05
0.14	0.000130612445465
0.16	0.000283427226144
0.18	0.000557613020401
0.2	0.00101467340834
0.22	0.00173222603682
0.24	0.00280371291097
0.26	0.00433691710345
0.28	0.00645124552741
0.3	0.00927382614304
0.32	0.0129345555264
0.34	0.0175603127965
0.36	0.0232686227527
0.38	0.0301611000264
0.4	0.0383170337437
0.42	0.0477874768388
0.44	0.058590185594
0.46	0.0707057146797
0.48	0.0840749138143
0.5	0.0985979982926
0.52	0.11413528198
0.54	0.130509573414
0.56	0.147510148911
0.58	0.164898136323
0.6	0.182413073862
0.62	0.199780354007
0.64	0.216719225368
0.66	0.232951007057
0.68	0.248207170531
0.7	0.262236962185
0.72	0.274814274093
0.74	0.285743517272
0.76	0.294864308498
0.78	0.302054844042
0.8	0.307233898191
0.82	0.310361447309
0.84	0.311437978436
0.86	0.310502592222
0.88	0.307630051579
0.9	0.302926958318
0.92	0.296527259848
0.94	0.288587296767
0.96	0.279280600633
0.98	0.268792640523
1.0	0.257315698738
1.02	0.24504403194
1.04	0.232169445968
1.06	0.218877382432
1.08	0.205343584562
1.1	0.191731380284
1.12	0.178189593239
1.14	0.164851068476
1.16	0.151831779411
1.18	0.139230466766
1.2	0.127128748592
1.22	0.115591633034
1.24	0.10466836192
1.26	0.0943935129814
1.28	0.0847882911336
1.3	0.0758619440123
1.32	0.0676132434542
1.34	0.0600319820964
1.36	0.0531004423642
1.38	0.0467948033074
1.4	0.0410864587031
1.42	0.0359432272702
1.44	0.0313304425504
1.46	0.027211915868
1.48	0.0235507707267
1.5	0.020310151036
1.52	0.0174538086999
1.54	0.014946578436
1.56	0.0127547492883
1.58	0.0108463432696
1.6	0.00919131200468
1.62	0.00776166226512
1.64	0.00653152096341
1.66	0.00547714961304
1.68	0.00457691752526
1.7	0.00381124217138
1.72	0.00316250424148
1.74	0.00261494401895
1.76	0.00215454479542
1.78	0.00176890819657
1.8	0.00144712549107
1.82	0.0011796482233
1.84	0.000958160850037
1.86	0.000775457474897
1.88	0.000625324260022
1.9	0.00050242865069
1.92	0.000402216170234
1.94	0.000320815225726
1.96	0.000254950103583
1.98	0.000201862123197
2.0	0.000159238750376
2.02	0.000125150345216
2.04	9.79941260255e-05
2.06	7.64448669766e-05
2.08	5.94118078243e-05
2.1	4.60012350352e-05
2.12	3.54841911849e-05
2.14	2.72687800865e-05
2.16	2.08765557409e-05
2.18	1.59225111909e-05
2.2	1.20982164244e-05
2.22	9.1576906646e-06
2.24	6.9056321041e-06
2.26	5.18766608279e-06
2.28	3.88230986017e-06
2.3	2.89438771107e-06
2.32	2.14966353035e-06
2.34	1.59048909162e-06
2.36	1.17229435435e-06
2.38	8.60771663653e-07
2.4	6.29628350434e-07
2.42	4.58802204986e-07
2.44	3.3305171033e-07
2.46	2.40847964894e-07
2.48	1.73508104312e-07
2.5	1.24520965834e-07
2.52	8.90249442942e-08
2.54	6.34056779797e-08
2.56	4.49875768964e-08
2.58	3.17984508833e-08
2.6	2.23907799972e-08
2.62	1.57066459023e-08
2.64	1.09761441455e-08
2.66	7.64133936422e-09
2.68	5.29960856491e-09
2.7	3.66162663838e-09
2.72	2.5203547765e-09
2.74	1.72825607844e-09
2.76	1.18063264517e-09
2.78	8.0349519709e-10
2.8	5.44772458443e-10
2.82	3.67969607812e-10
2.84	2.47614070655e-10
2.86	1.65999542402e-10
2.88	1.10868538095e-10
2.9	7.37702550763e-11
2.92	4.89020958287e-11
2.94	3.22959886166e-11
2.96	2.12493831676e-11
2.98	1.39290796642e-11
3.0	9.09658931679e-12
3.02	5.91856674198e-12
3.04	3.83652498853e-12
3.06	2.47767739203e-12
3.08	1.59418402198e-12
3.1	1.02192925427e-12
3.12	6.52669939626e-13
3.14	4.15296715478e-13
3.16	2.6327958765e-13
3.18	1.66292009274e-13
3.2	1.04646029384e-13
3.22	6.56104448981e-14
3.24	4.0984885646e-14
3.26	2.5508013611e-14
3.28	1.58173366604e-14
3.3	9.772271144e-15
3.32	6.01540265702e-15
3.34	3.68928785287e-15
3.36	2.25439809914e-15
3.38	1.37255727843e-15
3.4	8.32613984084e-16
3.42	5.03236139166e-16
3.44	3.03051449991e-16
3.46	1.81835571168e-16
3.48	1.08707811672e-16
3.5	6.47535481818e-17
3.52	3.84316261281e-17
3.54	2.27267728773e-17
3.56	1.33909699536e-17
3.58	7.86163666006e-18
3.6	4.59877296753e-18
3.62	2.68040503132e-18
3.64	1.55664542745e-18
3.66	9.0076426681e-19
3.68	5.19357142053e-19
3.7	2.98370510451e-19
3.72	1.70797622541e-19
3.74	9.74193368348e-20
3.76	5.53665182975e-20
3.78	3.13537300103e-20
3.8	1.76918159407e-20
3.82	9.94713554334e-21
3.84	5.57272094878e-21
3.86	3.11086662545e-21
3.88	1.73038006666e-21
3.9	9.59066672769e-22
3.92	5.29668850339e-22
3.94	2.91480524194e-22
3.96	1.59832558189e-22
3.98	8.73318517916e-23
4.0	4.75480699944e-23
#normalisation = 0.163659601521
#sigma**2 n(k)k**2 = 0.153520318291
#kurtosis n(k)k**2 = 2.90417550071
#skewness n(k)k**2 = 2.09720513038
