# mass number (A) = 12
# number of protons (Z) = 6
# k (1/fm)	cm two_body (fm^3)
0.0	0.405050503845
0.01	0.405064745794
0.02	0.405107465946
0.03	0.405178647213
0.04	0.405278261123
0.05	0.405406267833
0.06	0.40556261614
0.07	0.405747243509
0.08	0.405960076089
0.09	0.406201028752
0.1	0.40647000512
0.11	0.406766897605
0.12	0.407091587454
0.13	0.407443944796
0.14	0.407823828693
0.15	0.408231087195
0.16	0.408665557406
0.17	0.409127065542
0.18	0.409615427007
0.19	0.410130446463
0.2	0.410671917909
0.21	0.411239624762
0.22	0.411833339949
0.23	0.412452825991
0.24	0.413097835102
0.25	0.413768109286
0.26	0.414463380444
0.27	0.415183370475
0.28	0.415927791394
0.29	0.416696345442
0.3	0.417488725208
0.31	0.41830461375
0.32	0.419143684723
0.33	0.420005602511
0.34	0.420890022358
0.35	0.421796590508
0.36	0.422724944346
0.37	0.423674712542
0.38	0.424645515202
0.39	0.425636964017
0.4	0.426648662422
0.41	0.427680205751
0.42	0.428731181399
0.43	0.429801168991
0.44	0.430889740546
0.45	0.43199646065
0.46	0.43312088663
0.47	0.43426256873
0.48	0.435421050292
0.49	0.436595867939
0.5	0.437786551761
0.51	0.438992625499
0.52	0.44021360674
0.53	0.441449007107
0.54	0.442698332457
0.55	0.443961083077
0.56	0.445236753883
0.57	0.446524834624
0.58	0.447824810085
0.59	0.449136160292
0.6	0.450458360724
0.61	0.451790882517
0.62	0.453133192681
0.63	0.45448475431
0.64	0.455845026796
0.65	0.45721346605
0.66	0.458589524713
0.67	0.459972652381
0.68	0.46136229582
0.69	0.462757899193
0.7	0.464158904276
0.71	0.465564750685
0.72	0.466974876102
0.73	0.468388716495
0.74	0.469805706346
0.75	0.471225278878
0.76	0.472646866282
0.77	0.474069899941
0.78	0.475493810661
0.79	0.476918028897
0.8	0.478341984979
0.81	0.479765109346
0.82	0.481186832765
0.83	0.482606586567
0.84	0.484023802869
0.85	0.485437914803
0.86	0.486848356744
0.87	0.488254564533
0.88	0.489655975706
0.89	0.491052029718
0.9	0.492442168165
0.91	0.49382583501
0.92	0.495202476806
0.93	0.496571542913
0.94	0.497932485724
0.95	0.49928476088
0.96	0.500627827488
0.97	0.50196114834
0.98	0.503284190126
0.99	0.504596423646
1.0	0.505897324024
1.01	0.507186370917
1.02	0.508463048725
1.03	0.509726846793
1.04	0.510977259618
1.05	0.512213787052
1.06	0.5134359345
1.07	0.514643213121
1.08	0.515835140018
1.09	0.517011238436
1.1	0.518171037953
1.11	0.519314074663
1.12	0.520439891367
1.13	0.521548037754
1.14	0.52263807058
1.15	0.523709553845
1.16	0.524762058972
1.17	0.525795164972
1.18	0.526808458616
1.19	0.527801534601
1.2	0.528773995709
1.21	0.529725452969
1.22	0.530655525811
1.23	0.531563842218
1.24	0.532450038875
1.25	0.533313761316
1.26	0.534154664063
1.27	0.534972410766
1.28	0.535766674337
1.29	0.536537137083
1.3	0.537283490827
1.31	0.538005437039
1.32	0.538702686949
1.33	0.539374961666
1.34	0.540021992291
1.35	0.540643520019
1.36	0.541239296247
1.37	0.541809082673
1.38	0.54235265139
1.39	0.542869784977
1.4	0.543360276589
1.41	0.543823930035
1.42	0.544260559859
1.43	0.544669991417
1.44	0.545052060939
1.45	0.545406615605
1.46	0.545733513596
1.47	0.546032624159
1.48	0.546303827651
1.49	0.546547015597
1.5	0.546762090724
1.51	0.546948967004
1.52	0.54710756969
1.53	0.547237835342
1.54	0.547339711857
1.55	0.547413158485
1.56	0.547458145848
1.57	0.547474655952
1.58	0.547462682193
1.59	0.547422229361
1.6	0.547353313636
1.61	0.547255962583
1.62	0.547130215142
1.63	0.546976121609
1.64	0.546793743621
1.65	0.546583154126
1.66	0.546344437357
1.67	0.546077688797
1.68	0.545783015142
1.69	0.545460534259
1.7	0.545110375134
1.71	0.544732677828
1.72	0.544327593413
1.73	0.543895283918
1.74	0.543435922262
1.75	0.542949692182
1.76	0.542436788165
1.77	0.541897415364
1.78	0.541331789523
1.79	0.540740136883
1.8	0.540122694099
1.81	0.539479708138
1.82	0.538811436187
1.83	0.538118145545
1.84	0.53740011352
1.85	0.536657627315
1.86	0.535890983914
1.87	0.535100489965
1.88	0.534286461654
1.89	0.533449224582
1.9	0.532589113633
1.91	0.531706472839
1.92	0.530801655246
1.93	0.529875022767
1.94	0.528926946044
1.95	0.527957804296
1.96	0.526967985164
1.97	0.525957884565
1.98	0.524927906524
1.99	0.52387846302
2.0	0.522809973816
2.01	0.521722866292
2.02	0.520617575278
2.03	0.519494542876
2.04	0.518354218283
2.05	0.517197057613
2.06	0.516023523717
2.07	0.514834085991
2.08	0.513629220195
2.09	0.512409408259
2.1	0.511175138092
2.11	0.509926903385
2.12	0.508665203416
2.13	0.507390542848
2.14	0.506103431527
2.15	0.504804384281
2.16	0.503493920713
2.17	0.502172564989
2.18	0.500840845635
2.19	0.49949929532
2.2	0.498148450647
2.21	0.496788851936
2.22	0.495421043007
2.23	0.494045570967
2.24	0.492662985985
2.25	0.491273841078
2.26	0.489878691884
2.27	0.488478096446
2.28	0.487072614981
2.29	0.485662809665
2.3	0.4842492444
2.31	0.482832484594
2.32	0.481413096932
2.33	0.47999164915
2.34	0.478568709807
2.35	0.477144848062
2.36	0.475720633439
2.37	0.474296635606
2.38	0.472873424142
2.39	0.471451568313
2.4	0.470031636843
2.41	0.468614197685
2.42	0.467199817796
2.43	0.46578906291
2.44	0.464382497308
2.45	0.462980683599
2.46	0.46158418249
2.47	0.460193552561
2.48	0.458809350048
2.49	0.457432128612
2.5	0.456062439123
2.51	0.45470082944
2.52	0.453347844187
2.53	0.452004024541
2.54	0.450669908012
2.55	0.449346028228
2.56	0.448032914724
2.57	0.446731092728
2.58	0.445441082952
2.59	0.444163401381
2.6	0.442898559071
2.61	0.441647061943
2.62	0.440409410579
2.63	0.439186100023
2.64	0.437977619582
2.65	0.436784452633
2.66	0.435607076426
2.67	0.434445961897
2.68	0.433301573476
2.69	0.432174368902
2.7	0.431064799043
2.71	0.429973307712
2.72	0.428900331491
2.73	0.427846299556
2.74	0.426811633505
2.75	0.425796747191
2.76	0.424802046556
2.77	0.423827929466
2.78	0.422874785555
2.79	0.421942996068
2.8	0.421032933709
2.81	0.42014496249
2.82	0.419279437587
2.83	0.4184367052
2.84	0.417617102409
2.85	0.416820957046
2.86	0.416048587557
2.87	0.415300302881
2.88	0.414576402321
2.89	0.413877175427
2.9	0.413202901881
2.91	0.412553851384
2.92	0.411930283547
2.93	0.411332447788
2.94	0.410760583235
2.95	0.410214918625
2.96	0.409695672218
2.97	0.409203051703
2.98	0.408737254124
2.99	0.408298465793
3.0	0.40788686222
3.01	0.40750260804
3.02	0.40714585695
3.03	0.406816751646
3.04	0.406515423765
3.05	0.406241993835
3.06	0.405996571223
3.07	0.405779254097
3.08	0.405590129379
3.09	0.405429272716
3.1	0.405296748451
3.11	0.40519260959
3.12	0.405116897787
3.13	0.405069643327
3.14	0.40505086511
#normalisation = 0.999992733041
#sigma**2 n(k)k**2 = 0.425201364944
#kurtosis n(k)k**2 = -0.692560954855
#skewness n(k)k**2 = -5.22856897958e-05
