# mass number (A) = 4
# number of protons (Z) = 2
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
0.0	15.2388416852	15.2388416852	7.61942084259
0.05	15.1533424853	15.1533424853	7.57667124263
0.1	14.899712351	14.899712351	7.44985617551
0.15	14.4863939948	14.4863939948	7.2431969974
0.2	13.926938727	13.926938727	6.96346936348
0.25	13.2392688177	13.2392688177	6.61963440884
0.3	12.4447248649	12.4447248649	6.22236243247
0.35	11.5669687396	11.5669687396	5.78348436978
0.4	10.6308205631	10.6308205631	5.31541028157
0.45	9.66110889217	9.66110889217	4.83055444609
0.5	8.68160715427	8.68160715427	4.34080357713
0.55	7.71411743913	7.71411743913	3.85705871956
0.6	6.77774657133	6.77774657133	3.38887328566
0.65	5.88840088307	5.88840088307	2.94420044154
0.7	5.05850723863	5.05850723863	2.52925361931
0.75	4.29695045214	4.29695045214	2.14847522607
0.8	3.60920274864	3.60920274864	1.80460137432
0.85	2.99761032821	2.99761032821	1.4988051641
0.9	2.46179585943	2.46179585943	1.23089792972
0.95	1.99913379462	1.99913379462	0.999566897308
1.0	1.60525728006	1.60525728006	0.80262864003
1.05	1.27456033536	1.27456033536	0.637280167679
1.1	1.00066592955	1.00066592955	0.500332964775
1.15	0.776838589443	0.776838589443	0.388419294721
1.2	0.596328316489	0.596328316489	0.298164158245
1.25	0.452640111227	0.452640111227	0.226320055614
1.3	0.339729769866	0.339729769866	0.169864884933
1.35	0.252131516786	0.252131516786	0.126065758393
1.4	0.185026371244	0.185026371244	0.0925131856219
1.45	0.134261993101	0.134261993101	0.0671309965507
1.5	0.0963353127965	0.0963353127965	0.0481676563982
1.55	0.0683488004975	0.0683488004975	0.0341744002487
1.6	0.0479500700589	0.0479500700589	0.0239750350294
1.65	0.0332629343252	0.0332629343252	0.0166314671626
1.7	0.0228162798013	0.0228162798013	0.0114081399006
1.75	0.0154754067701	0.0154754067701	0.00773770338503
1.8	0.0103789226631	0.0103789226631	0.00518946133154
1.85	0.00688296311115	0.00688296311115	0.00344148155557
1.9	0.00451348051098	0.00451348051098	0.00225674025549
1.95	0.00292658178038	0.00292658178038	0.00146329089019
2.0	0.00187638832035	0.00187638832035	0.000938194160176
2.05	0.00118959119475	0.00118959119475	0.000594795597377
