# Mass = 0.0441503 Mev*(hbarc)^2/2 
# R = 2.88468 fm 
# a = 0.662 fm 
# V0 = 60.3766 MeV 
# RSO = 2.65574 fm 
# aSO = 0.662 fm 
# VSO = 33.0606 MeV fm^2
# l = 1 
# two_j = 3 
# two_t = 1 
# Energy = -16.0634 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	452898
0.012398 	294617
0.014796 	206836
0.017194 	153148
0.019592 	117937
0.02199 	93603.4
0.024388 	76088.6
0.026786 	63063.7
0.029184 	53115.7
0.031582 	45346.5
0.03398 	39163.5
0.036378 	34162.4
0.038776 	30060.3
0.041174 	26653.8
0.043572 	23794.1
0.04597 	21370.2
0.048368 	19297.8
0.050766 	17512.2
0.053164 	15962.6
0.055562 	14609.4
0.05796 	13420.6
0.060358 	12370.8
0.062756 	11438.9
0.065154 	10608.1
0.067552 	9864.12
0.06995 	9195.38
0.072348 	8592.04
0.074746 	8045.83
0.077144 	7549.77
0.079542 	7097.9
0.08194 	6685.13
0.084338 	6307.06
0.086736 	5959.92
0.089134 	5640.43
0.091532 	5345.72
0.09393 	5073.29
0.096328 	4820.96
0.098726 	4586.79
0.101124 	4369.09
0.103522 	4166.34
0.10592 	3977.21
0.108318 	3800.5
0.110716 	3635.15
0.113114 	3480.21
0.115512 	3334.82
0.11791 	3198.21
0.120308 	3069.69
0.122706 	2948.63
0.125104 	2834.47
0.127502 	2726.69
0.1299 	2624.82
0.132298 	2528.45
0.134696 	2437.17
0.137094 	2350.65
0.139492 	2268.55
0.14189 	2190.58
0.144288 	2116.46
0.146686 	2045.95
0.149084 	1978.82
0.151482 	1914.85
0.15388 	1853.85
0.156278 	1795.64
0.158676 	1740.04
0.161074 	1686.91
0.163472 	1636.11
0.16587 	1587.49
0.168268 	1540.93
0.170666 	1496.33
0.173064 	1453.56
0.175462 	1412.54
0.17786 	1373.17
0.180258 	1335.36
0.182656 	1299.02
0.185054 	1264.1
0.187452 	1230.5
0.18985 	1198.17
0.192248 	1167.04
0.194646 	1137.06
0.197044 	1108.16
0.199442 	1080.31
0.20184 	1053.43
0.204238 	1027.5
0.206636 	1002.47
0.209034 	978.296
0.211432 	954.939
0.21383 	932.364
0.216228 	910.536
0.218626 	889.422
0.221024 	868.993
0.223422 	849.217
0.22582 	830.069
0.228218 	811.522
0.230616 	793.55
0.233014 	776.131
0.235412 	759.242
0.23781 	742.861
0.240208 	726.969
0.242606 	711.545
0.245004 	696.573
0.247402 	682.034
0.2498 	667.912
0.252198 	654.192
0.254596 	640.857
0.256994 	627.894
0.259392 	615.289
0.26179 	603.03
0.264188 	591.102
0.266586 	579.496
0.268984 	568.198
0.271382 	557.199
0.27378 	546.488
0.276178 	536.055
0.278576 	525.891
0.280974 	515.985
0.283372 	506.331
0.28577 	496.918
0.288168 	487.74
0.290566 	478.788
0.292964 	470.055
0.295362 	461.535
0.29776 	453.219
0.300158 	445.102
0.302556 	437.178
0.304954 	429.44
0.307352 	421.882
0.30975 	414.5
0.312148 	407.287
0.314546 	400.238
0.316944 	393.35
0.319342 	386.616
0.32174 	380.032
0.324138 	373.593
0.326536 	367.297
0.328934 	361.137
0.331332 	355.111
0.33373 	349.215
0.336128 	343.444
0.338526 	337.796
0.340924 	332.267
0.343322 	326.853
0.34572 	321.552
0.348118 	316.36
0.350516 	311.274
0.352914 	306.292
0.355312 	301.41
0.35771 	296.627
0.360108 	291.938
0.362506 	287.343
0.364904 	282.838
0.367302 	278.421
0.3697 	274.09
0.372098 	269.842
0.374496 	265.676
0.376894 	261.589
0.379292 	257.58
0.38169 	253.646
0.384088 	249.786
0.386486 	245.997
0.388884 	242.279
0.391282 	238.628
0.39368 	235.045
0.396078 	231.526
0.398476 	228.071
0.400874 	224.677
0.403272 	221.345
0.40567 	218.071
0.408068 	214.855
0.410466 	211.695
0.412864 	208.59
0.415262 	205.539
0.41766 	202.54
0.420058 	199.593
0.422456 	196.695
0.424854 	193.847
0.427252 	191.047
0.42965 	188.294
0.432048 	185.586
0.434446 	182.923
0.436844 	180.304
0.439242 	177.728
0.44164 	175.194
0.444038 	172.701
0.446436 	170.248
0.448834 	167.835
0.451232 	165.46
0.45363 	163.122
0.456028 	160.821
0.458426 	158.557
0.460824 	156.328
0.463222 	154.133
0.46562 	151.973
0.468018 	149.845
0.470416 	147.75
0.472814 	145.687
0.475212 	143.656
0.47761 	141.655
0.480008 	139.684
0.482406 	137.742
0.484804 	135.829
0.487202 	133.944
0.4896 	132.088
0.491998 	130.258
0.494396 	128.455
0.496794 	126.678
0.499192 	124.927
0.50159 	123.2
0.503988 	121.499
0.506386 	119.822
0.508784 	118.168
0.511182 	116.538
0.51358 	114.93
0.515978 	113.346
0.518376 	111.783
0.520774 	110.241
0.523172 	108.721
0.52557 	107.222
0.527968 	105.743
0.530366 	104.285
0.532764 	102.846
0.535162 	101.426
0.53756 	100.026
0.539958 	98.6442
0.542356 	97.2808
0.544754 	95.9354
0.547152 	94.6078
0.54955 	93.2976
0.551948 	92.0045
0.554346 	90.7283
0.556744 	89.4686
0.559142 	88.2251
0.56154 	86.9977
0.563938 	85.7859
0.566336 	84.5896
0.568734 	83.4084
0.571132 	82.2422
0.57353 	81.0907
0.575928 	79.9536
0.578326 	78.8307
0.580724 	77.7218
0.583122 	76.6266
0.58552 	75.5449
0.587918 	74.4765
0.590316 	73.4212
0.592714 	72.3787
0.595112 	71.3489
0.59751 	70.3315
0.599908 	69.3264
0.602306 	68.3334
0.604704 	67.3523
0.607102 	66.3828
0.6095 	65.4248
0.611898 	64.4781
0.614296 	63.5426
0.616694 	62.6181
0.619092 	61.7044
0.62149 	60.8013
0.623888 	59.9086
0.626286 	59.0263
0.628684 	58.1542
0.631082 	57.292
0.63348 	56.4397
0.635878 	55.5971
0.638276 	54.7641
0.640674 	53.9405
0.643072 	53.1261
0.64547 	52.3209
0.647868 	51.5247
0.650266 	50.7374
0.652664 	49.9588
0.655062 	49.1889
0.65746 	48.4274
0.659858 	47.6743
0.662256 	46.9294
0.664654 	46.1927
0.667052 	45.4639
0.66945 	44.7431
0.671848 	44.03
0.674246 	43.3247
0.676644 	42.6269
0.679042 	41.9365
0.68144 	41.2535
0.683838 	40.5778
0.686236 	39.9092
0.688634 	39.2477
