# Mass = 0.0473265 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 56.2183 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.772 MeV fm^2
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -35.6954 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	-44.993
0.012398 	-44.9929
0.014796 	-44.9928
0.017194 	-44.9926
0.019592 	-44.9925
0.02199 	-44.9924
0.024388 	-44.9922
0.026786 	-44.9921
0.029184 	-44.992
0.031582 	-44.9919
0.03398 	-44.9917
0.036378 	-44.9916
0.038776 	-44.9915
0.041174 	-44.9914
0.043572 	-44.9913
0.04597 	-44.9912
0.048368 	-44.991
0.050766 	-44.9909
0.053164 	-44.9908
0.055562 	-44.9907
0.05796 	-44.9906
0.060358 	-44.9905
0.062756 	-44.9904
0.065154 	-44.9903
0.067552 	-44.9902
0.06995 	-44.9901
0.072348 	-44.99
0.074746 	-44.9899
0.077144 	-44.9898
0.079542 	-44.9897
0.08194 	-44.9896
0.084338 	-44.9895
0.086736 	-44.9894
0.089134 	-44.9893
0.091532 	-44.9892
0.09393 	-44.9891
0.096328 	-44.989
0.098726 	-44.9889
0.101124 	-44.9889
0.103522 	-44.9888
0.10592 	-44.9887
0.108318 	-44.9886
0.110716 	-44.9885
0.113114 	-44.9884
0.115512 	-44.9884
0.11791 	-44.9883
0.120308 	-44.9882
0.122706 	-44.9881
0.125104 	-44.9881
0.127502 	-44.988
0.1299 	-44.9879
0.132298 	-44.9879
0.134696 	-44.9878
0.137094 	-44.9877
0.139492 	-44.9877
0.14189 	-44.9876
0.144288 	-44.9875
0.146686 	-44.9875
0.149084 	-44.9874
0.151482 	-44.9873
0.15388 	-44.9873
0.156278 	-44.9872
0.158676 	-44.9872
0.161074 	-44.9871
0.163472 	-44.9871
0.16587 	-44.987
0.168268 	-44.987
0.170666 	-44.9869
0.173064 	-44.9869
0.175462 	-44.9868
0.17786 	-44.9868
0.180258 	-44.9867
0.182656 	-44.9867
0.185054 	-44.9866
0.187452 	-44.9866
0.18985 	-44.9865
0.192248 	-44.9865
0.194646 	-44.9865
0.197044 	-44.9864
