# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.2779 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.6942 MeV fm^2
# l = 1 
# two_j = 1 
# two_t = -1 
# Energy = -29.9743 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	421980
0.012398 	274513
0.014796 	192728
0.017194 	142706
0.019592 	109899
0.02199 	87226.8
0.024388 	70907.5
0.026786 	58771.5
0.029184 	49502.2
0.031582 	42263.1
0.03398 	36501.7
0.036378 	31841.7
0.038776 	28019.3
0.041174 	24845
0.043572 	22180.2
0.04597 	19921.5
0.048368 	17990.3
0.050766 	16326.3
0.053164 	14882.3
0.055562 	13621.2
0.05796 	12513.4
0.060358 	11535
0.062756 	10666.6
0.065154 	9892.25
0.067552 	9198.93
0.06995 	8575.68
0.072348 	8013.37
0.074746 	7504.3
0.077144 	7041.97
0.079542 	6620.81
0.08194 	6236.09
0.084338 	5883.71
0.086736 	5560.16
0.089134 	5262.36
0.091532 	4987.66
0.09393 	4733.73
0.096328 	4498.53
0.098726 	4280.26
0.101124 	4077.33
0.103522 	3888.34
0.10592 	3712.03
0.108318 	3547.31
0.110716 	3393.17
0.113114 	3248.74
0.115512 	3113.2
0.11791 	2985.85
0.120308 	2866.03
0.122706 	2753.18
0.125104 	2646.75
0.127502 	2546.27
0.1299 	2451.3
0.132298 	2361.44
0.134696 	2276.35
0.137094 	2195.68
0.139492 	2119.13
0.14189 	2046.44
0.144288 	1977.33
0.146686 	1911.59
0.149084 	1849
0.151482 	1789.35
0.15388 	1732.47
0.156278 	1678.19
0.158676 	1626.35
0.161074 	1576.81
0.163472 	1529.43
0.16587 	1484.1
0.168268 	1440.68
0.170666 	1399.09
0.173064 	1359.21
0.175462 	1320.95
0.17786 	1284.24
0.180258 	1248.97
0.182656 	1215.09
0.185054 	1182.52
0.187452 	1151.18
0.18985 	1121.03
0.192248 	1092
0.194646 	1064.04
0.197044 	1037.09
0.199442 	1011.1
0.20184 	986.039
0.204238 	961.854
0.206636 	938.505
0.209034 	915.955
0.211432 	894.168
0.21383 	873.11
0.216228 	852.749
0.218626 	833.054
0.221024 	813.997
0.223422 	795.55
0.22582 	777.687
0.228218 	760.385
0.230616 	743.619
0.233014 	727.369
0.235412 	711.612
0.23781 	696.33
0.240208 	681.503
0.242606 	667.113
0.245004 	653.144
0.247402 	639.58
0.2498 	626.404
0.252198 	613.602
0.254596 	601.16
0.256994 	589.064
0.259392 	577.303
0.26179 	565.863
0.264188 	554.734
0.266586 	543.903
0.268984 	533.361
0.271382 	523.097
0.27378 	513.101
0.276178 	503.365
0.278576 	493.879
0.280974 	484.635
0.283372 	475.624
0.28577 	466.84
0.288168 	458.274
0.290566 	449.919
0.292964 	441.768
0.295362 	433.815
0.29776 	426.054
0.300158 	418.477
0.302556 	411.08
0.304954 	403.857
0.307352 	396.803
0.30975 	389.911
0.312148 	383.178
0.314546 	376.598
0.316944 	370.167
0.319342 	363.881
0.32174 	357.734
0.324138 	351.723
0.326536 	345.844
0.328934 	340.094
0.331332 	334.468
0.33373 	328.962
0.336128 	323.574
0.338526 	318.3
0.340924 	313.137
0.343322 	308.082
0.34572 	303.132
0.348118 	298.283
0.350516 	293.534
0.352914 	288.881
0.355312 	284.322
0.35771 	279.855
0.360108 	275.476
0.362506 	271.184
0.364904 	266.977
0.367302 	262.851
0.3697 	258.806
0.372098 	254.838
0.374496 	250.947
0.376894 	247.129
0.379292 	243.384
0.38169 	239.709
0.384088 	236.103
0.386486 	232.564
0.388884 	229.089
0.391282 	225.679
0.39368 	222.331
0.396078 	219.043
0.398476 	215.815
0.400874 	212.644
0.403272 	209.53
0.40567 	206.471
0.408068 	203.465
0.410466 	200.512
0.412864 	197.611
0.415262 	194.759
0.41766 	191.957
0.420058 	189.202
0.422456 	186.494
0.424854 	183.832
0.427252 	181.215
0.42965 	178.641
0.432048 	176.11
0.434446 	173.621
0.436844 	171.172
0.439242 	168.764
0.44164 	166.395
0.444038 	164.064
0.446436 	161.771
0.448834 	159.514
0.451232 	157.293
0.45363 	155.107
0.456028 	152.956
0.458426 	150.838
0.460824 	148.754
0.463222 	146.701
0.46562 	144.681
0.468018 	142.691
0.470416 	140.731
0.472814 	138.802
0.475212 	136.901
0.47761 	135.029
0.480008 	133.185
0.482406 	131.369
0.484804 	129.579
0.487202 	127.816
0.4896 	126.079
0.491998 	124.367
0.494396 	122.679
0.496794 	121.017
0.499192 	119.378
0.50159 	117.762
0.503988 	116.17
0.506386 	114.6
0.508784 	113.052
0.511182 	111.526
0.51358 	110.022
0.515978 	108.538
0.518376 	107.075
0.520774 	105.632
0.523172 	104.208
0.52557 	102.805
0.527968 	101.42
0.530366 	100.054
0.532764 	98.7067
0.535162 	97.3772
0.53756 	96.0656
0.539958 	94.7714
0.542356 	93.4943
0.544754 	92.2341
0.547152 	90.9903
0.54955 	89.7629
0.551948 	88.5514
0.554346 	87.3556
0.556744 	86.1753
0.559142 	85.0101
0.56154 	83.8598
0.563938 	82.7241
0.566336 	81.6029
0.568734 	80.4958
0.571132 	79.4026
0.57353 	78.3231
0.575928 	77.2571
0.578326 	76.2044
0.580724 	75.1646
0.583122 	74.1377
0.58552 	73.1233
0.587918 	72.1214
0.590316 	71.1316
0.592714 	70.1539
0.595112 	69.1879
0.59751 	68.2336
0.599908 	67.2907
0.602306 	66.359
0.604704 	65.4384
0.607102 	64.5287
0.6095 	63.6297
0.611898 	62.7413
0.614296 	61.8632
0.616694 	60.9954
0.619092 	60.1377
0.62149 	59.2899
0.623888 	58.4518
0.626286 	57.6234
0.628684 	56.8044
0.631082 	55.9948
0.63348 	55.1944
0.635878 	54.4029
0.638276 	53.6204
0.640674 	52.8467
0.643072 	52.0817
0.64547 	51.3251
0.647868 	50.5769
0.650266 	49.837
0.652664 	49.1053
0.655062 	48.3816
0.65746 	47.6658
0.659858 	46.9578
0.662256 	46.2575
0.664654 	45.5647
0.667052 	44.8794
0.66945 	44.2015
0.671848 	43.5308
0.674246 	42.8673
0.676644 	42.2108
0.679042 	41.5613
0.68144 	40.9187
0.683838 	40.2827
0.686236 	39.6535
0.688634 	39.0308
0.691032 	38.4146
0.69343 	37.8048
0.695828 	37.2013
0.698226 	36.604
0.700624 	36.0129
0.703022 	35.4277
0.70542 	34.8486
0.707818 	34.2753
0.710216 	33.7079
0.712614 	33.1461
0.715012 	32.59
0.71741 	32.0395
0.719808 	31.4945
0.722206 	30.955
0.724604 	30.4207
0.727002 	29.8918
0.7294 	29.3681
0.731798 	28.8495
0.734196 	28.336
0.736594 	27.8275
0.738992 	27.324
0.74139 	26.8254
0.743788 	26.3315
0.746186 	25.8425
0.748584 	25.3581
0.750982 	24.8784
0.75338 	24.4033
0.755778 	23.9327
0.758176 	23.4665
0.760574 	23.0048
0.762972 	22.5474
0.76537 	22.0943
