# Mass = 0.0452189 Mev*(hbarc)^2/2 
# R = 3.175 fm 
# a = 0.662 fm 
# V0 = 58.2974 MeV 
# RSO = 2.92302 fm 
# aSO = 0.662 fm 
# VSO = 31.5165 MeV fm^2
# l = 1 
# two_j = 1 
# two_t = -1 
# Energy = -16.9303 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	442292
0.012398 	287732
0.014796 	202013
0.017194 	149584
0.019592 	115198
0.02199 	91434.5
0.024388 	74329.1
0.026786 	61608.5
0.029184 	51892.5
0.031582 	44304.4
0.03398 	38265.2
0.036378 	33380.5
0.038776 	29373.5
0.041174 	26046.1
0.043572 	23252.7
0.04597 	20884.9
0.048368 	18860.4
0.050766 	17116
0.053164 	15602.2
0.055562 	14280.2
0.05796 	13118.8
0.060358 	12093
0.062756 	11182.5
0.065154 	10370.8
0.067552 	9643.86
0.06995 	8990.42
0.072348 	8400.87
0.074746 	7867.14
0.077144 	7382.39
0.079542 	6940.82
0.08194 	6537.43
0.084338 	6167.96
0.086736 	5828.71
0.089134 	5516.46
0.091532 	5228.42
0.09393 	4962.16
0.096328 	4715.53
0.098726 	4486.65
0.101124 	4273.86
0.103522 	4075.67
0.10592 	3890.8
0.108318 	3718.06
0.110716 	3556.42
0.113114 	3404.96
0.115512 	3262.82
0.11791 	3129.27
0.120308 	3003.62
0.122706 	2885.26
0.125104 	2773.65
0.127502 	2668.26
0.1299 	2568.67
0.132298 	2474.43
0.134696 	2385.18
0.137094 	2300.58
0.139492 	2220.3
0.14189 	2144.05
0.144288 	2071.57
0.146686 	2002.62
0.149084 	1936.97
0.151482 	1874.41
0.15388 	1814.75
0.156278 	1757.81
0.158676 	1703.44
0.161074 	1651.47
0.163472 	1601.78
0.16587 	1554.22
0.168268 	1508.68
0.170666 	1465.05
0.173064 	1423.22
0.175462 	1383.09
0.17786 	1344.58
0.180258 	1307.59
0.182656 	1272.04
0.185054 	1237.87
0.187452 	1205
0.18985 	1173.37
0.192248 	1142.92
0.194646 	1113.58
0.197044 	1085.31
0.199442 	1058.05
0.20184 	1031.76
0.204238 	1006.38
0.206636 	981.888
0.209034 	958.231
0.211432 	935.374
0.21383 	913.282
0.216228 	891.92
0.218626 	871.258
0.221024 	851.264
0.223422 	831.91
0.22582 	813.169
0.228218 	795.016
0.230616 	777.426
0.233014 	760.376
0.235412 	743.844
0.23781 	727.81
0.240208 	712.254
0.242606 	697.157
0.245004 	682.5
0.247402 	668.268
0.2498 	654.443
0.252198 	641.011
0.254596 	627.956
0.256994 	615.266
0.259392 	602.925
0.26179 	590.922
0.264188 	579.244
0.266586 	567.88
0.268984 	556.819
0.271382 	546.049
0.27378 	535.561
0.276178 	525.345
0.278576 	515.392
0.280974 	505.693
0.283372 	496.238
0.28577 	487.021
0.288168 	478.033
0.290566 	469.266
0.292964 	460.714
0.295362 	452.369
0.29776 	444.225
0.300158 	436.276
0.302556 	428.514
0.304954 	420.935
0.307352 	413.533
0.30975 	406.302
0.312148 	399.237
0.314546 	392.333
0.316944 	385.586
0.319342 	378.989
0.32174 	372.54
0.324138 	366.233
0.326536 	360.065
0.328934 	354.031
0.331332 	348.127
0.33373 	342.351
0.336128 	336.698
0.338526 	331.164
0.340924 	325.747
0.343322 	320.443
0.34572 	315.249
0.348118 	310.162
0.350516 	305.179
0.352914 	300.298
0.355312 	295.514
0.35771 	290.827
0.360108 	286.233
0.362506 	281.731
0.364904 	277.316
0.367302 	272.988
0.3697 	268.744
0.372098 	264.582
0.374496 	260.499
0.376894 	256.494
0.379292 	252.565
0.38169 	248.71
0.384088 	244.927
0.386486 	241.214
0.388884 	237.569
0.391282 	233.992
0.39368 	230.48
0.396078 	227.031
0.398476 	223.644
0.400874 	220.319
0.403272 	217.052
0.40567 	213.843
0.408068 	210.691
0.410466 	207.593
0.412864 	204.55
0.415262 	201.559
0.41766 	198.62
0.420058 	195.731
0.422456 	192.891
0.424854 	190.099
0.427252 	187.354
0.42965 	184.655
0.432048 	182.001
0.434446 	179.391
0.436844 	176.823
0.439242 	174.298
0.44164 	171.814
0.444038 	169.369
0.446436 	166.965
0.448834 	164.598
0.451232 	162.27
0.45363 	159.978
0.456028 	157.723
0.458426 	155.503
0.460824 	153.317
0.463222 	151.166
0.46562 	149.047
0.468018 	146.961
0.470416 	144.908
0.472814 	142.885
0.475212 	140.893
0.47761 	138.931
0.480008 	136.998
0.482406 	135.094
0.484804 	133.219
0.487202 	131.371
0.4896 	129.55
0.491998 	127.756
0.494396 	125.988
0.496794 	124.246
0.499192 	122.528
0.50159 	120.836
0.503988 	119.167
0.506386 	117.523
0.508784 	115.901
0.511182 	114.303
0.51358 	112.727
0.515978 	111.172
0.518376 	109.64
0.520774 	108.128
0.523172 	106.638
0.52557 	105.168
0.527968 	103.718
0.530366 	102.287
0.532764 	100.876
0.535162 	99.4844
0.53756 	98.111
0.539958 	96.756
0.542356 	95.419
0.544754 	94.0997
0.547152 	92.7978
0.54955 	91.513
0.551948 	90.245
0.554346 	88.9934
0.556744 	87.7581
0.559142 	86.5387
0.56154 	85.335
0.563938 	84.1467
0.566336 	82.9735
0.568734 	81.8152
0.571132 	80.6716
0.57353 	79.5424
0.575928 	78.4273
0.578326 	77.3261
0.580724 	76.2386
0.583122 	75.1647
0.58552 	74.1039
0.587918 	73.0562
0.590316 	72.0213
0.592714 	70.999
0.595112 	69.9892
0.59751 	68.9915
0.599908 	68.0059
0.602306 	67.0321
0.604704 	66.07
0.607102 	65.1193
0.6095 	64.1799
0.611898 	63.2516
0.614296 	62.3343
0.616694 	61.4277
0.619092 	60.5317
0.62149 	59.6461
0.623888 	58.7709
0.626286 	57.9057
0.628684 	57.0505
0.631082 	56.2051
0.63348 	55.3694
0.635878 	54.5432
0.638276 	53.7264
0.640674 	52.9188
0.643072 	52.1203
0.64547 	51.3308
0.647868 	50.5502
0.650266 	49.7782
0.652664 	49.0148
0.655062 	48.2599
0.65746 	47.5133
0.659858 	46.7749
0.662256 	46.0446
0.664654 	45.3223
0.667052 	44.6078
0.66945 	43.9011
0.671848 	43.2021
0.674246 	42.5106
0.676644 	41.8264
0.679042 	41.1497
0.68144 	40.4801
0.683838 	39.8177
0.686236 	39.1622
0.688634 	38.5137
0.691032 	37.8721
0.69343 	37.2371
0.695828 	36.6088
0.698226 	35.9871
0.700624 	35.3718
0.703022 	34.7629
0.70542 	34.1602
0.707818 	33.5638
0.710216 	32.9735
0.712614 	32.3893
0.715012 	31.8109
0.71741 	31.2385
0.719808 	30.6719
0.722206 	30.111
0.724604 	29.5557
0.727002 	29.006
0.7294 	28.4619
0.731798 	27.9231
0.734196 	27.3897
0.736594 	26.8616
0.738992 	26.3388
0.74139 	25.8211
0.743788 	25.3084
0.746186 	24.8008
0.748584 	24.2982
0.750982 	23.8004
0.75338 	23.3075
0.755778 	22.8194
0.758176 	22.336
0.760574 	21.8572
0.762972 	21.3831
0.76537 	20.9134
0.767768 	20.4483
0.770166 	19.9876
0.772564 	19.5313
0.774962 	19.0793
0.77736 	18.6315
0.779758 	18.188
0.782156 	17.7486
0.784554 	17.3134
0.786952 	16.8822
0.78935 	16.455
0.791748 	16.0318
0.794146 	15.6126
0.796544 	15.1972
0.798942 	14.7856
0.80134 	14.3778
0.803738 	13.9738
0.806136 	13.5734
0.808534 	13.1767
0.810932 	12.7836
0.81333 	12.3941
0.815728 	12.0081
0.818126 	11.6255
0.820524 	11.2464
0.822922 	10.8708
0.82532 	10.4984
0.827718 	10.1295
0.830116 	9.76375
0.832514 	9.4013
0.834912 	9.04206
0.83731 	8.686
0.839708 	8.33308
0.842106 	7.98326
0.844504 	7.63652
0.846902 	7.29281
0.8493 	6.95211
0.851698 	6.61437
0.854096 	6.27957
0.856494 	5.94768
0.858892 	5.61866
0.86129 	5.29247
0.863688 	4.9691
0.866086 	4.64851
0.868484 	4.33066
0.870882 	4.01553
0.87328 	3.7031
0.875678 	3.39332
0.878076 	3.08617
0.880474 	2.78163
0.882872 	2.47966
0.88527 	2.18024
0.887668 	1.88334
0.890066 	1.58894
0.892464 	1.297
0.894862 	1.0075
0.89726 	0.720425
0.899658 	0.435735
0.902056 	0.153412
0.904454 	-0.126571
0.906852 	-0.404237
0.90925 	-0.679611
0.911648 	-0.952715
0.914046 	-1.22357
0.916444 	-1.49221
0.918842 	-1.75865
0.92124 	-2.02291
0.923638 	-2.28501
0.926036 	-2.54499
0.928434 	-2.80285
0.930832 	-3.05862
0.93323 	-3.31232
0.935628 	-3.56398
0.938026 	-3.8136
0.940424 	-4.06122
0.942822 	-4.30685
0.94522 	-4.55052
0.947618 	-4.79223
0.950016 	-5.03202
0.952414 	-5.2699
0.954812 	-5.50588
0.95721 	-5.74
0.959608 	-5.97226
0.962006 	-6.20268
0.964404 	-6.43129
0.966802 	-6.65809
0.9692 	-6.88312
0.971598 	-7.10637
0.973996 	-7.32788
0.976394 	-7.54765
0.978792 	-7.76571
0.98119 	-7.98207
0.983588 	-8.19675
0.985986 	-8.40976
0.988384 	-8.62112
0.990782 	-8.83084
0.99318 	-9.03895
0.995578 	-9.24544
0.997976 	-9.45035
1.00037 	-9.65368
1.00277 	-9.85546
1.00517 	-10.0557
1.00757 	-10.2544
1.00997 	-10.4516
1.01236 	-10.6472
1.01476 	-10.8414
1.01716 	-11.0341
1.01956 	-11.2254
1.02196 	-11.4152
1.02435 	-11.6035
1.02675 	-11.7904
1.02915 	-11.976
1.03155 	-12.1601
1.03395 	-12.3428
1.03634 	-12.5242
1.03874 	-12.7042
1.04114 	-12.8829
1.04354 	-13.0602
1.04594 	-13.2362
1.04833 	-13.4109
1.05073 	-13.5843
1.05313 	-13.7564
1.05553 	-13.9272
1.05793 	-14.0968
1.06032 	-14.2651
1.06272 	-14.4321
1.06512 	-14.5979
1.06752 	-14.7625
1.06992 	-14.9259
1.07231 	-15.0881
1.07471 	-15.2491
1.07711 	-15.4089
1.07951 	-15.5675
1.08191 	-15.725
1.0843 	-15.8813
1.0867 	-16.0365
1.0891 	-16.1905
1.0915 	-16.3434
1.0939 	-16.4952
1.09629 	-16.6459
1.09869 	-16.7956
1.10109 	-16.9441
1.10349 	-17.0915
1.10589 	-17.2379
1.10828 	-17.3832
1.11068 	-17.5275
1.11308 	-17.6707
1.11548 	-17.8129
1.11788 	-17.9541
1.12027 	-18.0942
1.12267 	-18.2334
1.12507 	-18.3715
1.12747 	-18.5087
1.12987 	-18.6449
1.13226 	-18.7801
1.13466 	-18.9143
1.13706 	-19.0476
1.13946 	-19.1799
1.14186 	-19.3113
1.14425 	-19.4417
1.14665 	-19.5712
1.14905 	-19.6998
1.15145 	-19.8275
1.15385 	-19.9542
1.15624 	-20.0801
1.15864 	-20.205
1.16104 	-20.3291
1.16344 	-20.4523
1.16584 	-20.5747
1.16823 	-20.6961
1.17063 	-20.8167
1.17303 	-20.9365
1.17543 	-21.0554
1.17783 	-21.1734
1.18022 	-21.2907
1.18262 	-21.4071
1.18502 	-21.5227
1.18742 	-21.6374
1.18982 	-21.7514
1.19221 	-21.8646
1.19461 	-21.9769
1.19701 	-22.0885
1.19941 	-22.1993
1.20181 	-22.3093
1.2042 	-22.4185
1.2066 	-22.527
1.209 	-22.6347
1.2114 	-22.7417
1.2138 	-22.8479
1.21619 	-22.9533
1.21859 	-23.0581
1.22099 	-23.1621
1.22339 	-23.2653
1.22579 	-23.3679
1.22818 	-23.4697
1.23058 	-23.5708
1.23298 	-23.6712
1.23538 	-23.7709
