# Mass = 0.0451606 Mev*(hbarc)^2/2 
# R = 3.175 fm 
# a = 0.662 fm 
# V0 = 58.2974 MeV 
# RSO = 2.92302 fm 
# aSO = 0.662 fm 
# VSO = 31.598 MeV fm^2
# l = 1 
# two_j = 3 
# two_t = 1 
# Energy = -18.4065 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	442782
0.012398 	288040
0.014796 	202221
0.017194 	149732
0.019592 	115307
0.02199 	91517.8
0.024388 	74394.1
0.026786 	61660.1
0.029184 	51934.2
0.031582 	44338.5
0.03398 	38293.4
0.036378 	33403.9
0.038776 	29393.3
0.041174 	26062.8
0.043572 	23266.9
0.04597 	20897
0.048368 	18870.9
0.050766 	17125
0.053164 	15610
0.055562 	14286.9
0.05796 	13124.7
0.060358 	12098.2
0.062756 	11187.1
0.065154 	10374.7
0.067552 	9647.35
0.06995 	8993.49
0.072348 	8403.57
0.074746 	7869.52
0.077144 	7384.5
0.079542 	6942.68
0.08194 	6539.09
0.084338 	6169.43
0.086736 	5830.01
0.089134 	5517.61
0.091532 	5229.45
0.09393 	4963.08
0.096328 	4716.35
0.098726 	4487.39
0.101124 	4274.52
0.103522 	4076.27
0.10592 	3891.34
0.108318 	3718.55
0.110716 	3556.87
0.113114 	3405.37
0.115512 	3263.2
0.11791 	3129.62
0.120308 	3003.95
0.122706 	2885.58
0.125104 	2773.94
0.127502 	2668.55
0.1299 	2568.94
0.132298 	2474.7
0.134696 	2385.45
0.137094 	2300.84
0.139492 	2220.56
0.14189 	2144.32
0.144288 	2071.84
0.146686 	2002.89
0.149084 	1937.25
0.151482 	1874.69
0.15388 	1815.04
0.156278 	1758.11
0.158676 	1703.75
0.161074 	1651.79
0.163472 	1602.11
0.16587 	1554.56
0.168268 	1509.03
0.170666 	1465.41
0.173064 	1423.59
0.175462 	1383.48
0.17786 	1344.97
0.180258 	1308
0.182656 	1272.47
0.185054 	1238.31
0.187452 	1205.45
0.18985 	1173.84
0.192248 	1143.39
0.194646 	1114.07
0.197044 	1085.81
0.199442 	1058.57
0.20184 	1032.29
0.204238 	1006.93
0.206636 	982.446
0.209034 	958.803
0.211432 	935.959
0.21383 	913.88
0.216228 	892.532
0.218626 	871.883
0.221024 	851.902
0.223422 	832.561
0.22582 	813.834
0.228218 	795.694
0.230616 	778.117
0.233014 	761.08
0.235412 	744.561
0.23781 	728.539
0.240208 	712.995
0.242606 	697.91
0.245004 	683.266
0.247402 	669.046
0.2498 	655.233
0.252198 	641.813
0.254596 	628.77
0.256994 	616.091
0.259392 	603.762
0.26179 	591.771
0.264188 	580.104
0.266586 	568.751
0.268984 	557.701
0.271382 	546.942
0.27378 	536.465
0.276178 	526.259
0.278576 	516.317
0.280974 	506.628
0.283372 	497.183
0.28577 	487.976
0.288168 	478.998
0.290566 	470.241
0.292964 	461.699
0.295362 	453.363
0.29776 	445.229
0.300158 	437.289
0.302556 	429.537
0.304954 	421.967
0.307352 	414.574
0.30975 	407.351
0.312148 	400.295
0.314546 	393.4
0.316944 	386.661
0.319342 	380.073
0.32174 	373.631
0.324138 	367.333
0.326536 	361.173
0.328934 	355.147
0.331332 	349.251
0.33373 	343.482
0.336128 	337.837
