# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1828 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 27.9403 MeV fm^2
# l = 3 
# two_j = 5 
# two_t = -1 
# Energy = -25.1191 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	2.49862e+06
0.012398 	1.62552e+06
0.014796 	1.14131e+06
0.017194 	845145
0.019592 	650909
0.02199 	516678
0.024388 	420058
0.026786 	348206
0.029184 	293327
0.031582 	250467
0.03398 	216357
0.036378 	188767
0.038776 	166136
0.041174 	147343
0.043572 	131566
0.04597 	118193
0.048368 	106760
0.050766 	96908.1
0.053164 	88359
0.055562 	80892.8
0.05796 	74334
0.060358 	68541.3
0.062756 	63399.9
0.065154 	58815.6
0.067552 	54710.9
0.06995 	51021
0.072348 	47691.8
0.074746 	44678
0.077144 	41940.8
0.079542 	39447.4
0.08194 	37169.7
0.084338 	35083.5
0.086736 	33167.9
0.089134 	31404.9
0.091532 	29778.6
0.09393 	28275.3
0.096328 	26882.8
0.098726 	25590.5
0.101124 	24389.1
0.103522 	23270.2
0.10592 	22226.5
0.108318 	21251.3
0.110716 	20338.7
0.113114 	19483.6
0.115512 	18681.2
0.11791 	17927.3
0.120308 	17218
0.122706 	16549.8
0.125104 	15919.7
0.127502 	15324.8
0.1299 	14762.6
0.132298 	14230.7
0.134696 	13726.9
0.137094 	13249.3
0.139492 	12796.2
0.14189 	12365.8
0.144288 	11956.7
0.146686 	11567.5
0.149084 	11196.9
0.151482 	10843.8
0.15388 	10507.1
0.156278 	10185.7
0.158676 	9878.81
0.161074 	9585.52
0.163472 	9305.05
0.16587 	9036.65
0.168268 	8779.64
0.170666 	8533.39
0.173064 	8297.31
0.175462 	8070.84
0.17786 	7853.46
0.180258 	7644.71
0.182656 	7444.12
0.185054 	7251.28
0.187452 	7065.79
0.18985 	6887.29
0.192248 	6715.42
0.194646 	6549.87
0.197044 	6390.33
0.199442 	6236.5
0.20184 	6088.13
0.204238 	5944.95
0.206636 	5806.72
0.209034 	5673.23
0.211432 	5544.25
0.21383 	5419.59
0.216228 	5299.05
0.218626 	5182.46
0.221024 	5069.64
0.223422 	4960.44
0.22582 	4854.69
0.228218 	4752.26
0.230616 	4653.01
0.233014 	4556.81
0.235412 	4463.53
0.23781 	4373.06
0.240208 	4285.28
0.242606 	4200.1
0.245004 	4117.41
0.247402 	4037.1
0.2498 	3959.1
0.252198 	3883.32
0.254596 	3809.66
0.256994 	3738.06
0.259392 	3668.43
0.26179 	3600.71
0.264188 	3534.82
0.266586 	3470.71
0.268984 	3408.3
0.271382 	3347.54
0.27378 	3288.36
0.276178 	3230.73
0.278576 	3174.57
0.280974 	3119.85
0.283372 	3066.51
0.28577 	3014.5
0.288168 	2963.79
0.290566 	2914.33
0.292964 	2866.08
0.295362 	2819
0.29776 	2773.05
0.300158 	2728.2
0.302556 	2684.42
0.304954 	2641.66
0.307352 	2599.89
0.30975 	2559.1
0.312148 	2519.24
0.314546 	2480.29
0.316944 	2442.22
0.319342 	2405
0.32174 	2368.61
0.324138 	2333.03
0.326536 	2298.23
0.328934 	2264.19
0.331332 	2230.88
0.33373 	2198.29
0.336128 	2166.39
0.338526 	2135.17
0.340924 	2104.61
0.343322 	2074.68
0.34572 	2045.37
0.348118 	2016.67
0.350516 	1988.56
0.352914 	1961.01
0.355312 	1934.02
0.35771 	1907.58
0.360108 	1881.66
0.362506 	1856.25
0.364904 	1831.34
0.367302 	1806.92
0.3697 	1782.97
0.372098 	1759.48
0.374496 	1736.44
0.376894 	1713.85
0.379292 	1691.67
0.38169 	1669.92
0.384088 	1648.57
0.386486 	1627.62
0.388884 	1607.05
0.391282 	1586.86
0.39368 	1567.04
0.396078 	1547.58
0.398476 	1528.46
0.400874 	1509.69
0.403272 	1491.26
0.40567 	1473.15
0.408068 	1455.35
0.410466 	1437.87
0.412864 	1420.7
0.415262 	1403.81
0.41766 	1387.22
0.420058 	1370.92
0.422456 	1354.88
0.424854 	1339.12
0.427252 	1323.63
0.42965 	1308.39
0.432048 	1293.41
0.434446 	1278.67
0.436844 	1264.18
0.439242 	1249.92
0.44164 	1235.9
0.444038 	1222.1
0.446436 	1208.52
0.448834 	1195.16
0.451232 	1182.01
0.45363 	1169.07
0.456028 	1156.33
0.458426 	1143.8
0.460824 	1131.45
0.463222 	1119.3
0.46562 	1107.34
0.468018 	1095.56
0.470416 	1083.96
0.472814 	1072.54
0.475212 	1061.28
0.47761 	1050.2
0.480008 	1039.28
0.482406 	1028.53
0.484804 	1017.93
0.487202 	1007.49
0.4896 	997.208
0.491998 	987.071
0.494396 	977.082
0.496794 	967.237
0.499192 	957.534
0.50159 	947.969
0.503988 	938.541
0.506386 	929.246
0.508784 	920.083
0.511182 	911.048
0.51358 	902.139
0.515978 	893.354
0.518376 	884.691
0.520774 	876.147
0.523172 	867.721
0.52557 	859.409
0.527968 	851.211
0.530366 	843.123
0.532764 	835.145
0.535162 	827.273
0.53756 	819.507
0.539958 	811.844
0.542356 	804.282
0.544754 	796.82
0.547152 	789.456
0.54955 	782.188
0.551948 	775.014
0.554346 	767.934
0.556744 	760.944
0.559142 	754.045
0.56154 	747.233
0.563938 	740.509
0.566336 	733.869
0.568734 	727.314
0.571132 	720.841
0.57353 	714.448
0.575928 	708.136
0.578326 	701.902
0.580724 	695.745
0.583122 	689.663
0.58552 	683.657
0.587918 	677.723
0.590316 	671.862
0.592714 	666.072
0.595112 	660.352
0.59751 	654.7
0.599908 	649.116
0.602306 	643.599
0.604704 	638.147
0.607102 	632.759
0.6095 	627.435
0.611898 	622.174
0.614296 	616.974
0.616694 	611.834
0.619092 	606.754
0.62149 	601.733
0.623888 	596.77
0.626286 	591.863
0.628684 	587.013
0.631082 	582.218
0.63348 	577.477
0.635878 	572.79
0.638276 	568.155
0.640674 	563.572
0.643072 	559.041
0.64547 	554.56
0.647868 	550.128
0.650266 	545.746
0.652664 	541.411
0.655062 	537.125
0.65746 	532.885
0.659858 	528.691
0.662256 	524.543
0.664654 	520.439
0.667052 	516.38
0.66945 	512.364
0.671848 	508.391
0.674246 	504.461
0.676644 	500.572
0.679042 	496.724
0.68144 	492.917
0.683838 	489.15
0.686236 	485.422
0.688634 	481.733
0.691032 	478.083
0.69343 	474.47
0.695828 	470.894
0.698226 	467.356
0.700624 	463.853
0.703022 	460.387
0.70542 	456.955
0.707818 	453.559
0.710216 	450.197
0.712614 	446.868
0.715012 	443.574
0.71741 	440.312
0.719808 	437.082
0.722206 	433.885
0.724604 	430.72
0.727002 	427.585
0.7294 	424.482
0.731798 	421.409
0.734196 	418.366
0.736594 	415.353
0.738992 	412.369
0.74139 	409.414
0.743788 	406.488
0.746186 	403.589
0.748584 	400.719
0.750982 	397.876
0.75338 	395.06
0.755778 	392.271
0.758176 	389.508
0.760574 	386.772
0.762972 	384.061
0.76537 	381.375
0.767768 	378.715
0.770166 	376.079
0.772564 	373.468
0.774962 	370.882
0.77736 	368.319
0.779758 	365.779
0.782156 	363.263
0.784554 	360.77
0.786952 	358.3
0.78935 	355.853
