# Mass = 0.0479598 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 59.5769 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 28.0171 MeV fm^2
# l = 3 
# two_j = 7 
# two_t = 1 
# Energy = -21.4389 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	2.50206e+06
0.012398 	1.62776e+06
0.014796 	1.14288e+06
0.017194 	846313
0.019592 	651811
0.02199 	517396
0.024388 	420643
0.026786 	348693
0.029184 	293738
0.031582 	250820
0.03398 	216663
0.036378 	189035
0.038776 	166373
0.041174 	147554
0.043572 	131756
0.04597 	118365
0.048368 	106915
0.050766 	97050.1
0.053164 	88489.3
0.055562 	81012.8
0.05796 	74445
0.060358 	68644.4
0.062756 	63495.9
0.065154 	58905.3
0.067552 	54794.9
0.06995 	51100
0.072348 	47766.3
0.074746 	44748.3
0.077144 	42007.3
0.079542 	39510.5
0.08194 	37229.7
0.084338 	35140.7
0.086736 	33222.5
0.089134 	31457
0.091532 	29828.5
0.09393 	28323.1
0.096328 	26928.7
0.098726 	25634.7
0.101124 	24431.6
0.103522 	23311.2
0.10592 	22266
0.108318 	21289.5
0.110716 	20375.7
0.113114 	19519.4
0.115512 	18715.9
0.11791 	17960.9
0.120308 	17250.6
0.122706 	16581.6
0.125104 	15950.6
0.127502 	15354.9
0.1299 	14791.9
0.132298 	14259.2
0.134696 	13754.8
0.137094 	13276.5
0.139492 	12822.7
0.14189 	12391.8
0.144288 	11982.1
0.146686 	11592.4
0.149084 	11221.3
0.151482 	10867.7
0.15388 	10530.5
0.156278 	10208.7
0.158676 	9901.4
0.161074 	9607.71
0.163472 	9326.85
0.16587 	9058.08
0.168268 	8800.72
0.170666 	8554.13
0.173064 	8317.73
0.175462 	8090.94
0.17786 	7873.27
0.180258 	7664.23
0.182656 	7463.37
0.185054 	7270.26
0.187452 	7084.52
0.18985 	6905.77
0.192248 	6733.67
0.194646 	6567.89
0.197044 	6408.13
0.199442 	6254.09
0.20184 	6105.52
0.204238 	5962.14
0.206636 	5823.73
0.209034 	5690.05
0.211432 	5560.9
0.21383 	5436.06
0.216228 	5315.36
0.218626 	5198.61
0.221024 	5085.63
0.223422 	4976.28
0.22582 	4870.39
0.228218 	4767.82
0.230616 	4668.43
0.233014 	4572.1
0.235412 	4478.69
0.23781 	4388.1
0.240208 	4300.2
0.242606 	4214.9
0.245004 	4132.09
0.247402 	4051.68
0.2498 	3973.57
0.252198 	3897.68
0.254596 	3823.92
0.256994 	3752.22
0.259392 	3682.5
0.26179 	3614.69
0.264188 	3548.71
0.266586 	3484.51
0.268984 	3422.01
0.271382 	3361.17
0.27378 	3301.91
0.276178 	3244.2
0.278576 	3187.96
0.280974 	3133.16
0.283372 	3079.75
0.28577 	3027.68
0.288168 	2976.9
0.290566 	2927.37
0.292964 	2879.05
0.295362 	2831.91
0.29776 	2785.89
0.300158 	2740.98
0.302556 	2697.13
0.304954 	2654.32
0.307352 	2612.5
0.30975 	2571.64
0.312148 	2531.73
0.314546 	2492.72
0.316944 	2454.6
0.319342 	2417.33
0.32174 	2380.9
0.324138 	2345.27
0.326536 	2310.42
0.328934 	2276.33
0.331332 	2242.97
0.33373 	2210.34
0.336128 	2178.4
0.338526 	2147.13
0.340924 	2116.53
0.343322 	2086.56
0.34572 	2057.21
0.348118 	2028.47
0.350516 	2000.32
0.352914 	1972.74
0.355312 	1945.71
0.35771 	1919.23
0.360108 	1893.27
0.362506 	1867.83
0.364904 	1842.88
0.367302 	1818.43
0.3697 	1794.45
0.372098 	1770.93
0.374496 	1747.86
0.376894 	1725.23
0.379292 	1703.02
