# Mass = 0.0464574 Mev*(hbarc)^2/2 
# R = 3.78 fm 
# a = 0.662 fm 
# V0 = 52.06 MeV 
# RSO = 3.48 fm 
# aSO = 0.662 fm 
# VSO = 29.8586 MeV fm^2
# Rc = 3.78 fm
# Zc = 0
# n = 0 
# l = 1 
# two_j = 3 
# two_t = -1 
# Energy = -25.0484 MeV
# r          u            Phi          u/r          
0.01         2.57522e-05  0.000158549  0.00257522   
0.012398     3.95837e-05  0.000196564  0.00319275   
0.014796     5.63764e-05  0.000234578  0.00381025   
0.017194     7.61303e-05  0.00027259   0.00442773   
0.019592     9.88452e-05  0.000310598  0.00504518   
0.02199      0.000124521  0.000348604  0.00566261   
0.024388     0.000153157  0.000386607  0.00628001   
0.026786     0.000184753  0.000424605  0.00689738   
0.029184     0.000219309  0.0004626    0.00751471   
0.031582     0.000256825  0.00050059   0.00813201   
0.03398      0.0002973    0.000538576  0.00874927   
0.036378     0.000340734  0.000576557  0.00936648   
0.038776     0.000387126  0.000614532  0.00998365   
0.041174     0.000436476  0.000652501  0.0106008    
0.043572     0.000488784  0.000690465  0.0112179    
0.04597      0.000544049  0.000728422  0.0118349    
0.048368     0.00060227   0.000766372  0.0124518    
0.050766     0.000663448  0.000804316  0.0130687    
0.053164     0.000727581  0.000842252  0.0136856    
0.055562     0.000794669  0.000880181  0.0143024    
0.05796      0.000864711  0.000918101  0.0149191    
0.060358     0.000937707  0.000956013  0.0155357    
0.062756     0.00101366   0.000993917  0.0161523    
0.065154     0.00109256   0.00103181   0.0167688    
0.067552     0.00117441   0.0010697    0.0173853    
0.06995      0.00125921   0.00110757   0.0180016    
0.072348     0.00134697   0.00114544   0.0186179    
0.074746     0.00143767   0.00118329   0.0192341    
0.077144     0.00153132   0.00122114   0.0198501    
0.079542     0.00162792   0.00125897   0.0204662    
0.08194      0.00172746   0.00129679   0.0210821    
0.084338     0.00182996   0.00133461   0.0216979    
0.086736     0.00193539   0.0013724    0.0223136    
0.089134     0.00204377   0.00141019   0.0229292    
0.091532     0.0021551    0.00144797   0.0235447    
0.09393      0.00226936   0.00148573   0.0241601    
0.096328     0.00238657   0.00152347   0.0247755    
0.098726     0.00250672   0.00156121   0.0253906    
0.101124     0.0026298    0.00159893   0.0260057    
0.103522     0.00275583   0.00163664   0.0266207    
0.10592      0.00288479   0.00167433   0.0272355    
0.108318     0.00301668   0.00171201   0.0278502    
0.110716     0.00315151   0.00174967   0.0284648    
0.113114     0.00328928   0.00178731   0.0290793    
0.115512     0.00342997   0.00182494   0.0296936    
0.11791      0.0035736    0.00186256   0.0303078    
0.120308     0.00372015   0.00190016   0.0309219    
0.122706     0.00386964   0.00193774   0.0315358    
0.125104     0.00402205   0.0019753    0.0321496    
0.127502     0.00417738   0.00201285   0.0327633    
0.1299       0.00433564   0.00205038   0.0333768    
0.132298     0.00449683   0.00208789   0.0339901    
0.134696     0.00466093   0.00212538   0.0346033    
0.137094     0.00482796   0.00216285   0.0352164    
0.139492     0.0049979    0.00220031   0.0358293    
0.14189      0.00517076   0.00223774   0.036442     
0.144288     0.00534653   0.00227516   0.0370546    
0.146686     0.00552522   0.00231255   0.037667     
0.149084     0.00570682   0.00234993   0.0382792    
0.151482     0.00589134   0.00238728   0.0388913    
0.15388      0.00607876   0.00242461   0.0395032    
