# Mass = 0.0463958 Mev*(hbarc)^2/2 
# R = 3.78 fm 
# a = 0.662 fm 
# V0 = 56.9883 MeV 
# RSO = 3.48 fm 
# aSO = 0.662 fm 
# VSO = 29.9379 MeV fm^2
# Rc = 3.78 fm
# Zc = 12
# n = 0 
# l = 1 
# two_j = 3 
# two_t = 1 
# Energy = -23.2807 MeV
# r          u            Phi          u/r          
0.01         2.58722e-05  0.000268798  0.00258722   
0.012398     3.97681e-05  0.000333249  0.00320762   
0.014796     5.66391e-05  0.000397696  0.003828     
0.017194     7.6485e-05   0.00046214   0.00444835   
0.019592     9.93057e-05  0.000526579  0.00506869   
0.02199      0.000125101  0.000591013  0.00568899   
0.024388     0.00015387   0.000655441  0.00630927   
0.026786     0.000185614  0.000719863  0.00692951   
0.029184     0.000220331  0.000784278  0.00754972   
0.031582     0.000258022  0.000848686  0.0081699    
0.03398      0.000298685  0.000913086  0.00879003   
0.036378     0.000342322  0.000977478  0.00941013   
0.038776     0.00038893   0.00104186   0.0100302    
0.041174     0.00043851   0.00110623   0.0106502    
0.043572     0.000491062  0.0011706    0.0112701    
0.04597      0.000546584  0.00123495   0.01189      
0.048368     0.000605077  0.00129929   0.0125099    
0.050766     0.00066654   0.00136362   0.0131297    
0.053164     0.000730972  0.00142793   0.0137494    
0.055562     0.000798373  0.00149224   0.014369     
0.05796      0.000868742  0.00155653   0.0149886    
0.060358     0.000942078  0.0016208    0.0156082    
0.062756     0.00101838   0.00168507   0.0162276    
0.065154     0.00109765   0.00174931   0.016847     
0.067552     0.00117988   0.00181354   0.0174663    
0.06995      0.00126508   0.00187776   0.0180855    
0.072348     0.00135325   0.00194196   0.0187047    
0.074746     0.00144437   0.00200614   0.0193238    
0.077144     0.00153846   0.0020703    0.0199427    
0.079542     0.00163551   0.00213445   0.0205616    
0.08194      0.00173552   0.00219857   0.0211804    
0.084338     0.00183849   0.00226268   0.0217991    
0.086736     0.00194442   0.00232676   0.0224177    
0.089134     0.00205331   0.00239083   0.0230362    
0.091532     0.00216515   0.00245487   0.0236546    
0.09393      0.00227995   0.00251889   0.0242729    
0.096328     0.00239771   0.00258289   0.0248911    
0.098726     0.00251842   0.00264687   0.0255092    
0.101124     0.00264208   0.00271083   0.0261271    
0.103522     0.00276869   0.00277476   0.026745     
0.10592      0.00289825   0.00283866   0.0273627    
0.108318     0.00303077   0.00290254   0.0279803    
0.110716     0.00316623   0.0029664    0.0285978    
0.113114     0.00330464   0.00303023   0.0292151    
0.115512     0.00344599   0.00309403   0.0298323    
0.11791      0.00359029   0.0031578    0.0304494    
0.120308     0.00373753   0.00322155   0.0310664    
0.122706     0.00388772   0.00328527   0.0316832    
0.125104     0.00404084   0.00334896   0.0322999    
0.127502     0.00419691   0.00341262   0.0329164    
0.1299       0.00435591   0.00347625   0.0335328    
0.132298     0.00451785   0.00353985   0.034149     
0.134696     0.00468272   0.00360342   0.0347651    
0.137094     0.00485053   0.00366696   0.0353811    
0.139492     0.00502127   0.00373047   0.0359968    
0.14189      0.00519494   0.00379394   0.0366125    
0.144288     0.00537154   0.00385738   0.0372279    
0.146686     0.00555107   0.00392078   0.0378432    
0.149084     0.00573353   0.00398416   0.0384584    
0.151482     0.00591891   0.00404749   0.0390733    
0.15388      0.00610721   0.00411079   0.0396881    
0.156278     0.00629843   0.00417406   0.0403027    
0.158676     0.00649257   0.00423729   0.0409172    
0.161074     0.00668964   0.00430048   0.0415314    
0.163472     0.00688961   0.00436364   0.0421455    
0.16587      0.0070925    0.00442675   0.0427594    
0.168268     0.00729831   0.00448983   0.0433731    
0.170666     0.00750702   0.00455287   0.0439866    
0.173064     0.00771865   0.00461587   0.0446       
0.175462     0.00793318   0.00467883   0.0452131    
0.17786      0.00815062   0.00474174   0.045826     
0.180258     0.00837096   0.00480462   0.0464388    
0.182656     0.0085942    0.00486745   0.0470513    
0.185054     0.00882034   0.00493025   0.0476636    
0.187452     0.00904938   0.00499299   0.0482757    
0.18985      0.00928131   0.0050557    0.0488876    
0.192248     0.00951614   0.00511836   0.0494993    
0.194646     0.00975386   0.00518098   0.0501108    
0.197044     0.00999447   0.00524355   0.050722     
0.199442     0.010238     0.00530608   0.0513331    
0.20184      0.0104843    0.00536856   0.0519439    
0.204238     0.0107336    0.00543099   0.0525544    
0.206636     0.0109858    0.00549338   0.0531648    
0.209034     0.0112408    0.00555571   0.0537749    
0.211432     0.0114987    0.005618     0.0543848    
0.21383      0.0117595    0.00568024   0.0549944    
0.216228     0.0120231    0.00574244   0.0556039    
0.218626     0.0122896    0.00580458   0.056213     
0.221024     0.012559     0.00586667   0.0568219    
0.223422     0.0128313    0.00592871   0.0574306    
0.22582      0.0131064    0.0059907    0.058039     
0.228218     0.0133843    0.00605263   0.0586472    
0.230616     0.0136652    0.00611452   0.0592551    
0.233014     0.0139489    0.00617635   0.0598628    
0.235412     0.0142354    0.00623812   0.0604702    
0.23781      0.0145248    0.00629985   0.0610773    
0.240208     0.014817     0.00636152   0.0616842    
0.242606     0.0151121    0.00642313   0.0622908    
0.245004     0.01541      0.00648468   0.0628971    
0.247402     0.0157108    0.00654619   0.0635032    
0.2498       0.0160144    0.00660763   0.0641089    
0.252198     0.0163209    0.00666902   0.0647144    
0.254596     0.0166301    0.00673034   0.0653197    
0.256994     0.0169422    0.00679161   0.0659246    
0.259392     0.0172572    0.00685282   0.0665292    
0.26179      0.0175749    0.00691398   0.0671336    
0.264188     0.0178955    0.00697507   0.0677377    
0.266586     0.0182189    0.0070361    0.0683414    
0.268984     0.0185451    0.00709707   0.0689449    
0.271382     0.0188741    0.00715798   0.0695481    
0.27378      0.0192059    0.00721882   0.070151     
0.276178     0.0195406    0.00727961   0.0707535    
0.278576     0.019878     0.00734033   0.0713558    
0.280974     0.0202183    0.00740098   0.0719578    
0.283372     0.0205613    0.00746158   0.0725594    
0.28577      0.0209071    0.0075221    0.0731607    
0.288168     0.0212558    0.00758257   0.0737618    
0.290566     0.0216072    0.00764296   0.0743624    
0.292964     0.0219614    0.00770329   0.0749628    
0.295362     0.0223184    0.00776356   0.0755629    
0.29776      0.0226782    0.00782375   0.0761626    
0.300158     0.0230407    0.00788388   0.076762     
0.302556     0.023406     0.00794394   0.077361     
