# Mass = 0.0442061 Mev*(hbarc)^2/2 
# R = 2.88468 fm 
# a = 0.662 fm 
# V0 = 60.3766 MeV 
# RSO = 2.65574 fm 
# aSO = 0.662 fm 
# VSO = 32.9772 MeV fm^2
# Rc = 2.88468 fm
# Zc = 0
# n = 0 
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -34.3604 MeV
# r          u            Phi          u/r          
0.01         0.00735205   0.0355312    0.735205     
0.012398     0.00911505   0.0355302    0.735203     
0.014796     0.010878     0.0355289    0.735198     
0.017194     0.0126409    0.0355274    0.73519      
0.019592     0.0144036    0.0355256    0.73518      
0.02199      0.0161663    0.0355236    0.735168     
0.024388     0.0179289    0.0355214    0.735154     
0.026786     0.0196914    0.035519     0.735138     
0.029184     0.0214538    0.0355163    0.735121     
0.031582     0.023216     0.0355135    0.735101     
0.03398      0.024978     0.0355103    0.73508      
0.036378     0.0267399    0.035507     0.735058     
0.038776     0.0285017    0.0355034    0.735034     
0.041174     0.0302632    0.0354996    0.735008     
0.043572     0.0320246    0.0354956    0.734981     
0.04597      0.0337857    0.0354914    0.734952     
0.048368     0.0355467    0.0354869    0.734921     
0.050766     0.0373074    0.0354822    0.734889     
0.053164     0.0390678    0.0354773    0.734855     
0.055562     0.0408281    0.0354721    0.73482      
0.05796      0.042588     0.0354667    0.734783     
0.060358     0.0443477    0.0354611    0.734744     
0.062756     0.0461071    0.0354553    0.734704     
0.065154     0.0478662    0.0354492    0.734662     
0.067552     0.049625     0.0354429    0.734619     
0.06995      0.0513835    0.0354364    0.734574     
0.072348     0.0531416    0.0354297    0.734528     
0.074746     0.0548994    0.0354227    0.73448      
0.077144     0.0566569    0.0354155    0.73443      
0.079542     0.058414     0.0354081    0.734379     
0.08194      0.0601707    0.0354005    0.734327     
0.084338     0.0619271    0.0353926    0.734272     
0.086736     0.063683     0.0353845    0.734217     
0.089134     0.0654385    0.0353762    0.734159     
0.091532     0.0671937    0.0353677    0.7341       
0.09393      0.0689484    0.0353589    0.73404      
0.096328     0.0707026    0.0353499    0.733978     
0.098726     0.0724564    0.0353407    0.733914     
0.101124     0.0742097    0.0353312    0.733849     
0.103522     0.0759626    0.0353216    0.733782     
0.10592      0.077715     0.0353117    0.733714     
0.108318     0.0794668    0.0353016    0.733644     
0.110716     0.0812182    0.0352912    0.733573     
0.113114     0.0829691    0.0352807    0.7335       
0.115512     0.0847194    0.0352699    0.733425     
0.11791      0.0864692    0.0352589    0.733349     
0.120308     0.0882184    0.0352476    0.733271     
