# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.2779 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.6942 MeV fm^2
# Rc = 4.82059 fm
# Zc = 0
# n = 0 
# l = 1 
# two_j = 3 
# two_t = -1 
# Energy = -32.0792 MeV
# r          u            Phi          u/r          
0.01         1.71199e-05  2.44326e-05  0.00171199   
0.012398     2.63149e-05  3.02912e-05  0.00212252   
0.014796     3.74788e-05  3.61496e-05  0.00253304   
0.017194     5.06114e-05  4.20078e-05  0.00294355   
0.019592     6.57125e-05  4.78657e-05  0.00335405   
0.02199      8.27823e-05  5.37234e-05  0.00376454   
0.024388     0.00010182   5.95807e-05  0.00417502   
0.026786     0.000122827  6.54376e-05  0.00458549   
0.029184     0.000145801  7.12941e-05  0.00499594   
0.031582     0.000170744  7.71502e-05  0.00540637   
0.03398      0.000197655  8.30058e-05  0.00581679   
0.036378     0.000226533  8.88609e-05  0.00622719   
0.038776     0.000257379  9.47155e-05  0.00663758   
0.041174     0.000290192  0.000100569  0.00704794   
0.043572     0.000324972  0.000106423  0.00745828   
0.04597      0.000361719  0.000112276  0.0078686    
0.048368     0.000400433  0.000118128  0.00827889   
0.050766     0.000441114  0.000123979  0.00868916   
0.053164     0.00048376   0.00012983   0.0090994    
0.055562     0.000528373  0.000135679  0.00950961   
0.05796      0.000574951  0.000141528  0.0099198    
0.060358     0.000623495  0.000147376  0.01033      
0.062756     0.000674004  0.000153224  0.0107401    
0.065154     0.000726478  0.00015907   0.0111502    
0.067552     0.000780916  0.000164915  0.0115602    
0.06995      0.000837319  0.00017076   0.0119702    
0.072348     0.000895685  0.000176603  0.0123802    
0.074746     0.000956015  0.000182445  0.0127902    
0.077144     0.00101831   0.000188286  0.0132001    
0.079542     0.00108256   0.000194126  0.01361      
0.08194      0.00114878   0.000199965  0.0140198    
0.084338     0.00121696   0.000205803  0.0144296    
0.086736     0.0012871    0.000211639  0.0148393    
0.089134     0.00135921   0.000217474  0.015249     
0.091532     0.00143327   0.000223308  0.0156587    
0.09393      0.00150929   0.000229141  0.0160683    
0.096328     0.00158728   0.000234972  0.0164778    
0.098726     0.00166722   0.000240802  0.0168873    
0.101124     0.00174912   0.00024663   0.0172968    
0.103522     0.00183298   0.000252457  0.0177062    
0.10592      0.0019188    0.000258282  0.0181155    
0.108318     0.00200657   0.000264106  0.0185248    
0.110716     0.00209631   0.000269928  0.0189341    
0.113114     0.00218799   0.000275748  0.0193433    
0.115512     0.00228164   0.000281567  0.0197524    
0.11791      0.00237724   0.000287384  0.0201615    
0.120308     0.00247479   0.0002932    0.0205705    
0.122706     0.0025743    0.000299013  0.0209794    
0.125104     0.00267576   0.000304825  0.0213883    
0.127502     0.00277917   0.000310635  0.0217971    
0.1299       0.00288454   0.000316443  0.0222058    
0.132298     0.00299186   0.00032225   0.0226145    
0.134696     0.00310113   0.000328054  0.0230231    
0.137094     0.00321234   0.000333856  0.0234317    
0.139492     0.00332551   0.000339657  0.0238402    
0.14189      0.00344063   0.000345455  0.0242486    
0.144288     0.0035577    0.000351251  0.0246569    
0.146686     0.00367671   0.000357046  0.0250652    
0.149084     0.00379767   0.000362838  0.0254733    
0.151482     0.00392057   0.000368627  0.0258815    
0.15388      0.00404543   0.000374415  0.0262895    
0.156278     0.00417222   0.000380201  0.0266974    
0.158676     0.00430096   0.000385984  0.0271053    
0.161074     0.00443164   0.000391765  0.0275131    
0.163472     0.00456427   0.000397543  0.0279208    
0.16587      0.00469884   0.000403319  0.0283284    
0.168268     0.00483534   0.000409093  0.028736     
0.170666     0.00497379   0.000414864  0.0291434    
0.173064     0.00511418   0.000420633  0.0295508    
0.175462     0.0052565    0.000426399  0.0299581    
0.17786      0.00540076   0.000432163  0.0303652    
0.180258     0.00554696   0.000437924  0.0307723    
0.182656     0.00569509   0.000443682  0.0311793    
0.185054     0.00584516   0.000449438  0.0315862    
0.187452     0.00599716   0.000455191  0.0319931    
0.18985      0.0061511    0.000460942  0.0323998    
0.192248     0.00630697   0.000466689  0.0328064    
0.194646     0.00646476   0.000472434  0.0332129    
0.197044     0.00662449   0.000478176  0.0336194    
0.199442     0.00678615   0.000483915  0.0340257    
0.20184      0.00694973   0.000489652  0.0344319    
0.204238     0.00711525   0.000495385  0.034838     
0.206636     0.00728269   0.000501115  0.035244     
0.209034     0.00745205   0.000506843  0.0356499    
0.211432     0.00762334   0.000512567  0.0360557    
0.21383      0.00779655   0.000518288  0.0364614    
0.216228     0.00797168   0.000524007  0.036867     
0.218626     0.00814874   0.000529722  0.0372725    
0.221024     0.00832771   0.000535434  0.0376779    
0.223422     0.00850861   0.000541142  0.0380831    
0.22582      0.00869142   0.000546848  0.0384883    
0.228218     0.00887615   0.00055255   0.0388933    
0.230616     0.00906279   0.000558249  0.0392982    
0.233014     0.00925135   0.000563944  0.039703     
0.235412     0.00944182   0.000569637  0.0401077    
0.23781      0.00963421   0.000575325  0.0405122    
0.240208     0.0098285    0.000581011  0.0409166    
0.242606     0.0100247    0.000586693  0.0413209    
0.245004     0.0102228    0.000592371  0.0417251    
0.247402     0.0104228    0.000598046  0.0421292    
0.2498       0.0106248    0.000603717  0.0425331    
0.252198     0.0108286    0.000609385  0.0429369    
0.254596     0.0110343    0.000615048  0.0433406    
0.256994     0.011242     0.000620709  0.0437442    
0.259392     0.0114515    0.000626365  0.0441476    
0.26179      0.011663     0.000632018  0.0445509    
0.264188     0.0118763    0.000637667  0.044954     
