# Mass = 0.0473265 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 56.2183 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.772 MeV fm^2
# Rc = 4.82059 fm
# Zc = 25
# n = 0 
# l = 1 
# two_j = 3 
# two_t = 1 
# Energy = -27.7669 MeV
# r          u            Phi          u/r          
0.01         1.6665e-05   6.30906e-05  0.0016665    
0.012398     2.56158e-05  7.82189e-05  0.00206613   
0.014796     3.64831e-05  9.33467e-05  0.00246574   
0.017194     4.92668e-05  0.000108474  0.00286535   
0.019592     6.39668e-05  0.000123601  0.00326494   
0.02199      8.05831e-05  0.000138726  0.00366453   
0.024388     9.91155e-05  0.000153852  0.00406411   
0.026786     0.000119564  0.000168976  0.00446367   
0.029184     0.000141928  0.000184099  0.00486322   
0.031582     0.000166208  0.000199221  0.00526276   
0.03398      0.000192404  0.000214342  0.00566228   
0.036378     0.000220516  0.000229462  0.00606179   
0.038776     0.000250542  0.00024458   0.00646127   
0.041174     0.000282484  0.000259697  0.00686074   
0.043572     0.000316341  0.000274813  0.00726019   
0.04597      0.000352112  0.000289926  0.00765961   
0.048368     0.000389799  0.000305039  0.00805902   
0.050766     0.000429399  0.000320149  0.0084584    
0.053164     0.000470914  0.000335258  0.00885776   
0.055562     0.000514342  0.000350364  0.00925709   
0.05796      0.000559685  0.000365469  0.00965639   
0.060358     0.00060694   0.000380572  0.0100557    
0.062756     0.000656109  0.000395672  0.0104549    
0.065154     0.00070719   0.00041077   0.0108541    
0.067552     0.000760184  0.000425866  0.0112533    
0.06995      0.000815091  0.00044096   0.0116525    
0.072348     0.000871909  0.00045605   0.0120516    
0.074746     0.000930639  0.000471139  0.0124507    
0.077144     0.00099128   0.000486224  0.0128497    
0.079542     0.00105383   0.000501307  0.0132487    
0.08194      0.00111829   0.000516387  0.0136477    
0.084338     0.00118467   0.000531464  0.0140467    
0.086736     0.00125295   0.000546538  0.0144456    
0.089134     0.00132314   0.000561609  0.0148444    
0.091532     0.00139524   0.000576676  0.0152432    
0.09393      0.00146925   0.000591741  0.015642     
0.096328     0.00154517   0.000606802  0.0160407    
0.098726     0.001623     0.000621859  0.0164394    
0.101124     0.00170273   0.000636913  0.016838     
0.103522     0.00178437   0.000651963  0.0172366    
0.10592      0.00186791   0.00066701   0.0176351    
0.108318     0.00195337   0.000682053  0.0180336    
0.110716     0.00204072   0.000697092  0.0184321    
0.113114     0.00212999   0.000712127  0.0188304    
0.115512     0.00222115   0.000727158  0.0192288    
0.11791      0.00231422   0.000742185  0.019627     
0.120308     0.0024092    0.000757207  0.0200253    
0.122706     0.00250608   0.000772225  0.0204234    
0.125104     0.00260485   0.000787239  0.0208215    
0.127502     0.00270554   0.000802249  0.0212196    
0.1299       0.00280812   0.000817254  0.0216175    
0.132298     0.0029126    0.000832254  0.0220155    
0.134696     0.00301898   0.000847249  0.0224133    
0.137094     0.00312727   0.00086224   0.0228111    
0.139492     0.00323745   0.000877226  0.0232088    
0.14189      0.00334953   0.000892207  0.0236065    
0.144288     0.0034635    0.000907182  0.0240041    
0.146686     0.00357938   0.000922153  0.0244016    
0.149084     0.00369715   0.000937118  0.0247991    
0.151482     0.00381681   0.000952078  0.0251965    
0.15388      0.00393837   0.000967033  0.0255938    
0.156278     0.00406182   0.000981982  0.025991     
0.158676     0.00418717   0.000996925  0.0263882    
0.161074     0.00431441   0.00101186   0.0267853    
0.163472     0.00444354   0.0010268    0.0271823    
0.16587      0.00457457   0.00104172   0.0275792    
0.168268     0.00470748   0.00105664   0.0279761    
0.170666     0.00484229   0.00107156   0.0283729    
0.173064     0.00497898   0.00108647   0.0287696    
0.175462     0.00511756   0.00110137   0.0291662    
0.17786      0.00525803   0.00111626   0.0295627    
0.180258     0.00540038   0.00113115   0.0299592    
0.182656     0.00554463   0.00114604   0.0303556    
0.185054     0.00569075   0.00116091   0.0307518    
0.187452     0.00583876   0.00117578   0.031148     
0.18985      0.00598866   0.00119065   0.0315441    
0.192248     0.00614043   0.0012055    0.0319402    
0.194646     0.00629409   0.00122035   0.0323361    
0.197044     0.00644963   0.0012352    0.0327319    
0.199442     0.00660705   0.00125003   0.0331277    
0.20184      0.00676635   0.00126486   0.0335233    
0.204238     0.00692752   0.00127968   0.0339189    
0.206636     0.00709058   0.0012945    0.0343143    
0.209034     0.0072555    0.0013093    0.0347097    
0.211432     0.00742231   0.0013241    0.0351049    
0.21383      0.00759099   0.0013389    0.0355001    
0.216228     0.00776154   0.00135368   0.0358952    
0.218626     0.00793397   0.00136846   0.0362901    
0.221024     0.00810826   0.00138323   0.036685     
0.223422     0.00828443   0.00139799   0.0370797    
0.22582      0.00846247   0.00141274   0.0374744    
0.228218     0.00864237   0.00142749   0.0378689    
0.230616     0.00882414   0.00144222   0.0382634    
0.233014     0.00900778   0.00145695   0.0386577    
0.235412     0.00919329   0.00147167   0.0390519    
0.23781      0.00938066   0.00148639   0.039446     
0.240208     0.00956989   0.00150109   0.03984      
0.242606     0.00976098   0.00151578   0.0402339    
0.245004     0.00995394   0.00153047   0.0406277    
0.247402     0.0101488    0.00154515   0.0410213    
0.2498       0.0103454    0.00155982   0.0414148    
0.252198     0.010544     0.00157448   0.0418083    
0.254596     0.0107443    0.00158913   0.0422016    
0.256994     0.0109466    0.00160377   0.0425947    
0.259392     0.0111507    0.00161841   0.0429878    
0.26179      0.0113566    0.00163303   0.0433807    
0.264188     0.0115644    0.00164765   0.0437736    
0.266586     0.0117741    0.00166225   0.0441662    
0.268984     0.0119856    0.00167685   0.0445588    
0.271382     0.012199     0.00169144   0.0449513    
0.27378      0.0124142    0.00170601   0.0453436    
0.276178     0.0126312    0.00172058   0.0457358    
0.278576     0.0128501    0.00173514   0.0461278    
0.280974     0.0130708    0.00174969   0.0465197    
0.283372     0.0132934    0.00176423   0.0469115    
0.28577      0.0135178    0.00177875   0.0473032    
0.288168     0.0137441    0.00179327   0.0476947    
0.290566     0.0139722    0.00180778   0.0480861    
0.292964     0.0142021    0.00182228   0.0484774    
0.295362     0.0144339    0.00183677   0.0488685    
0.29776      0.0146675    0.00185124   0.0492595    
0.300158     0.0149029    0.00186571   0.0496503    
0.302556     0.0151402    0.00188016   0.050041     
0.304954     0.0153793    0.00189461   0.0504316    
0.307352     0.0156202    0.00190904   0.050822     
0.30975      0.015863     0.00192347   0.0512123    
0.312148     0.0161076    0.00193788   0.0516024    
0.314546     0.016354     0.00195228   0.0519924    
0.316944     0.0166022    0.00196667   0.0523822    
0.319342     0.0168523    0.00198105   0.0527719    
0.32174      0.0171042    0.00199542   0.0531614    
0.324138     0.0173579    0.00200978   0.0535508    
0.326536     0.0176134    0.00202412   0.0539401    
0.328934     0.0178707    0.00203846   0.0543291    
0.331332     0.0181298    0.00205278   0.0547181    
0.33373      0.0183908    0.00206709   0.0551068    
0.336128     0.0186536    0.00208139   0.0554955    
0.338526     0.0189182    0.00209568   0.0558839    
0.340924     0.0191846    0.00210995   0.0562722    
0.343322     0.0194528    0.00212422   0.0566604    
0.34572      0.0197228    0.00213847   0.0570484    
0.348118     0.0199946    0.00215271   0.0574362    
0.350516     0.0202682    0.00216694   0.0578239    
0.352914     0.0205436    0.00218115   0.0582113    
0.355312     0.0208208    0.00219535   0.0585987    
0.35771      0.0210998    0.00220954   0.0589859    
0.360108     0.0213806    0.00222372   0.0593729    
0.362506     0.0216632    0.00223789   0.0597597    
0.364904     0.0219476    0.00225204   0.0601464    
0.367302     0.0222338    0.00226618   0.0605329    
0.3697       0.0225218    0.0022803    0.0609192    
0.372098     0.0228116    0.00229442   0.0613053    
0.374496     0.0231031    0.00230852   0.0616913    
0.376894     0.0233965    0.00232261   0.0620771    
0.379292     0.0236916    0.00233668   0.0624627    
0.38169      0.0239885    0.00235074   0.0628482    
0.384088     0.0242872    0.00236479   0.0632335    
0.386486     0.0245877    0.00237882   0.0636186    
0.388884     0.0248899    0.00239284   0.0640035    
0.391282     0.025194     0.00240685   0.0643882    
0.39368      0.0254998    0.00242084   0.0647728    
0.396078     0.0258073    0.00243482   0.0651572    
0.398476     0.0261167    0.00244879   0.0655414    
0.400874     0.0264278    0.00246274   0.0659254    
0.403272     0.0267406    0.00247668   0.0663092    
0.40567      0.0270553    0.00249061   0.0666928    
0.408068     0.0273717    0.00250452   0.0670762    
0.410466     0.0276898    0.00251841   0.0674595    
0.412864     0.0280098    0.00253229   0.0678426    
0.415262     0.0283314    0.00254616   0.0682254    
