# Mass = 0.0452189 Mev*(hbarc)^2/2 
# R = 3.175 fm 
# a = 0.662 fm 
# V0 = 58.2974 MeV 
# RSO = 2.92302 fm 
# aSO = 0.662 fm 
# VSO = 31.5165 MeV fm^2
# Rc = 3.175 fm
# Zc = 0
# n = 0 
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -36.2119 MeV
# r          u            Phi          u/r          
0.01         0.00680017   0.0234056    0.680017     
0.012398     0.00843083   0.023405     0.680015     
0.014796     0.0100614    0.0234043    0.680011     
0.017194     0.011692     0.0234034    0.680005     
0.019592     0.0133225    0.0234024    0.679996     
0.02199      0.0149529    0.0234013    0.679987     
0.024388     0.0165832    0.0234       0.679975     
0.026786     0.0182135    0.0233986    0.679962     
0.029184     0.0198436    0.0233971    0.679948     
0.031582     0.0214736    0.0233954    0.679933     
0.03398      0.0231035    0.0233936    0.679916     
0.036378     0.0247333    0.0233917    0.679898     
0.038776     0.026363     0.0233896    0.679878     
0.041174     0.0279924    0.0233874    0.679857     
0.043572     0.0296218    0.0233851    0.679835     
0.04597      0.0312509    0.0233827    0.679812     
0.048368     0.0328799    0.0233801    0.679787     
0.050766     0.0345087    0.0233774    0.679761     
0.053164     0.0361373    0.0233745    0.679733     
0.055562     0.0377658    0.0233715    0.679705     
0.05796      0.0393939    0.0233684    0.679675     
0.060358     0.0410219    0.0233652    0.679644     
0.062756     0.0426497    0.0233618    0.679611     
0.065154     0.0442772    0.0233583    0.679577     
0.067552     0.0459044    0.0233547    0.679542     
0.06995      0.0475314    0.0233509    0.679506     
0.072348     0.0491582    0.0233471    0.679468     
0.074746     0.0507846    0.023343     0.679429     
0.077144     0.0524108    0.0233389    0.679389     
0.079542     0.0540367    0.0233346    0.679348     
0.08194      0.0556623    0.0233302    0.679305     
0.084338     0.0572875    0.0233257    0.679261     
0.086736     0.0589125    0.023321     0.679216     
0.089134     0.0605371    0.0233162    0.67917      
0.091532     0.0621614    0.0233113    0.679122     
0.09393      0.0637853    0.0233062    0.679073     
0.096328     0.0654089    0.023301     0.679022     
0.098726     0.0670321    0.0232957    0.678971     
0.101124     0.0686549    0.0232902    0.678918     
0.103522     0.0702774    0.0232846    0.678864     
0.10592      0.0718994    0.0232789    0.678809     
0.108318     0.0735211    0.0232731    0.678752     
0.110716     0.0751423    0.0232671    0.678694     
0.113114     0.0767631    0.023261     0.678635     
0.115512     0.0783835    0.0232548    0.678575     
0.11791      0.0800035    0.0232484    0.678513     
0.120308     0.081623     0.0232419    0.67845      
0.122706     0.083242     0.0232353    0.678386     
0.125104     0.0848606    0.0232286    0.67832      
0.127502     0.0864787    0.0232217    0.678254     
0.1299       0.0880963    0.0232147    0.678186     
0.132298     0.0897134    0.0232076    0.678116     
0.134696     0.0913301    0.0232003    0.678046     
0.137094     0.0929462    0.0231929    0.677974     
0.139492     0.0945618    0.0231854    0.677901     
0.14189      0.0961768    0.0231777    0.677827     
0.144288     0.0977914    0.0231699    0.677751     
0.146686     0.0994054    0.023162     0.677674     
0.149084     0.101019     0.023154     0.677596     
0.151482     0.102632     0.0231458    0.677517     
0.15388      0.104244     0.0231375    0.677437     
0.156278     0.105856     0.0231291    0.677355     
0.158676     0.107467     0.0231206    0.677272     
0.161074     0.109077     0.0231119    0.677187     
0.163472     0.110687     0.0231031    0.677102     
0.16587      0.112296     0.0230941    0.677015     
0.168268     0.113905     0.0230851    0.676927     
0.170666     0.115513     0.0230759    0.676838     
0.173064     0.117121     0.0230666    0.676747     
0.175462     0.118727     0.0230571    0.676655     
0.17786      0.120333     0.0230475    0.676562     
0.180258     0.121939     0.0230378    0.676468     
0.182656     0.123543     0.023028     0.676372     
0.185054     0.125147     0.0230181    0.676275     
0.187452     0.126751     0.023008     0.676177     
0.18985      0.128353     0.0229978    0.676078     
0.192248     0.129955     0.0229874    0.675978     
0.194646     0.131557     0.0229769    0.675876     
0.197044     0.133157     0.0229664    0.675773     
0.199442     0.134757     0.0229556    0.675668     
0.20184      0.136356     0.0229448    0.675563     
0.204238     0.137954     0.0229338    0.675456     
0.206636     0.139551     0.0229227    0.675348     
0.209034     0.141148     0.0229115    0.675239     
0.211432     0.142744     0.0229001    0.675128     
0.21383      0.144339     0.0228887    0.675017     
0.216228     0.145933     0.022877     0.674904     
0.218626     0.147526     0.0228653    0.674789     
0.221024     0.149119     0.0228535    0.674674     
0.223422     0.150711     0.0228415    0.674557     
0.22582      0.152302     0.0228294    0.674439     
0.228218     0.153892     0.0228171    0.67432      
0.230616     0.155481     0.0228048    0.6742       
0.233014     0.15707      0.0227923    0.674078     
0.235412     0.158657     0.0227797    0.673955     
0.23781      0.160244     0.0227669    0.673831     
0.240208     0.161829     0.0227541    0.673706     
0.242606     0.163414     0.0227411    0.673579     
0.245004     0.164998     0.022728     0.673451     
0.247402     0.166581     0.0227147    0.673322     
0.2498       0.168163     0.0227014    0.673192     
0.252198     0.169744     0.0226879    0.67306      
0.254596     0.171325     0.0226743    0.672927     
0.256994     0.172904     0.0226605    0.672793     
0.259392     0.174482     0.0226467    0.672658     
0.26179      0.176059     0.0226327    0.672522     
0.264188     0.177636     0.0226186    0.672384     
0.266586     0.179211     0.0226043    0.672245     
0.268984     0.180786     0.02259      0.672105     
0.271382     0.182359     0.0225755    0.671964     
0.27378      0.183931     0.0225609    0.671821     
0.276178     0.185503     0.0225461    0.671677     
0.278576     0.187073     0.0225313    0.671532     
0.280974     0.188642     0.0225163    0.671386     
0.283372     0.19021      0.0225012    0.671239     
0.28577      0.191777     0.022486     0.67109      
0.288168     0.193343     0.0224707    0.67094      
0.290566     0.194908     0.0224552    0.670789     
0.292964     0.196472     0.0224396    0.670637     
0.295362     0.198035     0.0224239    0.670483     
0.29776      0.199597     0.022408     0.670328     
0.300158     0.201158     0.0223921    0.670172     
0.302556     0.202717     0.022376     0.670015     
0.304954     0.204275     0.0223598    0.669857     
0.307352     0.205833     0.0223435    0.669697     
0.30975      0.207389     0.022327     0.669536     
0.312148     0.208944     0.0223105    0.669374     
0.314546     0.210498     0.0222938    0.669211     
0.316944     0.21205      0.022277     0.669046     
0.319342     0.213602     0.02226      0.668881     
0.32174      0.215152     0.022243     0.668714     
0.324138     0.216701     0.0222258    0.668545     
0.326536     0.218249     0.0222085    0.668376     
0.328934     0.219796     0.0221911    0.668206     
0.331332     0.221341     0.0221736    0.668034     
0.33373      0.222885     0.0221559    0.667861     
0.336128     0.224428     0.0221381    0.667687     
0.338526     0.22597      0.0221202    0.667511     
0.340924     0.22751      0.0221022    0.667335     
0.343322     0.22905      0.0220841    0.667157     
0.34572      0.230588     0.0220658    0.666978     
0.348118     0.232124     0.0220474    0.666798     
0.350516     0.23366      0.0220289    0.666617     
0.352914     0.235194     0.0220103    0.666434     
