# Mass = 0.0451606 Mev*(hbarc)^2/2 
# R = 3.175 fm 
# a = 0.662 fm 
# V0 = 58.2974 MeV 
# RSO = 2.92302 fm 
# aSO = 0.662 fm 
# VSO = 31.598 MeV fm^2
# Rc = 3.175 fm
# Zc = 7
# n = 0 
# l = 1 
# two_j = 1 
# two_t = 1 
# Energy = -13.2461 MeV
# r          u            Phi          u/r          
0.01         3.27825e-05  0.00120694   0.00327825   
0.012398     5.03902e-05  0.00149637   0.00406438   
0.014796     7.17683e-05  0.0017858    0.00485052   
0.017194     9.69165e-05  0.00207522   0.00563665   
0.019592     0.000125835  0.00236463   0.00642277   
0.02199      0.000158523  0.00265402   0.00720888   
0.024388     0.000194981  0.00294339   0.00799497   
0.026786     0.000235209  0.00323274   0.00878103   
0.029184     0.000279205  0.00352207   0.00956707   
0.031582     0.000326971  0.00381136   0.0103531    
0.03398      0.000378504  0.00410062   0.011139     
0.036378     0.000433806  0.00438985   0.011925     
0.038776     0.000492875  0.00467903   0.0127108    
0.041174     0.000555711  0.00496817   0.0134966    
0.043572     0.000622313  0.00525727   0.0142824    
0.04597      0.00069268   0.00554631   0.0150681    
0.048368     0.000766813  0.0058353    0.0158537    
0.050766     0.00084471   0.00612423   0.0166393    
0.053164     0.00092637   0.0064131    0.0174248    
0.055562     0.00101179   0.00670191   0.0182102    
0.05796      0.00110098   0.00699065   0.0189955    
0.060358     0.00119392   0.00727931   0.0197807    
0.062756     0.00129063   0.00756791   0.0205658    
0.065154     0.00139109   0.00785642   0.0213509    
0.067552     0.00149532   0.00814485   0.0221358    
0.06995      0.00160329   0.0084332    0.0229206    
0.072348     0.00171503   0.00872146   0.0237053    
0.074746     0.00183052   0.00900962   0.0244899    
0.077144     0.00194976   0.00929769   0.0252743    
0.079542     0.00207275   0.00958566   0.0260586    
0.08194      0.0021995    0.00987353   0.0268428    
0.084338     0.00232999   0.0101613    0.0276269    
0.086736     0.00246424   0.0104489    0.0284108    
0.089134     0.00260222   0.0107365    0.0291945    
0.091532     0.00274396   0.0110239    0.0299781    
0.09393      0.00288943   0.0113112    0.0307616    
0.096328     0.00303865   0.0115984    0.0315449    
0.098726     0.00319161   0.0118854    0.032328     
