# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1828 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 27.9403 MeV fm^2
# Rc = 7.46549 fm
# Zc = 0
# n = 0 
# l = 1 
# two_j = 3 
# two_t = -1 
# Energy = -37.1982 MeV
# r          u            Phi          u/r          
0.01         6.6178e-06   3.65313e-07  0.00066178   
0.012398     1.01722e-05  4.52913e-07  0.000820474  
0.014796     1.44878e-05  5.40511e-07  0.000979167  
0.017194     1.95643e-05  6.28109e-07  0.00113786   
0.019592     2.5402e-05   7.15704e-07  0.00129655   
0.02199      3.20007e-05  8.03298e-07  0.00145524   
0.024388     3.93603e-05  8.9089e-07   0.00161392   
0.026786     4.7481e-05   9.78479e-07  0.00177261   
0.029184     5.63627e-05  1.06607e-06  0.00193129   
0.031582     6.60053e-05  1.15365e-06  0.00208997   
0.03398      7.64089e-05  1.24123e-06  0.00224864   
0.036378     8.75734e-05  1.32881e-06  0.00240732   
0.038776     9.94987e-05  1.41638e-06  0.00256599   
0.041174     0.000112185  1.50395e-06  0.00272465   
0.043572     0.000125632  1.59152e-06  0.00288332   
0.04597      0.00013984   1.67908e-06  0.00304198   
0.048368     0.000154808  1.76664e-06  0.00320063   
0.050766     0.000170537  1.85419e-06  0.00335928   
0.053164     0.000187027  1.94174e-06  0.00351793   
0.055562     0.000204278  2.02928e-06  0.00367657   
0.05796      0.000222289  2.11682e-06  0.00383521   
0.060358     0.00024106   2.20435e-06  0.00399384   
0.062756     0.000260592  2.29188e-06  0.00415247   
0.065154     0.000280885  2.3794e-06   0.00431109   
0.067552     0.000301937  2.46691e-06  0.0044697    
0.06995      0.00032375   2.55442e-06  0.00462831   
0.072348     0.000346324  2.64192e-06  0.00478691   
0.074746     0.000369657  2.72941e-06  0.00494551   
0.077144     0.000393751  2.8169e-06   0.0051041    
0.079542     0.000418605  2.90438e-06  0.00526269   
0.08194      0.000444218  2.99185e-06  0.00542126   
0.084338     0.000470592  3.07931e-06  0.00557983   
0.086736     0.000497725  3.16677e-06  0.00573839   
0.089134     0.000525619  3.25421e-06  0.00589695   
0.091532     0.000554272  3.34165e-06  0.0060555    
0.09393      0.000583684  3.42908e-06  0.00621403   
0.096328     0.000613856  3.5165e-06   0.00637256   
0.098726     0.000644788  3.60391e-06  0.00653109   
0.101124     0.000676479  3.69131e-06  0.0066896    
0.103522     0.000708929  3.7787e-06   0.0068481    
0.10592      0.000742139  3.86609e-06  0.0070066    
0.108318     0.000776108  3.95346e-06  0.00716509   
0.110716     0.000810836  4.04082e-06  0.00732356   
0.113114     0.000846322  4.12817e-06  0.00748203   
0.115512     0.000882568  4.21551e-06  0.00764049   
0.11791      0.000919572  4.30283e-06  0.00779893   
0.120308     0.000957335  4.39015e-06  0.00795737   
0.122706     0.000995857  4.47746e-06  0.0081158    
0.125104     0.00103514   4.56475e-06  0.00827421   
0.127502     0.00107518   4.65203e-06  0.00843262   
0.1299       0.00111597   4.7393e-06   0.00859101   
0.132298     0.00115753   4.82655e-06  0.00874939   
0.134696     0.00119984   4.9138e-06   0.00890776   
0.137094     0.00124291   5.00103e-06  0.00906612   
0.139492     0.00128674   5.08824e-06  0.00922447   
0.14189      0.00133133   5.17545e-06  0.0093828    
0.144288     0.00137667   5.26264e-06  0.00954112   
0.146686     0.00142277   5.34981e-06  0.00969943   
0.149084     0.00146963   5.43698e-06  0.00985773   
0.151482     0.00151725   5.52412e-06  0.010016     
0.15388      0.00156562   5.61126e-06  0.0101743    
0.156278     0.00161475   5.69837e-06  0.0103325    
0.158676     0.00166464   5.78548e-06  0.0104908    
0.161074     0.00171528   5.87256e-06  0.010649     
0.163472     0.00176668   5.95964e-06  0.0108072    
0.16587      0.00181884   6.04669e-06  0.0109654    
0.168268     0.00187175   6.13373e-06  0.0111236    
0.170666     0.00192542   6.22076e-06  0.0112818    
0.173064     0.00197984   6.30776e-06  0.0114399    
0.175462     0.00203502   6.39475e-06  0.0115981    
0.17786      0.00209096   6.48173e-06  0.0117562    
0.180258     0.00214765   6.56868e-06  0.0119143    
0.182656     0.0022051    6.65562e-06  0.0120724    
0.185054     0.0022633    6.74255e-06  0.0122305    
0.187452     0.00232226   6.82945e-06  0.0123886    
0.18985      0.00238197   6.91634e-06  0.0125466    
0.192248     0.00244244   7.0032e-06   0.0127046    
0.194646     0.00250366   7.09005e-06  0.0128626    
0.197044     0.00256564   7.17688e-06  0.0130206    
0.199442     0.00262837   7.26369e-06  0.0131786    
0.20184      0.00269186   7.35048e-06  0.0133366    
0.204238     0.00275609   7.43726e-06  0.0134945    
0.206636     0.00282109   7.52401e-06  0.0136524    
