# Mass = 0.0479598 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 59.5769 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 28.0171 MeV fm^2
# Rc = 7.46549 fm
# Zc = 81
# n = 0 
# l = 5 
# two_j = 11 
# two_t = 1 
# Energy = -9.60786 MeV
# r          u            Phi          u/r          
0.01         1.33428e-16  6.53663e-15  1.33428e-14  
0.012398     4.84571e-16  1.91474e-14  3.90846e-14  
0.014796     1.39995e-15  4.63523e-14  9.46166e-14  
0.017194     3.44751e-15  9.82274e-14  2.00507e-13  
0.019592     7.54597e-15  1.88686e-13  3.85156e-13  
0.02199      1.50866e-14  3.361e-13    6.86067e-13  
0.024388     2.80734e-14  5.63924e-13  1.15112e-12  
0.026786     4.92813e-14  9.01312e-13  1.83982e-12  
0.029184     8.2433e-14   1.38375e-12  2.8246e-12   
0.031582     1.32394e-13  2.05365e-12  4.19206e-12  
0.03398      2.05384e-13  2.96101e-12  6.04426e-12  
0.036378     3.09211e-13  4.16402e-12  8.49995e-12  
0.038776     4.5352e-13   5.72966e-12  1.16959e-11  
0.041174     6.50059e-13  7.73434e-12  1.57881e-11  
0.043572     9.12967e-13  1.02645e-11  2.09531e-11  
0.04597      1.25908e-12  1.34174e-11  2.73891e-11  
0.048368     1.70824e-12  1.73014e-11  3.53176e-11  
0.050766     2.28367e-12  2.20368e-11  4.49842e-11  
0.053164     3.01229e-12  2.77565e-11  5.66602e-11  
0.055562     3.92511e-12  3.46065e-11  7.06438e-11  
0.05796      5.05765e-12  4.27467e-11  8.72611e-11  
0.060358     6.45033e-12  5.23512e-11  1.06868e-10  
0.062756     8.14888e-12  6.36093e-11  1.2985e-10   
0.065154     1.02048e-11  7.67257e-11  1.56627e-10  
0.067552     1.2676e-11   9.19216e-11  1.87648e-10  
0.06995      1.56269e-11  1.09435e-10  2.23401e-10  
0.072348     1.91293e-11  1.29521e-10  2.64406e-10  
0.074746     2.32626e-11  1.52453e-10  3.11223e-10  
0.077144     2.81149e-11  1.78524e-10  3.64447e-10  
0.079542     3.37827e-11  2.08046e-10  4.24715e-10  
0.08194      4.03723e-11  2.41349e-10  4.92705e-10  
0.084338     4.79997e-11  2.78786e-10  5.69135e-10  
0.086736     5.67919e-11  3.2073e-10   6.54767e-10  
0.089134     6.6887e-11   3.67576e-10  7.50409e-10  
0.091532     7.84349e-11  4.19742e-10  8.56913e-10  
0.09393      9.15985e-11  4.77669e-10  9.75178e-10  
0.096328     1.06554e-10  5.4182e-10   1.10615e-09  
0.098726     1.2349e-10   6.12684e-10  1.25084e-09  
0.101124     1.42613e-10  6.90775e-10  1.41027e-09  
0.103522     1.64141e-10  7.76631e-10  1.58557e-09  
0.10592      1.88312e-10  8.70818e-10  1.77787e-09  
0.108318     2.15379e-10  9.73926e-10  1.9884e-09   
0.110716     2.45613e-10  1.08657e-09  2.21841e-09  
0.113114     2.79303e-10  1.20941e-09  2.46922e-09  
0.115512     3.16759e-10  1.34311e-09  2.74222e-09  
0.11791      3.58309e-10  1.48838e-09  3.03884e-09  
0.120308     4.04305e-10  1.64595e-09  3.36058e-09  
0.122706     4.55118e-10  1.81659e-09  3.70901e-09  
0.125104     5.11145e-10  2.00109e-09  4.08576e-09  
0.127502     5.72804e-10  2.20029e-09  4.49251e-09  
0.1299       6.40539e-10  2.41503e-09  4.93102e-09  
0.132298     7.14821e-10  2.64621e-09  5.40311e-09  
0.134696     7.96144e-10  2.89477e-09  5.91068e-09  
0.137094     8.85035e-10  3.16165e-09  6.45568e-09  
0.139492     9.82045e-10  3.44786e-09  7.04015e-09  
0.14189      1.08776e-09  3.75442e-09  7.6662e-09   
0.144288     1.20278e-09  4.0824e-09   8.336e-09    
0.146686     1.32777e-09  4.4329e-09   9.0518e-09   
0.149084     1.4634e-09   4.80706e-09  9.81594e-09  
0.151482     1.61038e-09  5.20606e-09  1.06308e-08  
0.15388      1.76945e-09  5.63111e-09  1.14989e-08  
0.156278     1.94141e-09  6.08347e-09  1.24228e-08  
0.158676     2.12707e-09  6.56443e-09  1.34051e-08  
0.161074     2.32729e-09  7.07532e-09  1.44486e-08  
0.163472     2.54297e-09  7.61752e-09  1.5556e-08   
0.16587      2.77505e-09  8.19244e-09  1.67303e-08  
0.168268     3.02452e-09  8.80155e-09  1.79744e-08  
0.170666     3.29239e-09  9.44634e-09  1.92914e-08  
0.173064     3.57975e-09  1.01283e-08  2.06845e-08  
0.175462     3.8877e-09   1.08492e-08  2.21569e-08  
0.17786      4.21741e-09  1.16104e-08  2.3712e-08   
0.180258     4.57009e-09  1.24138e-08  2.53531e-08  
0.182656     4.94701e-09  1.3261e-08   2.70838e-08  
0.185054     5.34948e-09  1.41539e-08  2.89077e-08  
0.187452     5.77886e-09  1.50941e-08  3.08285e-08  
0.18985      6.23657e-09  1.60837e-08  3.285e-08    
0.192248     6.72409e-09  1.71244e-08  3.49761e-08  
0.194646     7.24296e-09  1.82183e-08  3.72109e-08  
0.197044     7.79475e-09  1.93673e-08  3.95584e-08  
0.199442     8.38113e-09  2.05735e-08  4.20229e-08  
0.20184      9.00379e-09  2.18391e-08  4.46086e-08  
0.204238     9.66453e-09  2.31661e-08  4.73199e-08  
0.206636     1.03652e-08  2.45569e-08  5.01615e-08  
0.209034     1.11076e-08  2.60135e-08  5.31378e-08  
0.211432     1.18938e-08  2.75384e-08  5.62537e-08  
0.21383      1.27259e-08  2.9134e-08   5.9514e-08   
0.216228     1.36058e-08  3.08026e-08  6.29236e-08  
0.218626     1.45359e-08  3.25467e-08  6.64876e-08  
0.221024     1.55184e-08  3.43689e-08  7.02112e-08  
0.223422     1.65555e-08  3.62716e-08  7.40997e-08  
0.22582      1.76497e-08  3.82577e-08  7.81584e-08  
0.228218     1.88035e-08  4.03297e-08  8.23929e-08  
0.230616     2.00195e-08  4.24905e-08  8.68089e-08  
0.233014     2.13003e-08  4.47428e-08  9.1412e-08   
0.235412     2.26486e-08  4.70895e-08  9.62082e-08  
0.23781      2.40672e-08  4.95336e-08  1.01204e-07  
0.240208     2.55591e-08  5.20779e-08  1.06404e-07  
0.242606     2.71272e-08  5.47257e-08  1.11816e-07  
0.245004     2.87747e-08  5.74799e-08  1.17446e-07  
0.247402     3.05046e-08  6.03438e-08  1.233e-07    
0.2498       3.23203e-08  6.33206e-08  1.29385e-07  
0.252198     3.42251e-08  6.64136e-08  1.35707e-07  
0.254596     3.62225e-08  6.96261e-08  1.42274e-07  
0.256994     3.83161e-08  7.29615e-08  1.49093e-07  
0.259392     4.05094e-08  7.64235e-08  1.56171e-07  
0.26179      4.28063e-08  8.00154e-08  1.63514e-07  
0.264188     4.52107e-08  8.3741e-08   1.71131e-07  
0.266586     4.77265e-08  8.76038e-08  1.79029e-07  
0.268984     5.03578e-08  9.16077e-08  1.87215e-07  
0.271382     5.31089e-08  9.57565e-08  1.95698e-07  
0.27378      5.59839e-08  1.00054e-07  2.04485e-07  
0.276178     5.89874e-08  1.04504e-07  2.13585e-07  
0.278576     6.21239e-08  1.09111e-07  2.23005e-07  
0.280974     6.5398e-08   1.13879e-07  2.32755e-07  
0.283372     6.88146e-08  1.18812e-07  2.42842e-07  
0.28577      7.23785e-08  1.23913e-07  2.53275e-07  
0.288168     7.60948e-08  1.29189e-07  2.64064e-07  
0.290566     7.99687e-08  1.34642e-07  2.75217e-07  
0.292964     8.40053e-08  1.40277e-07  2.86743e-07  
0.295362     8.82102e-08  1.461e-07    2.98651e-07  
