12C(0+)         AV18+UX         15-Nov-13

    pair nnS momentum distribution calculated for 101 q values
    from 0.00 to 10.00 fm-1
    using 120 gauss points in r out to 20.00 fm

K = momentum in fm-1
RHOQNP = neutron-proton pair momentum distribution in fm**3
DRHOQNP = Monte Carlo error bar (1 sigma)
4*PI*TOTINT(RHOQNP(I)*K(I)**2:K(I))/(2*PI)**3 =  35.99
RHOQPP = proton-proton pair momentum distribution in fm**3
DRHOQPP = Monte Carlo error bar (1 sigma)
4*PI*TOTINT(RHOQPP(I)*K(I)**2:K(I))/(2*PI)**3 =  14.998
 
   K      RHOQNP       DRHOQNP      RHOQPP       DRHOQPP
 ****  ************  **********  ************  **********
  0    7589          83.526      1948.7        77.621
   .1  7333          79.336      1977.8        69.937
   .2  6622          67.942      2015.4        51.051
   .3  5602          52.371      1961.4        30.242
   .4  4450          36.189      1755.6        15.696
   .5  3326.4        22.254      1423.9         9.6508
   .6  2345.4        12.04       1047.1         7.207
   .7  1565.4         5.8967      705.9         4.8702
   .8   997.1         3.7562      444.2         2.9412
   .9   614.6         3.8153      267.46        2.0304
  1     373.94        3.8431      158.91        1.792
  1.1   230.48        3.4614       96.54        1.5899
  1.2   147.64        2.8413       61.92        1.2824
  1.3    99.71        2.1708       42.51         .94537
  1.4    71.07        1.5681       30.956        .656
  1.5    52.75        1.0851       23.357        .44185
  1.6    40.084        .73288      17.863        .29744
  1.7    30.762        .49376      13.65         .20714
  1.8    23.636        .34137      10.362        .15293
  1.9    18.125        .24706       7.812        .11861
  2      13.871        .18788       5.855        .093886
  2.1    10.601        .14857       4.37         .07464
  2.2     8.109        .12019       3.2549       .05959
  2.3     6.216        .098318      2.4238       .047767
  2.4     4.7803       .080532      1.8086       .038255
  2.5     3.6893       .065701      1.3505       .030306
  2.6     2.855        .053298      1.0091       .023528
  2.7     2.214        .043079       .7542       .017922
  2.8     1.7202       .034813       .5645       .013541
  2.9     1.3403       .028266       .424        .010238
  3       1.0497       .023122       .3198       .0078144
  3.1      .8269       .019042       .24239      .0060483
  3.2      .6552       .015728       .18459      .0047564
  3.3      .52147      .012986       .14124      .0037973
  3.4      .41629      .0107         .10849      .0030594
  3.5      .3331       .0088195      .08363      .0024731
  3.6      .26725      .0073007      .06468      .0020068
  3.7      .21532      .0061065      .05021      .0016405
  3.8      .17433      .0051804      .0392       .0013569
  3.9      .1418       .0044573      .03083      .0011386
  4        .11577      .0038778      .02447     9.6693E-4
  4.1      .0948       .0033954      .019598    8.2682E-4
  4.2      .07772      .002978       .015793    7.0929E-4
  4.3      .063716     .0026085      .012765    6.1121E-4
  4.4      .052145     .0022764      .010311    5.2952E-4
  4.5      .042569     .0019756      .008307    4.5993E-4
  4.6      .034692     .0017015      .006681    4.0002E-4
  4.7      .028228     .0014528      .005375    3.4787E-4
  4.8      .022952     .0012305      .004329    3.0175E-4
  4.9      .01862      .0010358      .003489    2.6149E-4
  5        .015083    8.6896E-4      .0028137   2.281E-4
  5.1      .012218    7.2691E-4      .0022746   1.9976E-4
  5.2      .009943    6.0509E-4      .0018531   1.7267E-4
  5.3      .008152    5.0032E-4      .001534    1.4755E-4
  5.4      .006738    4.1146E-4      .0012955   1.2656E-4
  5.5      .0056012   3.3831E-4      .0011166   1.0777E-4
  5.6      .0046681   2.815E-4      9.761E-4    9.1323E-5
  5.7      .0038848   2.4065E-4     8.561E-4    8.2022E-5
  5.8      .0032172   2.1396E-4     7.442E-4    7.8637E-5
  5.9      .0026444   1.9707E-4     6.356E-4    7.5315E-5
