8Be(0+) -- AV18+UX -- 13-Nov-13

VMC 100k samples using 200 gauss points in r out to 20.00 fm

K = momentum in fm**-1
RHOK_SxTy = S=x,T=y pair momentum distribution in fm**3
DRHOK_SxTy = Monte Carlo error bar (1 sigma)

4*PI*TOTINT(RHOK_S1T1*K**2:K)/(2*PI)**3 =  9.9294
4*PI*TOTINT(RHOK_S0T1*K**2:K)/(2*PI)**3 =  8.0709
4*PI*TOTINT(RHOK_S1T0*K**2:K)/(2*PI)**3 =  8.9782
4*PI*TOTINT(RHOK_S0T0*K**2:K)/(2*PI)**3 =  1.0212
 
   K   RHOK_S1T1  DRHOK_S1T1  RHOK_S0T1  DRHOK_S0T1  RHOK_S1T0  DRHOK_S1T0  RHOK_S0T0  DRHOK_S0T0
 **** *********** ********** *********** ********** *********** ********** *********** **********
  0     -1.512    32.37      3769        13.52      3823        14.09         .1622     3.57
   .1  240.1      28.63      3509        11.9       3560        12.42       27.21       3.16
   .2  785.3      19.44      2847         8.038     2894         8.411      88.11       2.153
   .3 1259         9.327     2050         4.11      2093         4.283     140.6        1.044
   .4 1397         2.724     1352         1.987     1389         2.007     155.4         .3133
   .5 1200         2.972      848.9       1.604      881.5       1.665     132.7         .3238
   .6  843.3       3.151      525.4       1.227      553         1.322      92.34        .3485
   .7  504.4       2.099      324.4        .6571     347          .7252     54.22        .2384
   .8  269          .9059     197.4        .2344     215.5        .2507     27.92        .1078
   .9  137.8        .4372     116.1        .2472     130.3        .2505     13.43        .0481
  1     75.08       .6073      65.64       .2979      76.58       .3113      6.714       .06617
  1.1   47          .5755      36.19       .2552      44.52       .2659      3.901       .06521
  1.2   33.29       .3957      20.17       .1805      26.52       .1841      2.674       .04626
  1.3   25.07       .2158      11.9        .1217      16.79       .1216      2.011       .02543
  1.4   19.22       .1309       7.662      .08976     11.49       .09096     1.557       .01434
  1.5   14.74       .119        5.379      .06916      8.424      .07216     1.209       .01309
  1.6   11.26       .1017       4.02       .04936      6.469      .0526       .9355      .01186
  1.7    8.536      .07033      3.115      .03113      5.101      .03382      .7186      .008634
  1.8    6.42       .03944      2.454      .01798      4.073      .02015      .5477      .004959
  1.9    4.794      .02138      1.943      .01174      3.268      .01336      .4144      .002427
  2      3.559      .01923      1.536      .01009      2.623      .01102      .3119      .002051
  2.1    2.631      .01967      1.209      .009037     2.102      .009422     .2338      .002282
  2.2    1.938      .01682       .9474     .007372     1.682      .007416     .1746      .00203
  2.3    1.423      .01214       .7399     .005513     1.345      .005399     .1299      .001453
  2.4    1.042      .008172      .576      .004077     1.075      .003993     .09624    9.115E-4
  2.5     .7607     .006145      .4475     .003222      .8595     .003275     .071      6.389E-4
  2.6     .5535     .00515       .3473     .002658      .6879     .002819     .05209    5.554E-4
  2.7     .4008     .004134      .27       .002163      .5518     .002383     .03793    4.742E-4
  2.8     .2885     .002989      .2106     .001722      .4442     .001972     .02737    3.571E-4
  2.9     .2066     .001931      .1653     .001371      .3591     .001632     .01957    2.321E-4
  3       .1476     .001153      .1307     .001114      .2918     .001365     .01389    1.306E-4
  3.1     .1054    7.609E-4      .1043    9.249E-4      .2383     .001152     .009792   7.882E-5
  3.2     .07537   6.431E-4      .08394   7.729E-4      .1954    9.722E-4     .006868   7.074E-5
  3.3     .05401   5.628E-4      .06821   6.402E-4      .161     8.157E-4     .004803   6.613E-5
  3.4     .03892   4.528E-4      .05596   5.27E-4       .1332    6.857E-4     .003361   5.346E-5
  3.5     .0283    3.475E-4      .04631   4.386E-4      .1105    5.871E-4     .002365   3.861E-5
  3.6     .02083   2.754E-4      .03866   3.755E-4      .09199   5.176E-4     .001679   2.749E-5
  3.7     .0155    2.314E-4      .03252   3.321E-4      .07678   4.695E-4     .001202   2.156E-5
  3.8     .01164   1.98E-4       .02751   3.019E-4      .06421   4.34E-4     8.633E-4   1.856E-5
  3.9     .008821  1.647E-4      .02338   2.793E-4      .05374   4.045E-4    6.222E-4   1.585E-5
  4       .006755  1.301E-4      .01991   2.601E-4      .04499   3.769E-4    4.516E-4   1.259E-5
  4.1     .005251  9.772E-5      .01698   2.417E-4      .03765   3.49E-4     3.332E-4   9.257E-6
  4.2     .004153  7.202E-5      .01447   2.227E-4      .03147   3.2E-4      2.521E-4   6.631E-6
  4.3     .003337  5.418E-5      .01231   2.027E-4      .02626   2.899E-4    1.963E-4   4.93E-6
  4.4     .002714  3.998E-5      .01044   1.817E-4      .02187   2.592E-4    1.569E-4   3.599E-6
  4.5     .002223  3.063E-5      .00882   1.606E-4      .01816   2.287E-4    1.274E-4   2.765E-6
  4.6     .001827  2.781E-5      .007429  1.401E-4      .01504   1.993E-4    1.04E-4    2.66E-6
  4.7     .001504  2.325E-5      .006238  1.206E-4      .01242   1.714E-4    8.468E-5   2.283E-6
  4.8     .001239  1.851E-5      .005218  1.027E-4      .01023   1.456E-4    6.854E-5   1.731E-6
  4.9     .00102   1.958E-5      .004344  8.659E-5      .008394  1.222E-4    5.513E-5   1.852E-6
  5      8.369E-4  1.883E-5      .003596  7.208E-5      .00686   1.012E-4    4.415E-5   1.933E-6
