4He(0+) -- AV18+UX -- 30-Oct-13

VMC 500k samples using 200 gauss points in r out to 20.00 fm

K = momentum in fm**-1
RHOK_SxTy = S=x,T=y pair momentum distribution in fm**3
DRHOK_SxTy = Monte Carlo error bar (1 sigma)

4*PI*TOTINT(RHOK_S1T1*K**2:K)/(2*PI)**3 =  .46468
4*PI*TOTINT(RHOK_S0T1*K**2:K)/(2*PI)**3 =  2.5354
4*PI*TOTINT(RHOK_S1T0*K**2:K)/(2*PI)**3 =  2.9934
4*PI*TOTINT(RHOK_S0T0*K**2:K)/(2*PI)**3 =  .0065616
 
  K   RHOK_S1T1  DRHOK_S1T1   RHOK_S0T1  DRHOK_S0T1   RHOK_S1T0   DRHOK_S1T0   RHOK_S0T0  DRHOK_S0T0
****  *********  **********  **********  **********  ***********  **********  **********  **********
 0     -.2758      .09608    979.7        1.08       1019          1.11        2.019E-4     .004997
  .1    .6638      .0926     929.9        1.013       967.5        1.039        .03975      .004696
  .2   3.131       .08292    797.3         .8395      830.8         .86         .1336       .003945
  .3   6.271       .06905    622           .6251      650.4         .6403       .2287       .003036
  .4   9.161       .05345    446.1         .4231      469.4         .4339       .2838       .00217
  .5  11.17        .03841    297.6         .2596      316.3         .2665       .2893       .001442
  .6  12.06        .02558    186.7         .1403      201.4         .1445       .2588      8.921E-4
  .7  11.92        .01592    111.3         .06349     122.7         .06657      .2121      5.234E-4
  .8  11.03        .009837    63.57        .03231      72.3         .03556      .1642      3.209E-4
  .9   9.674       .007173    35.05        .0377       41.73        .03987      .1231      2.438E-4
 1     8.131       .006512    18.8         .04278      23.91        .0441       .09095     2.188E-4
 1.1   6.598       .006201     9.902       .04093      13.84        .04168      .06713     1.962E-4
 1.2   5.198       .005635     5.2         .03481       8.259       .03519      .04998     1.652E-4
 1.3   3.997       .004824     2.792       .02719       5.191       .02738      .03771     1.3E-4
 1.4   3.011       .003916     1.588       .01989       3.489       .02006      .0289      9.652E-5
 1.5   2.23        .003044      .9944      .01387       2.513       .01416      .02245     6.915E-5
 1.6   1.63        .002292      .6965      .00946       1.92        .009943     .01763     4.999E-5
 1.7   1.178       .001694      .5367      .006558      1.528       .007225     .01396     3.872E-5
 1.8    .8438      .001253      .4391      .004803      1.247       .00555      .0111      3.278E-5
 1.9    .6006     9.476E-4      .3693      .003728      1.029       .004432     .008849    2.906E-5
 2      .4256     7.442E-4      .3127      .002971       .8524      .003559     .007049    2.569E-5
 2.1    .3008     6.067E-4      .2639      .002357       .7062      .002813     .0056      2.21E-5
 2.2    .2125     5.059E-4      .2211      .001839       .584       .002177     .004432    1.838E-5
 2.3    .1503     4.237E-4      .1839      .001417       .4818      .001666     .003489    1.478E-5
 2.4    .1066     3.516E-4      .1518      .001096       .3967      .001284     .00273     1.158E-5
 2.5    .07607    2.871E-4      .1246     8.653E-4       .3261      .001019     .002122    8.973E-6
 2.6    .05466    2.304E-4      .102      7.038E-4       .2679     8.385E-4     .001638    7.02E-6
 2.7    .03965    1.82E-4       .08333    5.859E-4       .2202     7.076E-4     .001254    5.677E-6
 2.8    .02906    1.422E-4      .06822    4.92E-4        .1813     6.017E-4    9.532E-4    4.78E-6
 2.9    .02157    1.107E-4      .05605    4.12E-4        .1496     5.097E-4    7.189E-4    4.136E-6
 3      .01621    8.658E-5      .04629    3.426E-4       .1237     4.283E-4    5.384E-4    3.597E-6
 3.1    .01234    6.852E-5      .03845    2.831E-4       .1027     3.578E-4    4.007E-4    3.092E-6
 3.2    .00952    5.51E-5       .03213    2.333E-4       .08544    2.985E-4    2.969E-4    2.606E-6
 3.3    .007434   4.503E-5      .02703    1.927E-4       .0713     2.503E-4    2.194E-4    2.151E-6
 3.4    .00587    3.726E-5      .0229     1.609E-4       .05966    2.126E-4    1.62E-4     1.749E-6
 3.5    .004682   3.105E-5      .01951    1.368E-4       .05003    1.844E-4    1.201E-4    1.414E-6
 3.6    .003767   2.595E-5      .01671    1.195E-4       .04203    1.641E-4    8.96E-5     1.152E-6
 3.7    .003055   2.167E-5      .01435    1.072E-4       .03534    1.493E-4    6.766E-5    9.536E-7
 3.8    .002493   1.807E-5      .01235    9.826E-5       .02973    1.377E-4    5.191E-5    8.047E-7
 3.9    .002046   1.505E-5      .01064    9.098E-5       .02499    1.276E-4    4.058E-5    6.881E-7
 4      .001687   1.254E-5      .009154   8.427E-5       .02099    1.178E-4    3.239E-5    5.908E-7
 4.1    .001395   1.047E-5      .007862   7.752E-5       .0176     1.079E-4    2.64E-5     5.054E-7
 4.2    .001158   8.764E-6      .006735   7.062E-5       .01473    9.785E-5    2.192E-5    4.291E-7
 4.3   9.626E-4   7.377E-6      .005753   6.364E-5       .0123     8.774E-5    1.848E-5    3.612E-7
 4.4   8.015E-4   6.254E-6      .004897   5.67E-5        .01025    7.778E-5    1.577E-5    3.017E-7
 4.5   6.681E-4   5.348E-6      .004152   4.992E-5       .008518   6.816E-5    1.357E-5    2.51E-7
 4.6   5.572E-4   4.62E-6       .003505   4.343E-5       .007057   5.904E-5    1.173E-5    2.088E-7
 4.7   4.648E-4   4.033E-6      .002946   3.736E-5       .005829   5.058E-5    1.017E-5    1.746E-7
 4.8   3.876E-4   3.552E-6      .002467   3.179E-5       .004799   4.287E-5    8.813E-6    1.474E-7
 4.9   3.231E-4   3.15E-6       .002058   2.675E-5       .00394    3.593E-5    7.622E-6    1.261E-7
