# r= r1-r2
# r 	 pieper 
0	0.0102946
0.02	0.0102598
0.04	0.0101773
0.06	0.0100386
0.08	0.00983892
0.1	0.00957968
0.12	0.00925023
0.14	0.00885351
0.16	0.00837358
0.18	0.00781716
0.2	0.00716854
0.22	0.00642995
0.24	0.00559538
0.26	0.00465988
0.28	0.00361889
0.3	0.0024744
0.32	0.001226
0.34	-0.000125345
0.36	-0.00157505
0.38	-0.00311794
0.4	-0.00474566
0.42	-0.00645184
0.44	-0.00821896
0.46	-0.0100412
0.48	-0.0119
0.5	-0.0137773
0.52	-0.0156729
0.54	-0.0175536
0.56	-0.0194082
0.58	-0.0212256
0.6	-0.0229885
0.62	-0.0246861
0.64	-0.0262917
0.66	-0.0278159
0.68	-0.0292263
0.7	-0.0305311
0.72	-0.031719
0.74	-0.0327855
0.76	-0.0337192
0.78	-0.0345356
0.8	-0.03522
0.82	-0.0357865
0.84	-0.0362218
0.86	-0.0365456
0.88	-0.0367618
0.9	-0.0368663
0.92	-0.0368639
0.94	-0.0367564
0.96	-0.0365982
0.98	-0.0363118
1	-0.03598
1.02	-0.0355572
1.04	-0.0350992
1.06	-0.0345617
1.08	-0.0339997
1.1	-0.0334028
1.12	-0.0327392
1.14	-0.0320316
1.16	-0.0313421
1.18	-0.0305996
1.2	-0.0298452
1.22	-0.029051
1.24	-0.0282568
1.26	-0.0274889
1.28	-0.0266835
1.3	-0.0258637
1.32	-0.0250591
1.34	-0.0242649
1.36	-0.0234587
1.38	-0.022654
1.4	-0.0218821
1.42	-0.0210901
1.44	-0.0203203
1.46	-0.019552
1.48	-0.0187955
1.5	-0.0180612
1.52	-0.0173283
1.54	-0.0166174
1.56	-0.0159183
1.58	-0.0152308
1.6	-0.014555
1.62	-0.013901
1.64	-0.0132458
1.66	-0.0126155
1.68	-0.012007
1.7	-0.01141
1.72	-0.0108243
1.74	-0.0102602
1.76	-0.00970111
1.78	-0.00916734
1.8	-0.00864889
1.82	-0.00814572
1.84	-0.0076588
1.86	-0.00718708
1.88	-0.00673152
1.9	-0.00629107
1.92	-0.00586568
1.94	-0.00545633
1.96	-0.00506297
1.98	-0.00468455
2	-0.00432101
2.02	-0.00397334
2.04	-0.00364408
2.06	-0.00332566
2.08	-0.00302299
2.1	-0.00273501
2.12	-0.00246514
2.14	-0.00220716
2.16	-0.00196377
2.18	-0.00173664
2.2	-0.00152206
2.22	-0.00132327
2.24	-0.00113841
2.26	-0.000967995
2.28	-0.000811019
2.3	-0.000669035
2.32	-0.00054024
2.34	-0.000425926
2.36	-0.000325325
2.38	-0.000238438
2.4	-0.0001649
2.42	-0.0001052
2.44	-5.888e-05
2.46	-2.597e-05
2.48	-6.369e-06
2.5	0
2.52	0
2.54	0
2.56	0
2.58	0
2.6	0
2.62	0
2.64	0
2.66	0
2.68	0
2.7	0
2.72	0
2.74	0
2.76	0
2.78	0
2.8	0
2.82	0
2.84	0
2.86	0
2.88	0
2.9	0
2.92	0
2.94	0
2.96	0
2.98	0
3	0
3.02	0
3.04	0
3.06	0
3.08	0
3.1	0
3.12	0
3.14	0
3.16	0
3.18	0
3.2	0
3.22	0
3.24	0
3.26	0
3.28	0
3.3	0
3.32	0
3.34	0
3.36	0
3.38	0
3.4	0
3.42	0
3.44	0
3.46	0
3.48	0
3.5	0
3.52	0
3.54	0
3.56	0
3.58	0
3.6	0
3.62	0
3.64	0
3.66	0
3.68	0
3.7	0
3.72	0
3.74	0
3.76	0
3.78	0
3.8	0
3.82	0
3.84	0
3.86	0
3.88	0
3.9	0
3.92	0
3.94	0
3.96	0
3.98	0
4	0
4.02	0
4.04	0
4.06	0
4.08	0
4.1	0
4.12	0
4.14	0
4.16	0
4.18	0
4.2	0
4.22	0
4.24	0
4.26	0
4.28	0
4.3	0
4.32	0
4.34	0
4.36	0
4.38	0
4.4	0
4.42	0
4.44	0
4.46	0
4.48	0
4.5	0
4.52	0
4.54	0
4.56	0
4.58	0
4.6	0
4.62	0
4.64	0
4.66	0
4.68	0
4.7	0
4.72	0
4.74	0
4.76	0
4.78	0
4.8	0
4.82	0
4.84	0
4.86	0
4.88	0
4.9	0
4.92	0
4.94	0
4.96	0
4.98	0
5	0
5.02	0
5.04	0
5.06	0
5.08	0
5.1	0
5.12	0
5.14	0
5.16	0
5.18	0
5.2	0
5.22	0
5.24	0
5.26	0
5.28	0
5.3	0
5.32	0
5.34	0
5.36	0
5.38	0
5.4	0
5.42	0
5.44	0
5.46	0
5.48	0
5.5	0
5.52	0
5.54	0
5.56	0
5.58	0
5.6	0
5.62	0
5.64	0
5.66	0
5.68	0
5.7	0
5.72	0
5.74	0
5.76	0
5.78	0
5.8	0
5.82	0
5.84	0
5.86	0
5.88	0
5.9	0
5.92	0
5.94	0
5.96	0
5.98	0
6	0
6.02	0
6.04	0
6.06	0
6.08	0
6.1	0
6.12	0
6.14	0
6.16	0
6.18	0
6.2	0
6.22	0
6.24	0
6.26	0
6.28	0
6.3	0
6.32	0
6.34	0
6.36	0
6.38	0
6.4	0
6.42	0
6.44	0
6.46	0
6.48	0
6.5	0
6.52	0
6.54	0
6.56	0
6.58	0
6.6	0
6.62	0
6.64	0
6.66	0
6.68	0
6.7	0
6.72	0
6.74	0
6.76	0
6.78	0
6.8	0
6.82	0
6.84	0
6.86	0
6.88	0
6.9	0
6.92	0
6.94	0
6.96	0
6.98	0
7	0
7.02	0
7.04	0
7.06	0
7.08	0
7.1	0
7.12	0
7.14	0
7.16	0
7.18	0
7.2	0
7.22	0
7.24	0
7.26	0
7.28	0
7.3	0
7.32	0
7.34	0
7.36	0
7.38	0
7.4	0
7.42	0
7.44	0
7.46	0
7.48	0
7.5	0
7.52	0
7.54	0
7.56	0
7.58	0
7.6	0
7.62	0
7.64	0
7.66	0
7.68	0
7.7	0
7.72	0
7.74	0
7.76	0
7.78	0
7.8	0
7.82	0
7.84	0
7.86	0
7.88	0
7.9	0
7.92	0
7.94	0
7.96	0
7.98	0
8	0
8.02	0
8.04	0
8.06	0
8.08	0
8.1	0
8.12	0
8.14	0
8.16	0
8.18	0
8.2	0
8.22	0
8.24	0
8.26	0
8.28	0
8.3	0
8.32	0
8.34	0
8.36	0
8.38	0
8.4	0
8.42	0
8.44	0
8.46	0
8.48	0
8.5	0
8.52	0
8.54	0
8.56	0
8.58	0
8.6	0
8.62	0
8.64	0
8.66	0
8.68	0
8.7	0
8.72	0
8.74	0
8.76	0
8.78	0
8.8	0
8.82	0
8.84	0
8.86	0
8.88	0
8.9	0
8.92	0
8.94	0
8.96	0
8.98	0
9	0
9.02	0
9.04	0
9.06	0
9.08	0
9.1	0
9.12	0
9.14	0
9.16	0
9.18	0
9.2	0
9.22	0
9.24	0
9.26	0
9.28	0
9.3	0
9.32	0
9.34	0
9.36	0
9.38	0
9.4	0
9.42	0
9.44	0
9.46	0
9.48	0
9.5	0
9.52	0
9.54	0
9.56	0
9.58	0
9.6	0
9.62	0
9.64	0
9.66	0
9.68	0
9.7	0
9.72	0
9.74	0
9.76	0
9.78	0
9.8	0
9.82	0
9.84	0
9.86	0
9.88	0
9.9	0
9.92	0
9.94	0
9.96	0
9.98	0
10	0
