# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_2 (k*r) f(r)
# p 	 cluster 	 pieper 	 GFMC
0 	0 	0 	0
0.02 	-6.96813e-05 	-1.69828e-05 	-5.14419e-05
0.04 	-0.000278271 	-6.78943e-05 	-0.000205557
0.06 	-0.00062441 	-0.000152624 	-0.000461712
0.08 	-0.00110585 	-0.000270986 	-0.000818859
0.1 	-0.00171947 	-0.000422724 	-0.00127554
0.12 	-0.00246132 	-0.000607508 	-0.00182988
0.14 	-0.00332665 	-0.000824935 	-0.00247962
0.16 	-0.00430996 	-0.00107453 	-0.00322213
0.18 	-0.00540506 	-0.00135576 	-0.00405439
0.2 	-0.00660512 	-0.00166801 	-0.00497304
0.22 	-0.00790274 	-0.0020106 	-0.00597439
0.24 	-0.00929002 	-0.0023828 	-0.00705442
0.26 	-0.0107586 	-0.00278379 	-0.00820882
0.28 	-0.0122999 	-0.00321272 	-0.00943302
0.3 	-0.0139048 	-0.00366866 	-0.0107222
0.32 	-0.0155643 	-0.00415063 	-0.0120713
0.34 	-0.017269 	-0.00465761 	-0.0134751
0.36 	-0.0190096 	-0.0051885 	-0.0149281
0.38 	-0.0207769 	-0.00574217 	-0.0164248
0.4 	-0.0225616 	-0.00631746 	-0.0179595
0.42 	-0.0243546 	-0.00691312 	-0.0195265
0.44 	-0.0261472 	-0.00752792 	-0.0211198
0.46 	-0.0279309 	-0.00816055 	-0.0227337
0.48 	-0.0296973 	-0.00880968 	-0.0243623
0.5 	-0.0314387 	-0.00947395 	-0.0259997
0.52 	-0.0331477 	-0.010152 	-0.0276401
0.54 	-0.0348172 	-0.0108424 	-0.0292777
0.56 	-0.0364408 	-0.0115437 	-0.0309071
0.58 	-0.0380126 	-0.0122545 	-0.0325225
0.6 	-0.039527 	-0.0129733 	-0.0341187
0.62 	-0.0409792 	-0.0136987 	-0.0356905
0.64 	-0.0423647 	-0.0144291 	-0.0372329
0.66 	-0.0436796 	-0.0151632 	-0.038741
0.68 	-0.0449208 	-0.0158994 	-0.0402103
0.7 	-0.0460853 	-0.0166364 	-0.0416364
0.72 	-0.047171 	-0.0173725 	-0.0430153
0.74 	-0.048176 	-0.0181064 	-0.0443431
0.76 	-0.049099 	-0.0188367 	-0.0456163
0.78 	-0.0499393 	-0.0195619 	-0.0468316
0.8 	-0.0506963 	-0.0202806 	-0.047986
0.82 	-0.0513703 	-0.0209916 	-0.049077
0.84 	-0.0519615 	-0.0216933 	-0.0501021
0.86 	-0.0524708 	-0.0223847 	-0.0510594
0.88 	-0.0528992 	-0.0230642 	-0.0519469
0.9 	-0.0532482 	-0.0237308 	-0.0527634
0.92 	-0.0535195 	-0.0243833 	-0.0535077
0.94 	-0.053715 	-0.0250204 	-0.0541789
0.96 	-0.0538368 	-0.0256411 	-0.0547766
0.98 	-0.0538874 	-0.0262443 	-0.0553004
1 	-0.0538692 	-0.0268289 	-0.0557503
1.02 	-0.0537849 	-0.0273941 	-0.0561268
1.04 	-0.0536374 	-0.0279388 	-0.0564303
1.06 	-0.0534293 	-0.0284623 	-0.0566617
1.08 	-0.0531639 	-0.0289637 	-0.0568219
1.1 	-0.0528439 	-0.0294422 	-0.0569123
1.12 	-0.0524726 	-0.0298973 	-0.0569344
1.14 	-0.0520529 	-0.0303281 	-0.0568898
1.16 	-0.0515879 	-0.0307342 	-0.0567804
1.18 	-0.0510807 	-0.031115 	-0.0566082
1.2 	-0.0505343 	-0.0314701 	-0.0563755
1.22 	-0.0499516 	-0.031799 	-0.0560844
1.24 	-0.0493356 	-0.0321015 	-0.0557374
1.26 	-0.0486892 	-0.0323772 	-0.0553372
1.28 	-0.0480152 	-0.0326259 	-0.0548863
1.3 	-0.0473164 	-0.0328476 	-0.0543874
1.32 	-0.0465952 	-0.0330419 	-0.0538434
1.34 	-0.0458545 	-0.033209 	-0.0532569
1.36 	-0.0450965 	-0.0333489 	-0.0526309
1.38 	-0.0443237 	-0.0334615 	-0.0519683
1.4 	-0.0435384 	-0.0335472 	-0.0512719
1.42 	-0.0427427 	-0.0336059 	-0.0505446
1.44 	-0.0419388 	-0.033638 	-0.0497892
1.46 	-0.0411286 	-0.0336438 	-0.0490085
1.48 	-0.0403139 	-0.0336235 	-0.0482054
1.5 	-0.0394966 	-0.0335777 	-0.0473826
1.52 	-0.0386784 	-0.0335067 	-0.0465426
1.54 	-0.0378607 	-0.033411 	-0.0456882
1.56 	-0.0370451 	-0.0332911 	-0.0448218
1.58 	-0.0362329 	-0.0331476 	-0.0439459
1.6 	-0.0354255 	-0.0329811 	-0.0430628
1.62 	-0.034624 	-0.0327922 	-0.0421748
1.64 	-0.0338295 	-0.0325817 	-0.0412841
1.66 	-0.033043 	-0.0323501 	-0.0403927
1.68 	-0.0322655 	-0.0320984 	-0.0395025
1.7 	-0.0314977 	-0.0318271 	-0.0386154
1.72 	-0.0307405 	-0.0315372 	-0.0377332
1.74 	-0.0299945 	-0.0312294 	-0.0368574
1.76 	-0.0292604 	-0.0309045 	-0.0359895
1.78 	-0.0285387 	-0.0305634 	-0.035131
1.8 	-0.0278298 	-0.030207 	-0.0342832
1.82 	-0.0271342 	-0.0298362 	-0.0334471
1.84 	-0.0264522 	-0.0294517 	-0.032624
1.86 	-0.0257841 	-0.0290546 	-0.0318146
1.88 	-0.0251302 	-0.0286457 	-0.03102
1.9 	-0.0244906 	-0.028226 	-0.0302407
1.92 	-0.0238654 	-0.0277963 	-0.0294776
1.94 	-0.0232548 	-0.0273574 	-0.028731
1.96 	-0.0226588 	-0.0269105 	-0.0280016
1.98 	-0.0220774 	-0.0264562 	-0.0272896
2 	-0.0215106 	-0.0259955 	-0.0265954
2.02 	-0.0209583 	-0.0255293 	-0.0259191
2.04 	-0.0204204 	-0.0250584 	-0.0252609
2.06 	-0.0198968 	-0.0245837 	-0.0246208
2.08 	-0.0193874 	-0.024106 	-0.0239988
2.1 	-0.0188918 	-0.0236261 	-0.0233949
2.12 	-0.0184101 	-0.0231448 	-0.0228089
2.14 	-0.0179418 	-0.0226629 	-0.0222407
2.16 	-0.0174869 	-0.0221811 	-0.0216899
2.18 	-0.0170449 	-0.0217002 	-0.0211564
2.2 	-0.0166158 	-0.0212208 	-0.0206397
2.22 	-0.0161991 	-0.0207437 	-0.0201395
2.24 	-0.0157947 	-0.0202694 	-0.0196555
2.26 	-0.0154021 	-0.0197986 	-0.0191872
2.28 	-0.0150212 	-0.0193319 	-0.0187341
2.3 	-0.0146515 	-0.0188698 	-0.0182958
2.32 	-0.0142928 	-0.018413 	-0.0178719
2.34 	-0.0139448 	-0.0179618 	-0.0174617
2.36 	-0.013607 	-0.0175167 	-0.0170648
2.38 	-0.0132794 	-0.0170782 	-0.0166807
2.4 	-0.0129614 	-0.0166468 	-0.0163089
2.42 	-0.0126528 	-0.0162227 	-0.0159488
2.44 	-0.0123533 	-0.0158063 	-0.0155999
2.46 	-0.0120626 	-0.0153979 	-0.0152617
2.48 	-0.0117804 	-0.0149978 	-0.0149336
2.5 	-0.0115063 	-0.0146063 	-0.0146152
2.52 	-0.0112402 	-0.0142235 	-0.014306
2.54 	-0.0109816 	-0.0138498 	-0.0140054
2.56 	-0.0107304 	-0.0134851 	-0.0137131
2.58 	-0.0104863 	-0.0131297 	-0.0134285
2.6 	-0.0102489 	-0.0127836 	-0.0131512
2.62 	-0.0100181 	-0.012447 	-0.0128808
2.64 	-0.00979366 	-0.0121199 	-0.0126169
2.66 	-0.00957527 	-0.0118022 	-0.012359
2.68 	-0.00936272 	-0.0114941 	-0.0121069
2.7 	-0.00915581 	-0.0111954 	-0.0118601
2.72 	-0.00895433 	-0.0109061 	-0.0116183
2.74 	-0.00875807 	-0.0106262 	-0.0113812
2.76 	-0.00856686 	-0.0103555 	-0.0111486
2.78 	-0.00838049 	-0.0100939 	-0.01092
2.8 	-0.00819881 	-0.00984141 	-0.0106954
2.82 	-0.00802165 	-0.00959774 	-0.0104744
2.84 	-0.00784885 	-0.00936275 	-0.0102569
2.86 	-0.00768026 	-0.00913627 	-0.0100426
2.88 	-0.00751573 	-0.00891811 	-0.00983145
2.9 	-0.00735515 	-0.00870806 	-0.00962318
2.92 	-0.00719837 	-0.0085059 	-0.00941769
2.94 	-0.00704529 	-0.00831141 	-0.00921487
2.96 	-0.00689578 	-0.00812433 	-0.00901461
2.98 	-0.00674974 	-0.00794444 	-0.00881682
3 	-0.00660706 	-0.00777147 	-0.00862144
3.02 	-0.00646766 	-0.00760518 	-0.0084284
3.04 	-0.00633144 	-0.00744529 	-0.00823766
3.06 	-0.00619832 	-0.00729155 	-0.0080492
3.08 	-0.00606821 	-0.00714368 	-0.00786298
3.1 	-0.00594104 	-0.00700142 	-0.00767901
3.12 	-0.00581674 	-0.00686449 	-0.00749729
3.14 	-0.00569523 	-0.00673264 	-0.00731783
3.16 	-0.00557645 	-0.00660559 	-0.00714064
3.18 	-0.00546034 	-0.00648309 	-0.00696577
3.2 	-0.00534684 	-0.00636487 	-0.00679324
3.22 	-0.00523589 	-0.00625067 	-0.00662309
3.24 	-0.00512744 	-0.00614025 	-0.00645538
3.26 	-0.00502143 	-0.00603336 	-0.00629015
3.28 	-0.00491781 	-0.00592976 	-0.00612746
