# Mass = 0.0442061 Mev*(hbarc)^2/2 
# R = 2.885 fm 
# a = 0.662 fm 
# V0 = 60.374 MeV 
# RSO = 2.651 fm 
# aSO = 0.662 fm 
# VSO = 32.876 MeV fm^2
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -34.3578 MeV
# r 	 V_eff [2m/hbar/hbar]
0.1 	-59.4881
0.10238 	-59.485
0.10476 	-59.4818
0.10714 	-59.4787
0.10952 	-59.4755
0.1119 	-59.4723
0.11428 	-59.4691
0.11666 	-59.4659
0.11904 	-59.4627
0.12142 	-59.4594
0.1238 	-59.4562
0.12618 	-59.4529
0.12856 	-59.4497
0.13094 	-59.4464
0.13332 	-59.4431
0.1357 	-59.4398
0.13808 	-59.4365
0.14046 	-59.4332
0.14284 	-59.4298
0.14522 	-59.4265
0.1476 	-59.4231
0.14998 	-59.4197
0.15236 	-59.4164
0.15474 	-59.413
0.15712 	-59.4096
0.1595 	-59.4061
0.16188 	-59.4027
0.16426 	-59.3993
0.16664 	-59.3958
0.16902 	-59.3924
0.1714 	-59.3889
0.17378 	-59.3854
0.17616 	-59.3819
0.17854 	-59.3784
0.18092 	-59.3748
0.1833 	-59.3713
0.18568 	-59.3678
0.18806 	-59.3642
0.19044 	-59.3606
0.19282 	-59.357
0.1952 	-59.3534
0.19758 	-59.3498
0.19996 	-59.3462
0.20234 	-59.3425
0.20472 	-59.3389
0.2071 	-59.3352
0.20948 	-59.3316
0.21186 	-59.3279
0.21424 	-59.3242
0.21662 	-59.3204
0.219 	-59.3167
0.22138 	-59.313
0.22376 	-59.3092
0.22614 	-59.3055
0.22852 	-59.3017
0.2309 	-59.2979
0.23328 	-59.2941
0.23566 	-59.2903
0.23804 	-59.2864
0.24042 	-59.2826
0.2428 	-59.2787
0.24518 	-59.2748
0.24756 	-59.271
0.24994 	-59.2671
0.25232 	-59.2631
0.2547 	-59.2592
0.25708 	-59.2553
0.25946 	-59.2513
0.26184 	-59.2474
