# Mass = 0.0441503 Mev*(hbarc)^2/2 
# R = 2.88468 fm 
# a = 0.662 fm 
# V0 = 60.3743 MeV 
# RSO = 2.65116 fm 
# aSO = 0.662 fm 
# VSO = 32.9592 MeV fm^2
# l = 1 
# two_j = 3 
# two_t = 1 
# Energy = -18.8508 MeV
# r 	 V_eff [2m/hbar/hbar]
0.1 	4465.43
0.10238 	4257.37
0.10476 	4063.33
0.10714 	3882.07
0.10952 	3712.51
0.1119 	3553.65
0.11428 	3404.62
0.11666 	3264.62
0.11904 	3132.93
0.12142 	3008.91
0.1238 	2891.98
0.12618 	2781.6
0.12856 	2677.29
0.13094 	2578.63
0.13332 	2485.2
0.1357 	2396.64
0.13808 	2312.63
0.14046 	2232.85
0.14284 	2157.02
0.14522 	2084.9
0.1476 	2016.23
0.14998 	1950.81
0.15236 	1888.44
0.15474 	1828.92
0.15712 	1772.08
0.1595 	1717.77
0.16188 	1665.84
0.16426 	1616.15
0.16664 	1568.57
0.16902 	1523
0.1714 	1479.3
0.17378 	1437.39
0.17616 	1397.17
0.17854 	1358.55
0.18092 	1321.44
0.1833 	1285.77
0.18568 	1251.46
0.18806 	1218.44
0.19044 	1186.66
0.19282 	1156.05
0.1952 	1126.55
0.19758 	1098.11
0.19996 	1070.68
0.20234 	1044.21
0.20472 	1018.66
0.2071 	993.988
0.20948 	970.151
0.21186 	947.114
0.21424 	924.84
0.21662 	903.297
0.219 	882.453
0.22138 	862.278
0.22376 	842.743
0.22614 	823.822
0.22852 	805.49
0.2309 	787.721
0.23328 	770.495
0.23566 	753.787
0.23804 	737.579
0.24042 	721.85
0.2428 	706.581
0.24518 	691.755
0.24756 	677.355
0.24994 	663.365
0.25232 	649.769
0.2547 	636.552
0.25708 	623.701
0.25946 	611.202
0.26184 	599.043
0.26422 	587.211
0.2666 	575.695
0.26898 	564.483
0.27136 	553.565
0.27374 	542.931
0.27612 	532.571
0.2785 	522.476
0.28088 	512.636
0.28326 	503.044
0.28564 	493.69
0.28802 	484.568
0.2904 	475.669
0.29278 	466.986
0.29516 	458.513
0.29754 	450.243
0.29992 	442.169
0.3023 	434.284
0.30468 	426.585
0.30706 	419.063
0.30944 	411.715
0.31182 	404.534
0.3142 	397.516
0.31658 	390.656
0.31896 	383.949
0.32134 	377.391
0.32372 	370.977
0.3261 	364.703
0.32848 	358.565
0.33086 	352.56
0.33324 	346.682
0.33562 	340.93
0.338 	335.298
0.34038 	329.785
0.34276 	324.386
0.34514 	319.098
0.34752 	313.919
0.3499 	308.845
0.35228 	303.874
0.35466 	299.003
0.35704 	294.229
0.35942 	289.55
0.3618 	284.963
0.36418 	280.465
0.36656 	276.055
0.36894 	271.731
0.37132 	267.489
0.3737 	263.328
0.37608 	259.246
0.37846 	255.241
0.38084 	251.311
0.38322 	247.454
0.3856 	243.668
0.38798 	239.952
0.39036 	236.304
0.39274 	232.722
0.39512 	229.204
0.3975 	225.75
0.39988 	222.358
0.40226 	219.025
0.40464 	215.751
0.40702 	212.535
0.4094 	209.375
0.41178 	206.269
0.41416 	203.217
0.41654 	200.217
0.41892 	197.269
0.4213 	194.37
0.42368 	191.52
0.42606 	188.718
0.42844 	185.962
0.43082 	183.252
0.4332 	180.587
0.43558 	177.965
0.43796 	175.386
0.44034 	172.849
0.44272 	170.353
0.4451 	167.897
0.44748 	165.48
0.44986 	163.102
0.45224 	160.761
0.45462 	158.456
0.457 	156.188
0.45938 	153.955
0.46176 	151.757
0.46414 	149.592
0.46652 	147.461
0.4689 	145.362
0.47128 	143.294
0.47366 	141.258
0.47604 	139.253
0.47842 	137.277
0.4808 	135.331
0.48318 	133.414
0.48556 	131.525
0.48794 	129.663
0.49032 	127.829
0.4927 	126.021
0.49508 	124.24
0.49746 	122.484
0.49984 	120.753
0.50222 	119.046
0.5046 	117.364
0.50698 	115.706
0.50936 	114.071
0.51174 	112.459
0.51412 	110.869
0.5165 	109.301
0.51888 	107.755
0.52126 	106.23
0.52364 	104.726
0.52602 	103.242
0.5284 	101.779
0.53078 	100.335
0.53316 	98.9106
0.53554 	97.5052
0.53792 	96.1185
0.5403 	94.7502
0.54268 	93.3999
0.54506 	92.0674
0.54744 	90.7523
0.54982 	89.4544
0.5522 	88.1732
0.55458 	86.9086
0.55696 	85.6603
0.55934 	84.428
0.56172 	83.2114
0.5641 	82.0102
0.56648 	80.8243
0.56886 	79.6532
0.57124 	78.4969
0.57362 	77.355
0.576 	76.2274
0.57838 	75.1137
0.58076 	74.0138
0.58314 	72.9274
0.58552 	71.8543
0.5879 	70.7943
0.59028 	69.7471
0.59266 	68.7127
0.59504 	67.6907
0.59742 	66.681
0.5998 	65.6834
0.60218 	64.6977
0.60456 	63.7237
0.60694 	62.7612
0.60932 	61.81
0.6117 	60.87
0.61408 	59.941
0.61646 	59.0229
0.61884 	58.1154
0.62122 	57.2184
0.6236 	56.3317
0.62598 	55.4552
0.62836 	54.5887
0.63074 	53.7321
0.63312 	52.8853
0.6355 	52.048
0.63788 	51.2201
0.64026 	50.4016
0.64264 	49.5922
0.64502 	48.7918
0.6474 	48.0004
0.64978 	47.2177
0.65216 	46.4437
0.65454 	45.6781
0.65692 	44.921
0.6593 	44.1721
0.66168 	43.4314
0.66406 	42.6987
0.66644 	41.9739
0.66882 	41.257
0.6712 	40.5477
0.67358 	39.846
0.67596 	39.1518
0.67834 	38.465
0.68072 	37.7855
0.6831 	37.1132
0.68548 	36.4479
0.68786 	35.7896
0.69024 	35.1382
0.69262 	34.4935
0.695 	33.8556
0.69738 	33.2243
0.69976 	32.5995
0.70214 	31.9811
0.70452 	31.3691
0.7069 	30.7633
0.70928 	30.1637
0.71166 	29.5702
0.71404 	28.9827
0.71642 	28.4011
0.7188 	27.8254
0.72118 	27.2554
0.72356 	26.6912
0.72594 	26.1326
0.72832 	25.5795
0.7307 	25.032
0.73308 	24.4898
0.73546 	23.953
0.73784 	23.4214
0.74022 	22.8951
0.7426 	22.3739
0.74498 	21.8577
0.74736 	21.3466
0.74974 	20.8404
0.75212 	20.3391
0.7545 	19.8426
0.75688 	19.3509
0.75926 	18.8639
0.76164 	18.3816
0.76402 	17.9038
0.7664 	17.4306
0.76878 	16.9618
0.77116 	16.4975
0.77354 	16.0375
0.77592 	15.5818
0.7783 	15.1304
0.78068 	14.6832
0.78306 	14.2402
0.78544 	13.8013
0.78782 	13.3664
0.7902 	12.9356
0.79258 	12.5087
0.79496 	12.0857
0.79734 	11.6666
0.79972 	11.2513
0.8021 	10.8398
0.80448 	10.4321
0.80686 	10.028
0.80924 	9.62758
0.81162 	9.23076
0.814 	8.83751
0.81638 	8.44778
0.81876 	8.06154
0.82114 	7.67874
0.82352 	7.29934
0.8259 	6.92331
0.82828 	6.5506
0.83066 	6.18118
0.83304 	5.81502
0.83542 	5.45207
0.8378 	5.09229
0.84018 	4.73566
0.84256 	4.38214
0.84494 	4.0317
0.84732 	3.68429
0.8497 	3.33989
0.85208 	2.99846
0.85446 	2.65997
0.85684 	2.32438
0.85922 	1.99168
0.8616 	1.66182
0.86398 	1.33477
0.86636 	1.0105
0.86874 	0.688991
0.87112 	0.370202
0.8735 	0.0541075
0.87588 	-0.259322
0.87826 	-0.570115
0.88064 	-0.878299
0.88302 	-1.1839
0.8854 	-1.48695
0.88778 	-1.78747
0.89016 	-2.0855
0.89254 	-2.38105
0.89492 	-2.67415
0.8973 	-2.96483
0.89968 	-3.25311
0.90206 	-3.53902
0.90444 	-3.82258
0.90682 	-4.10382
0.9092 	-4.38275
0.91158 	-4.65942
0.91396 	-4.93383
0.91634 	-5.20601
0.91872 	-5.47598
0.9211 	-5.74377
0.92348 	-6.0094
0.92586 	-6.27288
0.92824 	-6.53425
0.93062 	-6.79352
0.933 	-7.05071
0.93538 	-7.30584
0.93776 	-7.55894
0.94014 	-7.81003
0.94252 	-8.05911
0.9449 	-8.30623
0.94728 	-8.55138
0.94966 	-8.7946
0.95204 	-9.0359
0.95442 	-9.2753
0.9568 	-9.51282
0.95918 	-9.74848
0.96156 	-9.98229
0.96394 	-10.2143
0.96632 	-10.4444
0.9687 	-10.6728
0.97108 	-10.8994
0.97346 	-11.1243
0.97584 	-11.3474
0.97822 	-11.5688
0.9806 	-11.7885
0.98298 	-12.0064
0.98536 	-12.2227
0.98774 	-12.4374
0.99012 	-12.6504
0.9925 	-12.8618
0.99488 	-13.0715
0.99726 	-13.2797
0.99964 	-13.4862
1.00202 	-13.6912
1.0044 	-13.8947
1.00678 	-14.0966
1.00916 	-14.297
1.01154 	-14.4958
1.01392 	-14.6932
1.0163 	-14.8891
1.01868 	-15.0835
1.02106 	-15.2764
1.02344 	-15.4679
1.02582 	-15.658
1.0282 	-15.8466
1.03058 	-16.0339
1.03296 	-16.2197
1.03534 	-16.4042
1.03772 	-16.5873
1.0401 	-16.769
1.04248 	-16.9494
1.04486 	-17.1284
1.04724 	-17.3061
1.04962 	-17.4826
1.052 	-17.6577
1.05438 	-17.8315
1.05676 	-18.004
1.05914 	-18.1753
1.06152 	-18.3454
1.0639 	-18.5141
1.06628 	-18.6817
1.06866 	-18.848
1.07104 	-19.0131
1.07342 	-19.177
1.0758 	-19.3397
1.07818 	-19.5013
1.08056 	-19.6616
1.08294 	-19.8208
1.08532 	-19.9789
1.0877 	-20.1358
1.09008 	-20.2916
1.09246 	-20.4462
1.09484 	-20.5997
1.09722 	-20.7522
1.0996 	-20.9035
1.10198 	-21.0537
1.10436 	-21.2029
1.10674 	-21.351
1.10912 	-21.498
1.1115 	-21.644
1.11388 	-21.7889
1.11626 	-21.9328
1.11864 	-22.0757
1.12102 	-22.2175
1.1234 	-22.3584
1.12578 	-22.4982
1.12816 	-22.6371
1.13054 	-22.7749
1.13292 	-22.9118
1.1353 	-23.0477
1.13768 	-23.1827
1.14006 	-23.3167
1.14244 	-23.4497
1.14482 	-23.5818
1.1472 	-23.713
1.14958 	-23.8432
1.15196 	-23.9725
1.15434 	-24.1009
1.15672 	-24.2284
1.1591 	-24.3551
1.16148 	-24.4808
1.16386 	-24.6056
1.16624 	-24.7296
1.16862 	-24.8526
1.171 	-24.9749
1.17338 	-25.0962
1.17576 	-25.2167
1.17814 	-25.3364
1.18052 	-25.4552
1.1829 	-25.5732
