# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.276 MeV 
# RSO = 4.43035 fm 
# aSO = 0.662 fm 
# VSO = 28.6062 MeV fm^2
# n = 0 
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -40.1926 MeV
# r          u            Phi          u/r          
0.1          0.0426442    0.00239482   0.426442     
0.10238      0.0436591    0.00239455   0.426441     
0.10476      0.0446738    0.00239427   0.42644      
0.10714      0.0456885    0.00239398   0.426437     
0.10952      0.046703     0.00239369   0.426433     
0.1119       0.0477174    0.00239339   0.426429     
0.11428      0.0487316    0.00239308   0.426423     
0.11666      0.0497457    0.00239277   0.426416     
0.11904      0.0507597    0.00239245   0.426409     
0.12142      0.0517736    0.00239212   0.426401     
0.1238       0.0527873    0.00239179   0.426392     
0.12618      0.0538009    0.00239145   0.426382     
0.12856      0.0548143    0.0023911    0.426371     
0.13094      0.0558276    0.00239075   0.42636      
0.13332      0.0568407    0.00239039   0.426348     
0.1357       0.0578537    0.00239003   0.426335     
0.13808      0.0588665    0.00238966   0.426322     
0.14046      0.0598792    0.00238928   0.426308     
0.14284      0.0608917    0.0023889    0.426293     
0.14522      0.061904     0.0023885    0.426277     
0.1476       0.0629162    0.00238811   0.426261     
0.14998      0.0639282    0.0023877    0.426245     
0.15236      0.06494      0.00238729   0.426227     
0.15474      0.0659517    0.00238688   0.42621      
0.15712      0.0669631    0.00238646   0.426191     
0.1595       0.0679744    0.00238603   0.426172     
0.16188      0.0689855    0.00238559   0.426152     
0.16426      0.0699965    0.00238515   0.426132     
0.16664      0.0710072    0.0023847    0.426111     
0.16902      0.0720178    0.00238425   0.42609      
0.1714       0.0730281    0.00238379   0.426068     
0.17378      0.0740383    0.00238332   0.426046     
0.17616      0.0750482    0.00238284   0.426023     
0.17854      0.076058     0.00238236   0.426        
0.18092      0.0770675    0.00238188   0.425976     
0.1833       0.0780769    0.00238138   0.425951     
0.18568      0.079086     0.00238088   0.425926     
0.18806      0.0800949    0.00238038   0.425901     
0.19044      0.0811036    0.00237987   0.425875     
0.19282      0.0821121    0.00237935   0.425848     
0.1952       0.0831204    0.00237882   0.425821     
0.19758      0.0841284    0.00237829   0.425794     
0.19996      0.0851362    0.00237775   0.425766     
0.20234      0.0861438    0.00237721   0.425738     
0.20472      0.0871511    0.00237666   0.425709     
0.2071       0.0881583    0.0023761    0.42568      
0.20948      0.0891651    0.00237554   0.42565      
0.21186      0.0901718    0.00237497   0.42562      
0.21424      0.0911782    0.00237439   0.425589     
0.21662      0.0921843    0.00237381   0.425558     
0.219        0.0931902    0.00237322   0.425526     
0.22138      0.0941959    0.00237262   0.425494     
0.22376      0.0952013    0.00237202   0.425461     
0.22614      0.0962064    0.00237141   0.425428     
0.22852      0.0972113    0.0023708    0.425395     
0.2309       0.0982159    0.00237018   0.425361     
0.23328      0.0992202    0.00236955   0.425327     
0.23566      0.100224     0.00236891   0.425292     
0.23804      0.101228     0.00236827   0.425257     
0.24042      0.102232     0.00236763   0.425221     
0.2428       0.103235     0.00236697   0.425185     
0.24518      0.104238     0.00236632   0.425149     
