# Mass = 0.0473265 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 56.2161 MeV 
# RSO = 4.43035 fm 
# aSO = 0.662 fm 
# VSO = 28.6838 MeV fm^2
# n = 0 
# l = 1 
# two_j = 1 
# two_t = 1 
# Energy = -35.2065 MeV
# r          u            Phi          u/r          
0.1          0.00194286   0.000243497  0.0194286    
0.10238      0.00203643   0.000249263  0.0198909    
0.10476      0.0021322    0.000255029  0.0203532    
0.10714      0.00223015   0.000260793  0.0208153    
0.10952      0.0023303    0.000266555  0.0212774    
0.1119       0.00243263   0.000272315  0.0217393    
0.11428      0.00253715   0.000278074  0.0222011    
0.11666      0.00264385   0.000283832  0.0226629    
0.11904      0.00275275   0.000289587  0.0231245    
0.12142      0.00286382   0.000295341  0.0235861    
0.1238       0.00297709   0.000301093  0.0240476    
0.12618      0.00309253   0.000306843  0.0245089    
0.12856      0.00321016   0.000312592  0.0249702    
0.13094      0.00332998   0.000318338  0.0254313    
0.13332      0.00345197   0.000324082  0.0258924    
0.1357       0.00357615   0.000329824  0.0263534    
0.13808      0.00370251   0.000335564  0.0268142    
0.14046      0.00383104   0.000341302  0.027275     
0.14284      0.00396176   0.000347038  0.0277356    
0.14522      0.00409465   0.000352771  0.0281962    
0.1476       0.00422972   0.000358502  0.0286567    
0.14998      0.00436697   0.000364231  0.029117     
0.15236      0.00450639   0.000369957  0.0295773    
0.15474      0.00464799   0.000375681  0.0300374    
0.15712      0.00479176   0.000381403  0.0304975    
0.1595       0.0049377    0.000387122  0.0309574    
0.16188      0.00508582   0.000392839  0.0314172    
0.16426      0.0052361    0.000398553  0.0318769    
0.16664      0.00538856   0.000404264  0.0323365    
0.16902      0.00554318   0.000409973  0.032796     
0.1714       0.00569997   0.000415679  0.0332554    
0.17378      0.00585893   0.000421382  0.0337146    
0.17616      0.00602005   0.000427082  0.0341738    
0.17854      0.00618334   0.00043278   0.0346328    
0.18092      0.00634879   0.000438475  0.0350917    
0.1833       0.00651641   0.000444167  0.0355505    
0.18568      0.00668618   0.000449856  0.0360092    
0.18806      0.00685812   0.000455542  0.0364677    
0.19044      0.00703221   0.000461225  0.0369261    
0.19282      0.00720846   0.000466905  0.0373844    
0.1952       0.00738687   0.000472582  0.0378426    
0.19758      0.00756744   0.000478256  0.0383006    
0.19996      0.00775016   0.000483926  0.0387585    
0.20234      0.00793503   0.000489594  0.0392163    
0.20472      0.00812205   0.000495258  0.0396739    
0.2071       0.00831122   0.000500919  0.0401315    
0.20948      0.00850255   0.000506576  0.0405888    
0.21186      0.00869602   0.00051223   0.0410461    
0.21424      0.00889164   0.000517881  0.0415032    
0.21662      0.0090894    0.000523529  0.0419601    
0.219        0.00928931   0.000529172  0.0424169    
0.22138      0.00949136   0.000534813  0.0428736    
0.22376      0.00969555   0.00054045   0.0433301    
0.22614      0.00990188   0.000546083  0.0437865    
0.22852      0.0101104    0.000551712  0.0442428    
0.2309       0.010321     0.000557338  0.0446989    
0.23328      0.0105337    0.000562961  0.0451548    
0.23566      0.0107486    0.000568579  0.0456106    
0.23804      0.0109656    0.000574194  0.0460662    
0.24042      0.0111847    0.000579805  0.0465217    
0.2428       0.011406     0.000585412  0.046977     
0.24518      0.0116294    0.000591015  0.0474322    
0.24756      0.011855     0.000596614  0.0478872    
0.24994      0.0120826    0.000602209  0.048342     
0.25232      0.0123124    0.0006078    0.0487967    
0.2547       0.0125443    0.000613387  0.0492513    
0.25708      0.0127783    0.00061897   0.0497056    
0.25946      0.0130145    0.000624549  0.0501598    
0.26184      0.0132527    0.000630124  0.0506138    
0.26422      0.0134931    0.000635695  0.0510677    
0.2666       0.0137356    0.000641261  0.0515214    
0.26898      0.0139802    0.000646823  0.0519749    
0.27136      0.0142269    0.000652381  0.0524282    
0.27374      0.0144758    0.000657934  0.0528814    
0.27612      0.0147267    0.000663483  0.0533344    
0.2785       0.0149797    0.000669028  0.0537872    
0.28088      0.0152349    0.000674568  0.0542398    
0.28326      0.0154921    0.000680104  0.0546923    
0.28564      0.0157515    0.000685635  0.0551446    
0.28802      0.0160129    0.000691161  0.0555966    
0.2904       0.0162765    0.000696683  0.0560485    
0.29278      0.0165421    0.000702201  0.0565003    
0.29516      0.0168099    0.000707713  0.0569518    
0.29754      0.0170797    0.000713221  0.0574031    
0.29992      0.0173517    0.000718724  0.0578543    
0.3023       0.0176257    0.000724223  0.0583052    
0.30468      0.0179018    0.000729716  0.058756     
0.30706      0.01818      0.000735205  0.0592065    
0.30944      0.0184602    0.000740688  0.0596569    
0.31182      0.0187426    0.000746167  0.0601071    
0.3142       0.019027     0.000751641  0.060557     
0.31658      0.0193135    0.00075711   0.0610068    
0.31896      0.0196021    0.000762573  0.0614563    
0.32134      0.0198928    0.000768032  0.0619057    
0.32372      0.0201855    0.000773486  0.0623549    
0.3261       0.0204803    0.000778934  0.0628038    
0.32848      0.0207772    0.000784377  0.0632525    
