# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.4655 fm 
# a = 0.662 fm 
# V0 = 45.181 MeV 
# RSO = 6.861 fm 
# aSO = 0.662 fm 
# VSO = 27.855 MeV fm^2
# l = 1 
# two_j = 3 
# two_t = -1 
# Energy = -8.49659 MeV
# r 	 V_eff [2m/hbar/hbar]
0.1 	4119.26
0.10238 	3927.89
0.10476 	3749.41
0.10714 	3582.7
0.10952 	3426.74
0.1119 	3280.62
0.11428 	3143.53
0.11666 	3014.75
0.11904 	2893.62
0.12142 	2779.54
0.1238 	2671.98
0.12618 	2570.44
0.12856 	2474.49
0.13094 	2383.73
0.13332 	2297.78
0.1357 	2216.32
0.13808 	2139.03
0.14046 	2065.64
0.14284 	1995.88
0.14522 	1929.53
0.1476 	1866.36
0.14998 	1806.17
0.15236 	1748.78
0.15474 	1694.02
0.15712 	1641.73
0.1595 	1591.77
0.16188 	1543.99
0.16426 	1498.27
0.16664 	1454.49
0.16902 	1412.56
0.1714 	1372.35
0.17378 	1333.79
0.17616 	1296.78
0.17854 	1261.24
0.18092 	1227.1
0.1833 	1194.27
0.18568 	1162.7
0.18806 	1132.32
0.19044 	1103.08
0.19282 	1074.9
0.1952 	1047.76
0.19758 	1021.59
0.19996 	996.343
0.20234 	971.985
0.20472 	948.472
0.2071 	925.765
0.20948 	903.828
0.21186 	882.626
0.21424 	862.126
0.21662 	842.298
0.219 	823.114
0.22138 	804.544
0.22376 	786.564
0.22614 	769.149
0.22852 	752.275
0.2309 	735.92
0.23328 	720.063
0.23566 	704.685
0.23804 	689.765
0.24042 	675.286
0.2428 	661.23
0.24518 	647.582
0.24756 	634.326
0.24994 	621.447
0.25232 	608.93
0.2547 	596.763
0.25708 	584.932
0.25946 	573.425
0.26184 	562.23
0.26422 	551.337
0.2666 	540.734
0.26898 	530.411
0.27136 	520.359
0.27374 	510.567
0.27612 	501.028
0.2785 	491.733
0.28088 	482.672
0.28326 	473.839
0.28564 	465.226
0.28802 	456.826
0.2904 	448.631
0.29278 	440.635
0.29516 	432.832
0.29754 	425.215
0.29992 	417.779
0.3023 	410.518
0.30468 	403.427
0.30706 	396.499
0.30944 	389.731
0.31182 	383.117
0.3142 	376.653
0.31658 	370.335
0.31896 	364.157
0.32134 	358.116
0.32372 	352.208
0.3261 	346.428
0.32848 	340.774
0.33086 	335.241
0.33324 	329.827
0.33562 	324.527
0.338 	319.339
0.34038 	314.259
0.34276 	309.284
0.34514 	304.413
0.34752 	299.641
0.3499 	294.966
0.35228 	290.385
0.35466 	285.897
0.35704 	281.497
0.35942 	277.185
0.3618 	272.958
0.36418 	268.813
0.36656 	264.749
