# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1811 MeV 
# RSO = 6.86114 fm 
# aSO = 0.662 fm 
# VSO = 27.8547 MeV fm^2
# n = 0 
# l = 5 
# two_j = 11 
# two_t = -1 
# Energy = -15.9094 MeV
# r          u            Phi          u/r          
0.1          1.38739e-10  4.38437e-11  1.38739e-09  
0.10238      1.59767e-10  4.93128e-11  1.56053e-09  
0.10476      1.83385e-10  5.53146e-11  1.75053e-09  
0.10714      2.09843e-10  6.18871e-11  1.95859e-09  
0.10952      2.39408e-10  6.907e-11    2.18597e-09  
0.1119       2.72364e-10  7.69048e-11  2.43399e-09  
0.11428      3.09015e-10  8.54349e-11  2.70402e-09  
0.11666      3.49687e-10  9.47055e-11  2.99749e-09  
0.11904      3.94724e-10  1.04764e-10  3.31589e-09  
0.12142      4.44493e-10  1.15659e-10  3.66079e-09  
0.1238       4.99384e-10  1.27442e-10  4.0338e-09   
0.12618      5.5981e-10   1.40166e-10  4.4366e-09   
0.12856      6.26209e-10  1.53886e-10  4.87095e-09  
0.13094      6.99043e-10  1.6866e-10   5.33865e-09  
0.13332      7.78803e-10  1.84547e-10  5.8416e-09   
0.1357       8.66004e-10  2.01608e-10  6.38175e-09  
0.13808      9.61193e-10  2.19909e-10  6.96113e-09  
0.14046      1.06494e-09  2.39514e-10  7.58182e-09  
0.14284      1.17786e-09  2.60493e-10  8.24601e-09  
0.14522      1.30058e-09  2.82916e-10  8.95593e-09  
0.1476       1.43377e-09  3.06856e-10  9.71391e-09  
0.14998      1.57814e-09  3.3239e-10   1.05223e-08  
0.15236      1.73442e-09  3.59594e-10  1.13837e-08  
0.15474      1.90339e-09  3.88551e-10  1.23006e-08  
0.15712      2.08585e-09  4.19343e-10  1.32755e-08  
0.1595       2.28266e-09  4.52055e-10  1.43113e-08  
0.16188      2.4947e-09   4.86777e-10  1.54108e-08  
0.16426      2.7229e-09   5.23599e-10  1.65768e-08  
0.16664      2.96823e-09  5.62615e-10  1.78122e-08  
0.16902      3.23171e-09  6.03921e-10  1.91203e-08  
0.1714       3.51439e-09  6.47618e-10  2.0504e-08   
0.17378      3.81737e-09  6.93805e-10  2.19667e-08  
0.17616      4.1418e-09   7.4259e-10   2.35116e-08  
0.17854      4.48889e-09  7.94079e-10  2.51422e-08  
0.18092      4.85988e-09  8.48384e-10  2.6862e-08   
0.1833       5.25606e-09  9.05617e-10  2.86746e-08  
0.18568      5.67879e-09  9.65896e-10  3.05837e-08  
0.18806      6.12946e-09  1.02934e-09  3.25931e-08  
0.19044      6.60955e-09  1.09607e-09  3.47067e-08  
0.19282      7.12055e-09  1.16622e-09  3.69285e-08  
0.1952       7.66405e-09  1.23991e-09  3.92626e-08  
0.19758      8.24167e-09  1.31728e-09  4.17131e-08  
0.19996      8.85511e-09  1.39845e-09  4.42844e-08  
0.20234      9.50612e-09  1.48358e-09  4.69809e-08  
0.20472      1.01965e-08  1.5728e-09   4.98071e-08  
0.2071       1.09282e-08  1.66625e-09  5.27676e-08  
0.20948      1.1703e-08   1.7641e-09   5.58671e-08  
0.21186      1.25232e-08  1.86648e-09  5.91105e-08  
0.21424      1.33906e-08  1.97356e-09  6.25027e-08  
0.21662      1.43075e-08  2.08549e-09  6.60488e-08  
0.219        1.52761e-08  2.20243e-09  6.97539e-08  
0.22138      1.62987e-08  2.32456e-09  7.36233e-08  
0.22376      1.73777e-08  2.45204e-09  7.76623e-08  
0.22614      1.85156e-08  2.58505e-09  8.18766e-08  
0.22852      1.97148e-08  2.72376e-09  8.62718e-08  
0.2309       2.09781e-08  2.86836e-09  9.08535e-08  
0.23328      2.2308e-08   3.01903e-09  9.56276e-08  
0.23566      2.37075e-08  3.17595e-09  1.006e-07    
0.23804      2.51793e-08  3.33933e-09  1.05777e-07  
0.24042      2.67264e-08  3.50935e-09  1.11165e-07  
0.2428       2.83519e-08  3.68622e-09  1.1677e-07   
0.24518      3.00588e-08  3.87013e-09  1.22599e-07  
0.24756      3.18506e-08  4.06131e-09  1.28658e-07  
0.24994      3.37304e-08  4.25996e-09  1.34954e-07  
0.25232      3.57017e-08  4.4663e-09   1.41494e-07  
0.2547       3.7768e-08   4.68054e-09  1.48284e-07  
0.25708      3.99329e-08  4.90292e-09  1.55333e-07  
0.25946      4.22003e-08  5.13366e-09  1.62647e-07  
0.26184      4.45738e-08  5.37299e-09  1.70233e-07  
0.26422      4.70574e-08  5.62115e-09  1.78099e-07  
0.2666       4.96553e-08  5.87838e-09  1.86254e-07  
0.26898      5.23714e-08  6.14493e-09  1.94704e-07  
0.27136      5.52102e-08  6.42105e-09  2.03457e-07  
0.27374      5.81759e-08  6.70699e-09  2.12523e-07  
0.27612      6.12731e-08  7.00301e-09  2.21908e-07  
0.2785       6.45064e-08  7.30937e-09  2.31621e-07  
0.28088      6.78806e-08  7.62634e-09  2.41671e-07  
0.28326      7.14004e-08  7.95419e-09  2.52067e-07  
0.28564      7.50708e-08  8.29321e-09  2.62816e-07  
0.28802      7.88971e-08  8.64366e-09  2.73929e-07  
