# Mass = 0.0479598 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 59.5746 MeV 
# RSO = 6.86114 fm 
# aSO = 0.662 fm 
# VSO = 27.9312 MeV fm^2
# n = 0 
# l = 5 
# two_j = 11 
# two_t = 1 
# Energy = -27.9845 MeV
# r          u            Phi          u/r          
0.1          1.75473e-10  6.79545e-12  1.75473e-09  
0.10238      2.02068e-10  7.64308e-12  1.97371e-09  
0.10476      2.3194e-10   8.57328e-12  2.21401e-09  
0.10714      2.65403e-10  9.59193e-12  2.47716e-09  
0.10952      3.02795e-10  1.07052e-11  2.76474e-09  
0.1119       3.44476e-10  1.19194e-11  3.07842e-09  
0.11428      3.90831e-10  1.32415e-11  3.41994e-09  
0.11666      4.4227e-10   1.46783e-11  3.7911e-09   
0.11904      4.9923e-10   1.62371e-11  4.1938e-09   
0.12142      5.62174e-10  1.79257e-11  4.63e-09     
0.1238       6.31597e-10  1.97518e-11  5.10175e-09  
0.12618      7.08019e-10  2.17238e-11  5.61118e-09  
0.12856      7.91994e-10  2.38501e-11  6.1605e-09   
0.13094      8.84109e-10  2.61398e-11  6.75202e-09  
0.13332      9.84982e-10  2.86019e-11  7.3881e-09   
0.1357       1.09527e-09  3.12461e-11  8.07123e-09  
0.13808      1.21565e-09  3.40823e-11  8.80396e-09  
0.14046      1.34686e-09  3.71206e-11  9.58895e-09  
0.14284      1.48967e-09  4.03718e-11  1.04289e-08  
0.14522      1.64487e-09  4.38468e-11  1.13268e-08  
0.1476       1.81332e-09  4.75569e-11  1.22854e-08  
0.14998      1.9959e-09   5.15139e-11  1.33078e-08  
0.15236      2.19354e-09  5.57299e-11  1.43971e-08  
0.15474      2.40723e-09  6.02174e-11  1.55566e-08  
0.15712      2.63798e-09  6.49892e-11  1.67896e-08  
0.1595       2.88687e-09  7.00586e-11  1.80995e-08  
0.16188      3.15503e-09  7.54394e-11  1.94899e-08  
0.16426      3.44362e-09  8.11456e-11  2.09645e-08  
0.16664      3.75388e-09  8.71918e-11  2.25269e-08  
0.16902      4.08708e-09  9.35929e-11  2.41811e-08  
0.1714       4.44456e-09  1.00364e-10  2.59309e-08  
0.17378      4.82772e-09  1.07522e-10  2.77806e-08  
0.17616      5.23801e-09  1.15082e-10  2.97344e-08  
0.17854      5.67694e-09  1.2306e-10   3.17964e-08  
0.18092      6.14609e-09  1.31475e-10  3.39713e-08  
0.1833       6.6471e-09   1.40344e-10  3.62635e-08  
0.18568      7.18168e-09  1.49685e-10  3.86777e-08  
0.18806      7.7516e-09   1.59516e-10  4.12187e-08  
0.19044      8.3587e-09   1.69857e-10  4.38915e-08  
0.19282      9.0049e-09   1.80727e-10  4.67011e-08  
0.1952       9.69219e-09  1.92145e-10  4.96526e-08  
0.19758      1.04226e-08  2.04133e-10  5.27515e-08  
0.19996      1.11984e-08  2.16712e-10  5.6003e-08   
0.20234      1.20216e-08  2.29902e-10  5.94128e-08  
0.20472      1.28946e-08  2.43727e-10  6.29866e-08  
0.2071       1.38198e-08  2.58208e-10  6.67302e-08  
0.20948      1.47997e-08  2.73368e-10  7.06496e-08  
0.21186      1.58367e-08  2.89232e-10  7.47509e-08  
0.21424      1.69336e-08  3.05823e-10  7.90403e-08  
0.21662      1.8093e-08   3.23165e-10  8.35242e-08  
0.219        1.93178e-08  3.41285e-10  8.82092e-08  
0.22138      2.06109e-08  3.60208e-10  9.3102e-08   
0.22376      2.19753e-08  3.7996e-10   9.82093e-08  
0.22614      2.34141e-08  4.00568e-10  1.03538e-07  
0.22852      2.49305e-08  4.2206e-10   1.09095e-07  
0.2309       2.65278e-08  4.44463e-10  1.14889e-07  
0.23328      2.82095e-08  4.67807e-10  1.20925e-07  
0.23566      2.9979e-08   4.9212e-10   1.27213e-07  
0.23804      3.184e-08    5.17432e-10  1.33759e-07  
0.24042      3.37962e-08  5.43773e-10  1.40571e-07  
0.2428       3.58515e-08  5.71175e-10  1.47659e-07  
0.24518      3.80098e-08  5.99669e-10  1.55028e-07  
0.24756      4.02753e-08  6.29288e-10  1.62689e-07  
0.24994      4.26521e-08  6.60064e-10  1.70649e-07  
0.25232      4.51446e-08  6.9203e-10   1.78918e-07  
0.2547       4.77572e-08  7.25221e-10  1.87504e-07  
0.25708      5.04945e-08  7.59672e-10  1.96415e-07  
0.25946      5.33612e-08  7.95417e-10  2.05663e-07  
0.26184      5.63622e-08  8.32494e-10  2.15254e-07  
0.26422      5.95023e-08  8.70938e-10  2.252e-07    
0.2666       6.27869e-08  9.10787e-10  2.3551e-07   
0.26898      6.6221e-08   9.52079e-10  2.46193e-07  
0.27136      6.98101e-08  9.94853e-10  2.5726e-07   
0.27374      7.35597e-08  1.03915e-09  2.68721e-07  
0.27612      7.74755e-08  1.085e-09    2.80586e-07  
0.2785       8.15633e-08  1.13246e-09  2.92866e-07  
0.28088      8.58291e-08  1.18156e-09  3.05572e-07  
0.28326      9.02791e-08  1.23235e-09  3.18715e-07  
0.28564      9.49196e-08  1.28486e-09  3.32305e-07  
0.28802      9.97569e-08  1.33915e-09  3.46354e-07  
0.2904       1.04798e-07  1.39525e-09  3.60874e-07  
0.29278      1.10049e-07  1.45321e-09  3.75875e-07  
0.29516      1.15517e-07  1.51308e-09  3.91371e-07  
0.29754      1.2121e-07   1.5749e-09   4.07373e-07  
0.29992      1.27134e-07  1.63872e-09  4.23894e-07  
0.3023       1.33298e-07  1.70459e-09  4.40945e-07  
0.30468      1.39708e-07  1.77256e-09  4.58539e-07  
0.30706      1.46372e-07  1.84267e-09  4.7669e-07   
0.30944      1.533e-07    1.91498e-09  4.9541e-07   
0.31182      1.60498e-07  1.98954e-09  5.14713e-07  
0.3142       1.67975e-07  2.06639e-09  5.34612e-07  
0.31658      1.7574e-07   2.1456e-09   5.5512e-07   
0.31896      1.83801e-07  2.22721e-09  5.76252e-07  
0.32134      1.92168e-07  2.31128e-09  5.98021e-07  
0.32372      2.0085e-07   2.39786e-09  6.20442e-07  
0.3261       2.09855e-07  2.48701e-09  6.43529e-07  
0.32848      2.19194e-07  2.57879e-09  6.67298e-07  
0.33086      2.28876e-07  2.67325e-09  6.91762e-07  
0.33324      2.38912e-07  2.77045e-09  7.16937e-07  
0.33562      2.49311e-07  2.87045e-09  7.42838e-07  
0.338        2.60084e-07  2.97331e-09  7.6948e-07   
0.34038      2.71242e-07  3.07909e-09  7.96881e-07  
0.34276      2.82796e-07  3.18785e-09  8.25055e-07  
0.34514      2.94756e-07  3.29965e-09  8.54018e-07  
0.34752      3.07134e-07  3.41456e-09  8.83787e-07  
0.3499       3.19941e-07  3.53264e-09  9.14379e-07  
0.35228      3.3319e-07   3.65396e-09  9.45811e-07  
0.35466      3.46893e-07  3.77857e-09  9.78099e-07  
0.35704      3.6106e-07   3.90655e-09  1.01126e-06  
0.35942      3.75707e-07  4.03797e-09  1.04531e-06  
0.3618       3.90844e-07  4.17288e-09  1.08028e-06  
0.36418      4.06485e-07  4.31137e-09  1.11617e-06  
0.36656      4.22644e-07  4.4535e-09   1.153e-06    
0.36894      4.39333e-07  4.59934e-09  1.1908e-06   
0.37132      4.56568e-07  4.74897e-09  1.22958e-06  
0.3737       4.74361e-07  4.90245e-09  1.26936e-06  
0.37608      4.92727e-07  5.05986e-09  1.31017e-06  
0.37846      5.11681e-07  5.22127e-09  1.35201e-06  
0.38084      5.31238e-07  5.38677e-09  1.39491e-06  
0.38322      5.51412e-07  5.55641e-09  1.43889e-06  
0.3856       5.7222e-07   5.73029e-09  1.48397e-06  
0.38798      5.93677e-07  5.90849e-09  1.53018e-06  
0.39036      6.158e-07    6.09107e-09  1.57752e-06  
0.39274      6.38603e-07  6.27812e-09  1.62602e-06  
0.39512      6.62105e-07  6.46972e-09  1.67571e-06  
0.3975       6.86322e-07  6.66595e-09  1.7266e-06   
0.39988      7.11271e-07  6.8669e-09   1.77871e-06  
0.40226      7.36969e-07  7.07265e-09  1.83207e-06  
0.40464      7.63436e-07  7.28328e-09  1.8867e-06   
0.40702      7.90688e-07  7.49888e-09  1.94263e-06  
0.4094       8.18745e-07  7.71953e-09  1.99987e-06  
0.41178      8.47624e-07  7.94533e-09  2.05844e-06  
0.41416      8.77346e-07  8.17636e-09  2.11838e-06  
