# k 	 mf 
0	36.375
0.1	37.5817
0.2	40.8253
0.3	45.0279
0.4	48.6709
0.5	50.2146
0.6	48.6266
0.7	43.7718
0.8	36.4355
0.9	27.9741
1	19.7904
1.1	12.9
1.2	7.7506
1.3	4.29496
1.4	2.19687
1.5	1.03798
1.6	0.453326
1.7	0.183219
1.8	0.0685461
1.9	0.0237601
2	0.00763037
2.1	0.00227332
2.2	0.000621846
2.3	0.000161206
2.4	3.84782e-05
2.5	8.42287e-06
2.6	1.72891e-06
2.7	3.28798e-07
2.8	5.82343e-08
2.9	9.63491e-09
3	1.48388e-09
3.1	2.11036e-10
3.2	2.72478e-11
3.3	3.48118e-12
3.4	4.08668e-13
3.5	4.34719e-14
3.6	3.40234e-09
3.7	1.63381e-15
3.8	1.19938e-15
3.9	4.90151e-16
4	6.30241e-16
4.1	2.55844e-15
4.2	2.09061e-14
4.3	1.70304e-13
4.4	7.4493e-12
4.5	6.47537e-10
4.6	1.22389e-08
4.7	3.29629e-06
4.8	2.84387e-08
4.9	4.04947e-08
