# k 	 mf 
0	30.1738
0.1	29.7684
0.2	28.618
0.3	26.9893
0.4	25.3089
0.5	23.924
0.6	22.7566
0.7	21.3006
0.8	19.0042
0.9	15.7244
1	11.8546
1.1	8.06829
1.2	4.93886
1.3	2.7168
1.4	1.34387
1.5	0.598611
1.6	0.240506
1.7	0.0872599
1.8	0.0286616
1.9	0.0082759
2	0.00229994
2.1	0.000569684
2.2	0.000126185
2.3	2.4582e-05
2.4	4.57381e-06
2.5	7.74409e-07
2.6	1.20822e-07
2.7	1.66089e-08
2.8	2.15211e-09
2.9	2.5049e-10
3	2.63313e-11
3.1	2.52056e-12
3.2	2.23533e-13
3.3	1.88007e-14
3.4	1.80245e-15
3.5	4.86094e-16
3.6	2.0026e-16
3.7	7.72546e-16
3.8	7.09826e-16
3.9	3.5722e-14
4	1.5786e-07
4.1	1.72405e-06
4.2	1.42181e-07
4.3	5.74634e-07
4.4	1.9031e-05
4.5	5.47092e-05
4.6	8.38817e-06
4.7	0.000144162
4.8	0.000274985
4.9	0.000686303
