# k 	 mf 
0.1	3.74492
0.2	3.49951
0.3	3.12578
0.4	2.66888
0.5	2.17836
0.6	1.69971
0.7	1.26809
0.8	0.904477
0.9	0.616816
1	0.402158
1.1	0.250707
1.2	0.149427
1.3	0.0851513
1.4	0.0463924
1.5	0.0241651
1.6	0.0120337
1.7	0.00572938
1.8	0.00260685
1.9	0.00113488
2	0.000472145
2.1	0.000187784
2.2	7.14022e-05
2.3	2.59514e-05
2.4	9.01831e-06
2.5	2.99467e-06
2.6	9.50131e-07
2.7	2.87975e-07
2.8	8.34407e-08
2.9	2.30937e-08
3	6.10726e-09
3.1	1.54385e-09
3.2	3.7313e-10
3.3	8.62148e-11
3.4	1.90426e-11
3.5	3.94728e-12
3.6	8.1186e-13
3.7	1.56797e-13
3.8	2.90193e-14
3.9	5.16126e-15
4	8.99109e-16
4.1	1.5873e-16
4.2	3.75612e-17
4.3	1.21868e-17
4.4	8.98217e-18
4.5	2.57953e-17
4.6	5.44464e-18
4.7	2.16087e-17
4.8	1.90447e-18
4.9	1.61706e-17
