# mass number (A) = 108
# number of protons (Z) = 47
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
0.0	124.831773524	125.089901889	249.921675413
0.02	125.07883065	125.337533683	250.416364333
0.04	125.809797041	126.066901929	251.87669897
0.06	126.994505597	127.238180871	254.232686469
0.08	128.584150669	128.787466795	257.371617464
0.1	130.51342805	130.630327745	261.143755794
0.12	132.703395246	132.666465872	265.369861118
0.14	135.064922944	134.785209772	269.850132716
0.16	137.502580976	136.871506619	274.374087596
0.18	139.918781179	138.812057922	278.730839101
0.2	142.217986418	140.501239681	282.719226099
0.22	144.310790523	141.84646752	286.157258043
0.24	146.117678556	142.772708123	288.890386679
0.26	147.572290696	143.225896997	290.798187693
0.28	148.624035867	143.1750948	291.799130667
0.3	149.23993208	142.61329516	291.853227241
0.32	149.40558813	141.556880539	290.96246867
0.34	149.125283866	140.043803687	289.169087552
0.36	148.421151708	138.130645463	286.551797172
0.38	147.331507922	135.888760825	283.220268747
0.4	145.908425799	133.399770112	279.308195911
0.42	144.214681956	130.750680317	274.965362274
0.44	142.320238903	128.028929736	270.349168639
0.46	140.298450158	125.317639723	265.616089881
0.48	138.222186874	122.691330862	260.913517736
0.5	136.16008652	120.212320175	256.372406694
0.52	134.173114497	117.927964593	252.10107909
0.54	132.31160928	115.86885761	248.180466889
0.56	130.612952106	114.04802493	244.660977036
0.58	129.099965266	112.461105096	241.561070362
0.6	127.780101011	111.087446046	238.867547057
0.62	126.64543869	109.892001529	236.537440218
0.64	125.67346366	108.827874431	234.50133809
0.66	124.828560424	107.839328983	232.667889408
0.68	124.064116767	106.865080976	230.929197743
0.7	123.325107254	105.841674354	229.166781608
0.72	122.551004803	104.706762891	227.257767694
0.74	121.678858842	103.402135408	225.08099425
0.76	120.646377988	101.876350228	222.522728216
0.78	119.394863733	100.086876826	219.481740558
0.8	117.871858205	98.0016776915	215.873535896
0.82	116.033392284	95.6001987092	211.633590993
0.84	113.845748235	92.8737700245	206.71951826
0.86	111.28668176	89.8254494306	201.112131191
0.88	108.346079796	86.4693655185	194.815445315
0.9	105.026060711	82.8296372545	187.855697965
0.92	101.340551045	78.9389598179	180.279510863
0.94	97.3143962771	74.8369534455	172.151349723
0.96	92.9820812926	70.5683730357	163.550454328
0.98	88.3861487404	66.1812720377	154.567420778
1.0	83.5754101253	61.7252055746	145.3006157
1.02	78.6030455019	57.2495458687	135.852591371
1.04	73.5246835671	52.8019689248	126.326652492
1.06	68.396545562	48.4271561671	116.823701729
1.08	63.2737246526	44.1657392991	107.439463952
1.1	58.2086583963	40.0535019117	98.262160308
1.12	53.2498365759	36.1208380072	89.3706745831
1.14	48.4407710888	32.392456136	80.8332272248
1.16	43.819239591	28.8873085811	72.7065481721
1.18	39.4168009555	25.6187181336	65.0355190891
1.2	35.2585688478	22.5946704564	57.8532393042
1.22	31.3632202253	19.8182377147	51.18145794
1.24	27.7432085079	17.2880988037	45.0313073116
1.26	24.405146558	14.9991228345	39.4042693925
1.28	21.3503223324	12.9429851912	34.2933075236
1.3	18.5753098803	11.1087890887	29.684098969
1.32	16.0726399451	9.48366980094	25.556309746
1.34	13.8314974235	8.0533632576	21.8848606811
1.36	11.8384169546	6.80272526623	18.6411422208
1.38	10.0779525827	5.71619196366	15.7941445464
1.4	8.53330241539	4.77817607086	13.3114784863
1.42	7.1868741817	3.97339699581	11.1602711775
1.44	6.02078233603	3.28714572929	9.30792806532
1.46	5.01727166133	2.70548778211	7.72275944344
1.48	4.15906607353	2.21540912765	6.37447520117
1.5	3.42964443736	1.80491127901	5.23455571638
1.52	2.81344764745	1.46306230312	4.27650995057
1.54	2.2960230187	1.18001082561	3.47603384431
1.56	1.8641132127	0.946969987849	2.81108320055
1.58	1.50569756698	0.756177957872	2.26187552485
1.6	1.20999387465	0.600841045415	1.81083492007
1.62	0.967428469176	0.47506479417	1.44249326335
1.64	0.769581991923	0.37377768046	1.14335967238
1.66	0.609117541079	0.292651285009	0.901768826087
1.68	0.479697095344	0.228020061457	0.707717156801
1.7	0.375891238842	0.176803129975	0.552694368817
1.72	0.293086337935	0.136429896006	0.429516233941
1.74	0.227392477664	0.104770744233	0.332163221897
1.76	0.175554685101	0.0800735912555	0.255628276357
1.78	0.134869269061	0.0609066968395	0.1957759659
1.8	0.103106501334	0.0461078289112	0.149214330246
1.82	0.0784403577812	0.0347396448993	0.11318000268
1.84	0.0593856263672	0.0260509831157	0.0854366094828
1.86	0.0447423677253	0.0194436434238	0.0641860111491
1.88	0.0335474732207	0.0144441671093	0.04799164033
1.9	0.0250328955672	0.010680092694	0.0357129882612
1.92	0.0185900167393	0.00786015919518	0.0264501759345
1.94	0.0137395563623	0.00575794374865	0.019497500111
1.96	0.0101064006461	0.00419845035012	0.0143048509962
1.98	0.00739873794215	0.00304720556119	0.0104459435033
2.0	0.00539091402078	0.00220146122382	0.0075923752446
2.02	0.00390946131155	0.00158315032747	0.00549261163901
2.04	0.00282180602975	0.00113328779218	0.00395509382193
2.06	0.00202721089862	0.000807551393218	0.00283476229184
2.08	0.00144956572029	0.000572818262278	0.00202238398257
2.1	0.00103169092396	0.000404468724671	0.00143615964864
2.12	0.000730868779572	0.000284301393525	0.0010151701731
2.14	0.000515362191472	0.000198931428813	0.000714293620285
2.16	0.000361721356512	0.00013856785051	0.000500289207022
2.18	0.000252713930303	9.60860626184e-05	0.000348799992922
2.2	0.000175744808734	6.63286583067e-05	0.000242073467041
2.22	0.000121657491569	4.55815273257e-05	0.000167239018894
2.24	8.38306548548e-05	3.11836695847e-05	0.000115014324439
2.26	5.75014790368e-05	2.12383116951e-05	7.87397907318e-05
2.28	3.92619373175e-05	1.4400276169e-05	5.36622134865e-05
2.3	2.66861104089e-05	9.72038023922e-06	3.64064906481e-05
2.32	1.80560963056e-05	6.53221900796e-06	2.45883153136e-05
2.34	1.2161623785e-05	4.3702535021e-06	1.65318772871e-05
2.36	8.15440683107e-06	2.91087933978e-06	1.10652861708e-05
2.38	5.44289792783e-06	1.93026372211e-06	7.37316164994e-06
2.4	3.61666942015e-06	1.27434515576e-06	4.89101457592e-06
2.42	2.39238991858e-06	8.37603543141e-07	3.22999346172e-06
2.44	1.57544508169e-06	5.48117797557e-07	2.12356287925e-06
2.46	1.03282389279e-06	3.571051797e-07	1.38992907249e-06
2.48	6.74069150267e-07	2.31637065688e-07	9.05706215956e-07
2.5	4.37966791804e-07	1.49593376226e-07	5.8756016803e-07
2.52	2.83295566796e-07	9.61859759629e-08	3.79481542759e-07
2.54	1.82433032575e-07	6.15756274097e-08	2.44008659985e-07
2.56	1.16959484031e-07	3.92469748242e-08	1.56206458856e-07
2.58	7.46515401238e-08	2.49061312995e-08	9.95576714233e-08
2.6	4.74369206439e-08	1.57366230406e-08	6.31735436844e-08
2.62	3.00103842388e-08	9.89975331443e-09	3.99101375533e-08
2.64	1.89019612774e-08	6.20079099567e-09	2.51027522731e-08
2.66	1.18529175388e-08	3.86706949899e-09	1.57199870378e-08
2.68	7.39996237087e-09	2.40121611119e-09	9.80117848205e-09
2.7	4.59962397392e-09	1.48455769957e-09	6.08418167349e-09
2.72	2.84646844208e-09	9.138640718e-10	3.76033251388e-09
2.74	1.75381688208e-09	5.60127499146e-10	2.31394438122e-09
2.76	1.07586677391e-09	3.41833790569e-10	1.41770056448e-09
2.78	6.57100224419e-10	2.07715011849e-10	8.64815236269e-10
2.8	3.99582123226e-10	1.25674604267e-10	5.25256727493e-10
2.82	2.41926918156e-10	7.57104495814e-11	3.17637367737e-10
2.84	1.45837224059e-10	4.54145118608e-11	1.91251735919e-10
2.86	8.75308077016e-11	2.71247555886e-11	1.1465556329e-10
2.88	5.23075146384e-11	1.61313668534e-11	6.84388814919e-11
2.9	3.11228990227e-11	9.55239803145e-12	4.06752970541e-11
2.92	1.84378795822e-11	5.63237138066e-12	2.40702509628e-11
2.94	1.08757445297e-11	3.30681175783e-12	1.41825562876e-11
2.96	6.38743056801e-12	1.93316371368e-12	8.32059428169e-12
2.98	3.73520633413e-12	1.12530536403e-12	4.86051169816e-12
3.0	2.17483449062e-12	6.52253361858e-13	2.82708785248e-12
3.02	1.26084876243e-12	3.76450610139e-13	1.63729937257e-12
3.04	7.27824841972e-13	2.16345046405e-13	9.44169888378e-13
3.06	4.1833069637e-13	1.23804000249e-13	5.42134696619e-13
3.08	2.39410627038e-13	7.05460403501e-14	3.09956667388e-13
3.1	1.36426822189e-13	4.00278528828e-14	1.76454675072e-13
3.12	7.74088353705e-14	2.26154405558e-14	1.00024275926e-13
3.14	4.37338272158e-14	1.2723374372e-14	5.64572015878e-14
3.16	2.46026752868e-14	7.12779862947e-15	3.17304739163e-14
3.18	1.37811915544e-14	3.97617729056e-15	1.77573688449e-14
3.2	7.68656747809e-15	2.208689056e-15	9.8952565341e-15
3.22	4.2689491773e-15	1.22169622273e-15	5.49064540004e-15
3.24	2.36077168041e-15	6.7290377764e-16	3.03367545805e-15
3.26	1.29996906811e-15	3.69066845659e-16	1.66903591377e-15
