# mass number (A) = 109
# number of protons (Z) = 47
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
0.0	125.332198448	125.591361596	250.923560045
0.02	125.580998628	125.840647061	251.42164569
0.04	126.318194564	126.57484979	252.893044355
0.06	127.516523315	127.753773539	255.270296854
0.08	129.131704218	129.312926737	258.444630955
0.1	131.104133369	131.167114316	262.271247686
0.12	133.361172647	133.215154533	266.57632718
0.14	135.819951352	135.345434095	271.165385447
0.16	138.390577415	137.441966762	275.832544177
0.18	140.979636248	139.390594365	280.370230613
0.2	143.493839672	141.084966308	284.57880598
0.22	145.843676123	142.43195388	288.275630003
0.24	147.946907544	143.356197309	291.303104853
0.26	149.731759106	143.803543216	293.535302323
0.28	151.139655923	143.743203554	294.882859477
0.3	152.127376628	143.168549087	295.295925715
0.32	152.668516945	142.096535332	294.765052277
0.34	152.754186633	140.56584095	293.320027583
0.36	152.392899081	138.633872714	291.026771795
0.38	151.609652728	136.372852795	287.982505523
0.4	150.444245044	133.865249769	284.309494813
0.42	148.948900678	131.198842244	280.147742922
0.44	147.185332767	128.46171241	275.647045177
0.46	145.221387971	125.737456558	270.958844529
0.48	143.127449211	123.100872343	266.228321554
0.5	140.972783682	120.614340976	261.587124658
0.52	138.822026451	118.325070079	257.14709653
0.54	136.731981428	116.263303638	252.995285066
0.56	134.748902345	114.441543458	249.190445804
0.58	132.906387606	112.854765919	245.761153525
0.6	131.223986598	111.481562237	242.705548836
0.62	129.706573517	110.286083021	239.992656538
0.64	128.34450079	109.220630965	237.565131755
0.66	127.114500613	108.228720502	235.343221116
0.68	125.981262698	107.248410736	233.229673434
0.7	124.899581547	106.215717676	231.115299223
0.72	123.816939386	105.06792274	228.884862126
0.74	122.676372731	103.746614908	226.422987639
0.76	121.419462116	102.200331831	223.619793947
0.78	119.989285837	100.386698145	220.375983982
0.8	118.333189037	98.2739948219	216.607183859
0.82	116.405237855	95.8421292423	212.247367097
0.84	114.16825308	93.0830096258	207.251262706
0.86	111.595346825	90.0003577604	201.595704586
0.88	108.670917066	86.6090192652	195.279936332
0.9	105.391086445	82.9338499756	188.324936421
0.92	101.763601546	79.0082700527	180.771871598
0.94	97.807235313	74.8725840746	172.679819388
0.96	93.550757124	70.5721660564	164.12292318
0.98	89.0315513227	66.1556037644	155.187155087
1.0	84.2939754535	61.6728877505	145.966863204
1.02	79.3875538747	57.1737183031	136.561272178
1.04	74.3651013204	52.7059890837	127.071090404
1.06	69.2808649524	48.3144906952	117.595355648
1.08	64.1887634032	44.0398617903	108.228625193
1.1	59.1407882883	39.9178004497	99.058588738
1.12	54.1856187621	35.9785351182	90.1641538802
1.14	49.3674839667	32.2465428971	81.6140268638
1.16	44.72529266	28.7404937678	73.4657864278
1.18	40.2920347511	25.4733924962	65.7654272473
1.2	36.0944465772	22.4528855388	58.547332116
1.22	32.1529210037	19.6816980725	51.8346190763
1.24	28.4816350971	17.1581660641	45.6398011613
1.26	25.0888623003	14.8768297626	39.9656920629
1.28	21.9774326748	12.8290577804	34.8064904552
1.3	19.1453036626	11.0036746651	30.1489783277
1.32	16.5862046701	9.38756919838	25.9737738684
1.34	14.2903212313	7.96626527038	22.2565865017
1.36	12.244988177	6.72444179137	18.9694299684
1.38	10.435365725	5.64639248745	16.0817582125
1.4	8.84507735466	4.71642041504	13.5614977697
1.42	7.45679339428	3.9191655012	11.3759588955
1.44	6.25274916392	3.23986630559	9.49261546951
1.46	5.21519105875	2.66455948159	7.87975054034
1.48	4.32674797039	2.18022210069	6.50697007108
1.5	3.57072882936	1.77486313702	5.34559196639
1.52	2.93134976437	1.43757104735	4.36892081171
1.54	2.39389641283	1.15852459991	3.55242101274
1.56	1.94482831753	0.928973981101	2.87380229863
1.58	1.57183316745	0.741198821733	2.31303198918
1.6	1.263838967	0.588449208814	1.85228817582
1.62	1.01099213446	0.464875052344	1.4758671868
1.64	0.804609128426	0.365448417617	1.17005754604
1.66	0.637108568707	0.285882660258	0.922991228965
1.68	0.501930033405	0.222551451166	0.724481484571
1.7	0.393444848947	0.172410079574	0.56585492852
1.72	0.306863300574	0.132920793076	0.43978409365
1.74	0.238141824238	0.101983384689	0.340125208928
1.76	0.183892930511	0.0778717729889	0.2617647035
1.78	0.141299880184	0.0591769414581	0.200476821642
1.8	0.108037493386	0.04475630278	0.152793796166
1.82	0.0821999350071	0.0336893257265	0.115889260734
1.84	0.0622358784854	0.0252390978846	0.0874749763699
1.86	0.0468911025085	0.0188193872414	0.0657104897498
1.88	0.0351583124476	0.0139667001575	0.0491250126051
1.9	0.026233790244	0.0103168034585	0.0365505937025
1.92	0.0194803517314	0.00758517600087	0.0270655277323
1.94	0.0143960178179	0.00555087284605	0.019946890664
1.96	0.0105877748288	0.00404331689171	0.0146310917205
1.98	0.00774979985088	0.00293157334473	0.0106813731956
2.0	0.00564555051816	0.00211570767835	0.00776125819651
2.02	0.00409315803442	0.00151987455208	0.0056130325865
2.04	0.00295361133684	0.00108683126141	0.00404044259825
2.06	0.00212127440702	0.000773613004167	0.00289488741118
2.08	0.00151633419171	0.000548147555921	0.00206448174763
2.1	0.00107883075477	0.00038662324742	0.00146545400219
2.12	0.000763972317173	0.000271456193832	0.00103542851101
2.14	0.000538484606898	0.000189730553349	0.000728215160247
2.16	0.00037778581572	0.000132009386249	0.000509795201968
2.18	0.000263815232857	9.14337527898e-05	0.000355248985647
2.2	0.000183375371101	6.30444023617e-05	0.000246419773462
2.22	0.000126874395215	4.32741673385e-05	0.000170148562554
2.24	8.7378303585e-05	2.95703830015e-05	0.000116948686586
2.26	5.9901067299e-05	2.01156910864e-05	8.00167583854e-05
2.28	4.08762840927e-05	1.36228000213e-05	5.4499084114e-05
2.3	2.77663382777e-05	9.18448400142e-06	3.69508222791e-05
2.32	1.87750245488e-05	6.1645807791e-06	2.49396053279e-05
2.34	1.26375056192e-05	4.11923053037e-06	1.67567361496e-05
2.36	8.46769674959e-06	2.74028468702e-06	1.12079814366e-05
2.38	5.64802174777e-06	1.8148698889e-06	7.46289163667e-06
2.4	3.75023515179e-06	1.19665411889e-06	4.94688927068e-06
2.42	2.47888037973e-06	7.8553971841e-07	3.26442009814e-06
2.44	1.63114035851e-06	5.13389493393e-07	2.1445298519e-06
2.46	1.06848755042e-06	3.34047330856e-07	1.40253488127e-06
2.48	6.9677660431e-07	2.1639840195e-07	9.1317500626e-07
2.5	4.52342217679e-07	1.3956864136e-07	5.91910859038e-07
2.52	2.92343595384e-07	8.96214754088e-08	3.81965070793e-07
2.54	1.88094585273e-07	5.7296669677e-08	2.4539125495e-07
2.56	1.20480990026e-07	3.64705468803e-08	1.56951536906e-07
2.58	7.68287005848e-08	2.3112837789e-08	9.99415383738e-08
2.6	4.87746661723e-08	1.45836019898e-08	6.3358268162e-08
2.62	3.0827197329e-08	9.1617671968e-09	3.99889645258e-08
2.64	1.93974969772e-08	5.73058481352e-09	2.51280817907e-08
2.66	1.21515642162e-08	3.56883241728e-09	1.57203966335e-08
2.68	7.57872918766e-09	2.21290671964e-09	9.7916359073e-09
2.7	4.70588276817e-09	1.36619275013e-09	6.0720755183e-09
2.72	2.90916984009e-09	8.39798101537e-10	3.74896794163e-09
2.74	1.79053573208e-09	5.13989118534e-10	2.30452485062e-09
