# mass number (A) = 27
# number of protons (Z) = 13
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
0.0	28.1811739926	28.2394473004	56.420621293
0.02	28.2193598548	28.2777578688	56.4971177235
0.04	28.3334821223	28.3921693705	56.7256514928
0.06	28.5222357338	28.5811254599	57.1033611937
0.08	28.7834487756	28.8420465215	57.6254952971
0.1	29.114087964	29.1713513756	58.2854393396
0.12	29.5102676727	29.5644881648	59.0747558375
0.14	29.9672637496	30.015974854	59.9832386035
0.16	30.4795335744	30.5194498088	60.9989833832
0.18	31.0407439185	31.0677328886	62.1084768072
0.2	31.6438081653	31.6528973986	63.296705564
0.22	32.2809343369	32.2663530836	64.5472874205
0.24	32.9436851438	32.8989401246	65.8426252685
0.26	33.6230509466	33.5410338179	67.1640847645
0.28	34.3095360945	34.1826592928	68.4921953873
0.3	34.9932586205	34.8136152694	69.8068738899
0.32	35.6640627285	35.4236054868	71.0876682153
0.34	36.3116429514	36.0023760687	72.3140190201
0.36	36.9256783021	36.5398567521	73.4655350542
0.38	37.4959742153	37.0263036033	74.5222778186
0.4	38.0126096147	37.4524406058	75.4650502205
0.42	38.4660860566	37.8095973362	76.2756833928
0.44	38.8474756182	38.0898398613	76.9373154795
0.46	39.1485640321	38.2860919992	77.4346560313
0.48	39.361985531	38.3922441949	77.7542297259
0.5	39.4813459515	38.4032474599	77.8845934114
0.52	39.5013308645	38.3151901224	77.8165209869
0.54	39.4177958356	38.1253555055	77.5431513411
0.56	39.2278363592	37.832259098	77.0600954572
0.58	38.9298355452	37.4356642794	76.3654998246
0.6	38.5234882369	36.9365761945	75.4600644314
0.62	38.0098008836	36.3372139259	74.3470148094
0.64	37.391067161	35.6409616582	73.0320288192
0.66	36.6708199942	34.8523000584	71.5231200525
0.68	35.8537612703	33.9767195777	69.8304808479
0.7	34.945671115	33.0206178158	67.9662889308
0.72	33.9532991166	31.9911834425	65.9444825591
0.74	32.8842403093	30.8962694557	63.780509765
0.76	31.7467990564	29.7442587432	61.4910577996
0.78	30.5498441951	28.5439250164	59.0937692115
0.8	29.3026589156	27.3042921939	56.6069511095
0.82	28.0147888552	26.0344952322	54.0492840874
0.84	26.6958917831	24.7436452383	51.4395370214
0.86	25.3555920608	23.4407014687	48.7962935295
0.88	24.0033427837	22.1343525176	46.1376953013
0.9	22.6482981605	20.8329086584	43.481206819
0.92	21.2991982882	19.5442069185	40.8434052067
0.94	19.9642680393	18.2755300674	38.2397981068
0.96	18.6511313208	17.033540292	35.6846716128
0.98	17.3667414979	15.8242279273	33.1909694252
1.0	16.1173283254	14.6528752302	30.7702035556
1.02	14.9083612979	13.5240348261	28.432396124
1.04	13.7445289388	12.4415221408	26.1860510796
1.06	12.6297331993	11.4084208563	24.0381540556
1.08	11.5670978426	10.4271002022	21.9941980447
1.1	10.5589894502	9.4992427214	20.0582321715
1.12	9.60704950675	8.62588102571	18.2329305325
1.14	8.71223589821	7.80744198418	16.5196778824
1.16	7.87487209334	7.04379676535	14.9186688587
1.18	7.09470226871	6.33431517269	13.4290174414
1.2	6.37095067188	5.67792277274	12.0488734446
1.22	5.70238359694	5.07315940745	10.7755430044
1.24	5.08737245929	4.5182378008	9.60561026009
1.26	4.52395659739	4.01110110976	8.53505770715
1.28	4.00990459004	3.54947842244	7.55938301248
1.3	3.5427730519	3.13093736811	6.67371042001
1.32	3.11996205055	2.75293316687	5.87289521741
1.34	2.73876646905	2.41285360827	5.15162007732
1.36	2.39642281395	2.10805960174	4.50448241569
1.38	2.09015113498	1.8359210855	3.92607222048
1.4	1.81719187612	1.59384821081	3.41104008693
1.42	1.57483761523	1.37931783378	2.95415544901
1.44	1.3604597695	1.18989544566	2.55035521517
1.46	1.17153044567	1.02325275442	2.19478320009
1.48	1.00563969633	0.877181195837	1.88282089216
1.5	0.86050850826	0.749601700893	1.61011020915
1.52	0.73399789503	0.638571080216	1.37256897525
1.54	0.62411449669	0.542285405892	1.16639990258
1.56	0.529013105072	0.459080778522	0.988093883594
1.58	0.446996536033	0.3874318641	0.834428400133
1.6	0.376513261985	0.325948573155	0.70246183514
1.62	0.316153201084	0.27337123531	0.589524436394
1.64	0.264642035416	0.228564597608	0.493206633024
1.66	0.220834401313	0.190510946282	0.411345347596
1.68	0.183706262166	0.158302620467	0.342008882633
1.7	0.152346739283	0.131134153991	0.283480893274
1.72	0.125949640818	0.108294248857	0.234243889674
1.74	0.10380489359	0.0891577522773	0.192962645867
1.76	0.0852900486881	0.0731777788878	0.158467827576
1.78	0.0698619997533	0.0598780915049	0.129740091258
1.8	0.057049023318	0.0488458280014	0.105894851319
1.82	0.0464432238275	0.039724638705	0.0861678625326
1.84	0.0376934422496	0.032208278356	0.0699017206057
1.86	0.0304986665011	0.026034679077	0.0565333455782
1.88	0.0246019642888	0.0209805159619	0.0455824802507
1.9	0.0197849442408	0.016856264626	0.0366412088668
1.92	0.0158627392208	0.0135017402105	0.0293644794314
1.94	0.0126794962461	0.0107820996713	0.0234615959173
1.96	0.0101043502139	0.00858428346941	0.0186886336833
1.98	0.00802785342103	0.00681386877753	0.0148417221986
2.0	0.00635882935272	0.00539230376849	0.0117511331212
2.02	0.00502161717142	0.00425449123371	0.00927610840513
2.04	0.00395367249032	0.00334668945874	0.00730036194906
2.06	0.00310349014164	0.00262469876368	0.00572818890533
2.08	0.00242881553697	0.00205230321135	0.00448111874832
2.1	0.00189511267539	0.00159993853611	0.0034950512115
2.12	0.00147425872497	0.00124355921213	0.0027178179371
2.14	0.00114343724431	0.000963679644704	0.00210711688901
2.16	0.000884204408639	0.00074456663501	0.00162877104365
2.18	0.000681704965482	0.000573562460269	0.00125526742575
2.2	0.000524016993654	0.000440520066183	0.000964537059838
2.22	0.000401606819685	0.000337333941326	0.000738940761011
2.24	0.000306877615751	0.000257552200829	0.00056442981658
2.26	0.000233797233927	0.000196057227143	0.00042985446107
2.28	0.000177592704848	0.000148803885882	0.000326396590731
2.3	0.000134500535216	0.000112605848981	0.000247106384197
2.32	0.000101563475459	8.4961915555e-05	0.000186525391014
2.34	7.64657990196e-05	6.39154271938e-05	0.000140381226213
2.36	5.74003448858e-05	4.7940936266e-05	0.000105341281152
2.38	4.29616346318e-05	3.58532127764e-05	7.88148474082e-05
2.4	3.20602955883e-05	2.67344781371e-05	5.87947737254e-05
2.42	2.3854815127e-05	1.9876444461e-05	4.3731259588e-05
2.44	1.76973300355e-05	1.47343272858e-05	3.24316573212e-05
2.46	1.3090732119e-05	1.08904994095e-05	2.39812315285e-05
2.48	9.65485858609e-06	8.02587468563e-06	1.76807332717e-05
2.5	7.09994484416e-06	5.89746336591e-06	1.29974082101e-05
2.52	5.2058585921e-06	4.32083428635e-06	9.52669287845e-06
2.54	3.80591713813e-06	3.15646234464e-06	6.96237948277e-06
2.56	2.7743233198e-06	2.29913991302e-06	5.07346323282e-06
2.58	2.01644689651e-06	1.66979477386e-06	3.68624167037e-06
2.6	1.46133453855e-06	1.2091907213e-06	2.67052525984e-06
2.62	1.05595837769e-06	8.73095220688e-07	1.92905359838e-06
2.64	7.60815533698e-07	6.28585817947e-07	1.38940135164e-06
2.66	5.46573372248e-07	4.51237054945e-07	9.97810427193e-07
2.68	3.91521112213e-07	3.22985610552e-07	7.14506722765e-07
2.7	2.79640833205e-07	2.30515878377e-07	5.10156711582e-07
2.72	1.99152483187e-07	1.64043401518e-07	3.63195884705e-07
2.74	1.41420260619e-07	1.16401322295e-07	2.57821582914e-07
2.76	1.00133483231e-07	8.23567598103e-08	1.82490243041e-07
2.78	7.06951782603e-08	5.81010158662e-08	1.28796194127e-07
2.8	4.97672934922e-08	4.08707179645e-08	9.06380114567e-08
2.82	3.49335702671e-08	2.86672338957e-08	6.36008041628e-08
2.84	2.44504913561e-08	2.00495760828e-08	4.45000674389e-08
2.86	1.70639199648e-08	1.39820665879e-08	3.10459865527e-08
2.88	1.18745601105e-08	9.72266170097e-09	2.15972218114e-08
2.9	8.23957220189e-09	6.74135933278e-09	1.49809315347e-08
2.92	5.70086935818e-09	4.6607854804e-09	1.03616548386e-08
2.94	3.93303375227e-09	3.21307538966e-09	7.14610914192e-09
2.96	2.70561047173e-09	2.20868456301e-09	4.91429503474e-09
2.98	1.85590063793e-09	1.51390372087e-09	3.36980435881e-09
3.0	1.2693951898e-09	1.0347022327e-09	2.30409742249e-09
3.02	8.657499283e-10	7.05157064804e-10	1.5709069931e-09
3.04	5.88765518036e-10	4.79192978107e-10	1.06795849614e-09
3.06	3.99252221384e-10	3.2470568317e-10	7.23957904553e-10
3.08	2.69965432507e-10	2.19394094969e-10	4.89359527476e-10
3.1	1.8202271139e-10	1.47814250708e-10	3.29836962098e-10
3.12	1.22377154096e-10	9.93035380262e-11	2.21680692122e-10
3.14	8.20414266596e-11	6.65228560307e-11	1.4856428269e-10
3.16	5.48434625021e-11	4.44360548101e-11	9.92795173122e-11
3.18	3.65574627728e-11	2.9597786065e-11	6.61552488379e-11
3.2	2.42989465375e-11	1.96581551258e-11	4.39571016634e-11
3.22	1.61049637559e-11	1.30192734571e-11	2.9124237213e-11
3.24	1.06437249453e-11	8.59788935706e-12	1.92416143023e-11
3.26	7.01438801626e-12	5.66185455275e-12	1.2676242569e-11
3.28	4.609447127e-12	3.71781649983e-12	8.32726362683e-12
3.3	3.02044856028e-12	2.43433419679e-12	5.45478275707e-12
3.32	1.973595929e-12	1.58941047052e-12	3.56300639953e-12
3.34	1.28590786966e-12	1.03479938769e-12	2.32070725735e-12
3.36	8.35462383933e-13	6.71801662715e-13	1.50726404665e-12
3.38	5.41265053085e-13	4.34901984099e-13	9.76167037183e-13
3.4	3.49671077705e-13	2.80742190016e-13	6.30413267721e-13
3.42	2.25256152813e-13	1.807134702e-13	4.05969623013e-13
3.44	1.44697630127e-13	1.1599532207e-13	2.60692952197e-13
3.46	9.2686087525e-14	7.42434394269e-14	1.66929526952e-13
3.48	5.92020328842e-14	4.73853281221e-14	1.06587361006e-13
3.5	3.77075383146e-14	3.01577153747e-14	6.78652536893e-14
3.52	2.39491320606e-14	1.91391324334e-14	4.3088264494e-14
3.54	1.5167777532e-14	1.21119993877e-14	2.72797769197e-14
3.56	9.57911140618e-15	7.6432792671e-15	1.72223906733e-14
3.58	6.03253877344e-15	4.80966042742e-15	1.08421992009e-14
3.6	3.78832436306e-15	3.0180080893e-15	6.80633245237e-15
3.62	2.37228484895e-15	1.88841817046e-15	4.26070301941e-15
3.64	1.48135673025e-15	1.1782792011e-15	2.65963593135e-15
3.66	9.22414470973e-16	7.33113131643e-16	1.65552760262e-15
3.68	5.72752082844e-16	4.5484874558e-16	1.02760082842e-15
3.7	3.54635200522e-16	2.81408157125e-16	6.36043357647e-16
3.72	2.18963672506e-16	1.73612302656e-16	3.92575975162e-16
3.74	1.34814878278e-16	1.06806798297e-16	2.41621676575e-16
3.76	8.27712594995e-17	6.55227812373e-17	1.48294040737e-16
3.78	5.06754645112e-17	4.00830920001e-17	9.07585565113e-17
3.8	3.09380396345e-17	2.44515279903e-17	5.53895676247e-17
3.82	1.88349798958e-17	1.48739772582e-17	3.3708957154e-17
3.84	1.14344499597e-17	9.02245996017e-18	2.04569099198e-17
3.86	6.92219084604e-18	5.45757821035e-18	1.23797690564e-17
3.88	4.17878908702e-18	3.29194473118e-18	7.47073381819e-18
3.9	2.51556962113e-18	1.98008150382e-18	4.49565112495e-18
3.92	1.51008587481e-18	1.1876595369e-18	2.69774541171e-18
3.94	9.03954905057e-19	7.1036181335e-19	1.61431671841e-18
3.96	5.39600196954e-19	4.23688224035e-19	9.63288420988e-19
3.98	3.21201850081e-19	2.51995450546e-19	5.73197300627e-19
4.0	1.90662361342e-19	1.49457909575e-19	3.40120270917e-19
4.02	1.12858238713e-19	8.83945266546e-20	2.01252765367e-19
4.04	6.66167308552e-20	5.21329714192e-20	1.18749702274e-19
4.06	3.92116829195e-20	3.06605949929e-20	6.98722779124e-20
4.08	2.30160149623e-20	1.79816702401e-20	4.09976852024e-20
4.1	1.34718619659e-20	1.05162567971e-20	2.39881187629e-20
4.12	7.86336286927e-21	6.13302007723e-21	1.39963829465e-20
4.14	4.57691199285e-21	3.56672793317e-21	8.14363992602e-21
4.16	2.65656657235e-21	2.06846563777e-21	4.72503221012e-21
4.18	1.53763439553e-21	1.19621626442e-21	2.73385065995e-21
4.2	8.87503437877e-22	6.89849715894e-22	1.57735315377e-21
4.22	5.10824728858e-22	3.96718995943e-22	9.07543724801e-22
4.24	2.93196661818e-22	2.27507408355e-22	5.20704070173e-22
4.26	1.67815353901e-22	1.30104538957e-22	2.97919892858e-22
4.28	9.57833999607e-23	7.41948948463e-23	1.69978294807e-22
4.3	5.45173835618e-23	4.21930168501e-23	9.67104004119e-23
4.32	3.09432747003e-23	2.39272297324e-23	5.48705044327e-23
4.34	1.7513960319e-23	1.35309985032e-23	3.10449588222e-23
4.36	9.88529364628e-24	7.63050280624e-24	1.75157964525e-23
4.38	5.56393711924e-24	4.29104080534e-24	9.85497792458e-24
4.4	3.12293232761e-24	2.40634892077e-24	5.52928124838e-24
4.42	1.74795781917e-24	1.34567849027e-24	3.09363630944e-24
4.44	9.75635573217e-25	7.5043150462e-25	1.72606707784e-24
4.46	5.43041343675e-25	4.17318966427e-25	9.60360310102e-25
4.48	3.01416508659e-25	2.31426336823e-25	5.32842845482e-25
4.5	1.66836213669e-25	1.27980942773e-25	2.94817156442e-25
4.52	9.20879998667e-26	7.05774502467e-26	1.62665450113e-25
4.54	5.06880346683e-26	3.88128045852e-26	8.95008392535e-26
4.56	2.78226075861e-26	2.12849557426e-26	4.91075633288e-26
4.58	1.52293174309e-26	1.16401721111e-26	2.6869489542e-26
4.6	8.31291883252e-27	6.3479753751e-27	1.46608942076e-26
4.62	4.52498759105e-27	3.45223618089e-27	7.97722377194e-27
4.64	2.45624821503e-27	1.87221384194e-27	4.32846205697e-27
4.66	1.32959193245e-27	1.01251236822e-27	2.34210430067e-27
4.68	7.17721571919e-28	5.46053757742e-28	1.26377532966e-27
4.7	3.8635397402e-28	2.93670878925e-28	6.80024852945e-28
4.72	2.07399052149e-28	1.57498718609e-28	3.64897770758e-28
4.74	1.11024900068e-28	8.4233347759e-29	1.95258247827e-28
4.76	5.92688489176e-29	4.49243939422e-29	1.0419324286e-28
4.78	3.15518848097e-29	2.38930587829e-29	5.54449435926e-29
4.8	1.67500870473e-29	1.26722246574e-29	2.94223117048e-29
4.82	8.86751647834e-30	6.70232971233e-30	1.55698461907e-29
4.84	4.68144949332e-30	3.53501083505e-30	8.21646032838e-30
4.86	2.46463327149e-30	1.85929356444e-30	4.32392683593e-30
4.88	1.29395186246e-30	9.75208901524e-31	2.26916076399e-30
4.9	6.77451175463e-31	5.1008204525e-31	1.18753322071e-30
4.92	3.53697642875e-31	2.66057385403e-31	6.19755028278e-31
4.94	1.84153861096e-31	1.38389682722e-31	3.22543543818e-31
4.96	9.56145978406e-32	7.1783632145e-32	1.67398229986e-31
4.98	4.95065310442e-32	3.71313441871e-32	8.66378752314e-32
5.0	2.55620639e-32	1.91535660459e-32	4.47156299459e-32
#normalisation = 27.0
