# mass number (A) = 40
# number of protons (Z) = 18
# k (1/fm)	n_1(k) (fm^3)
0.0	4.11845857
0.1	3.97055486
0.2	3.60305033
0.3	3.18836479
0.4	2.87345545
0.5	2.69008582
0.6	2.55884170
0.7	2.36755191
0.8	2.05377915
0.9	1.63529918
1.0	1.18401245
1.1	0.77730948
1.2	0.46281773
1.3	0.25029635
1.4	0.12318393
1.5	0.05527702
1.6	0.02265706
1.7	0.00849624
1.8	0.00291894
1.9	0.00091988
2.0	0.00026620
2.1	0.00007081
2.2	0.00001732
2.3	0.00000390
2.4	0.00000081
2.5	0.00000015
2.6	0.00000003
2.7	0.00000000
2.8	0.00000000
2.9	0.00000000
3.0	0.00000000
#normalisation = 0.999999999993
