# mass number (A) = 40
# number of protons (Z) = 18
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
0.0	82.2840973898	82.4542452527	164.738342642
0.02	82.160568846	82.330271094	164.49083994
0.04	81.7928718291	81.9610129998	163.753884829
0.06	81.1895786701	81.3543777035	162.543956374
0.08	80.3646683236	80.5232583285	160.887926652
0.1	79.3370758832	79.4851185615	158.822194445
0.12	78.1300852163	78.2614326416	156.391517858
0.14	76.7705868766	76.8770021649	153.647589041
0.16	75.2882281842	75.3591751398	150.647403324
0.18	73.7144860081	73.7369960812	147.451482089
0.2	72.0816951956	72.040318089	144.122013285
0.22	70.4220666913	70.2989087341	140.720975425
0.24	68.7667291558	68.5415811666	137.308310322
0.26	67.1448263557	66.7953802033	133.940206559
0.28	65.5826998547	65.0848503531	130.667550208
0.3	64.1031827252	63.4314089394	127.534591665
0.32	62.7250253015	61.8528428712	124.577868173
0.34	61.4624686332	60.3629424223	121.825411056
0.36	60.3249755035	58.9712798283	119.296255332
0.38	59.3171229002	57.6831348636	117.000257764
0.4	58.4386539198	56.4995640454	114.938217965
0.42	57.6846814763	55.4176049579	113.102286434
0.44	57.0460310965	54.4306025994	111.476633696
0.46	56.5097056868	53.5286407844	110.038346471
0.48	56.0594516038	52.6990586231	108.758510227
0.5	55.676402751	51.9270300093	107.60343276
0.52	55.3397778137	51.1961829408	106.535960755
0.54	55.0276051432	50.4892353333	105.516840477
0.56	54.7174501866	49.7886247505	104.506074937
0.58	54.3871216452	49.0771110437	103.464232689
0.6	54.0153346413	48.3383331845	102.353667826
0.62	53.5823119394	47.5573044193	101.139616359
0.64	53.0703075574	46.7208331381	99.7911406955
0.66	52.4640407476	45.817860362	98.2819011096
0.68	51.7510321674	44.8397083531	96.5907405205
0.7	50.921837925	43.7802383891	94.7020763141
0.72	49.9701809289	42.6359190849	92.6061000138
0.74	48.8929824577	41.4058096612	90.2987921189
0.76	47.6902999786	40.0914651707	87.7817651493
0.78	46.3651798954	38.6967728217	85.0619527171
0.8	44.9234360371	37.2277301395	82.1511661765
0.82	43.3733662619	35.6921767777	79.0655430396
0.84	41.7254205479	34.0994923237	75.8249128717
0.86	39.9918343797	32.4602724749	72.4521068546
0.88	38.1862411526	30.785995545	68.9722366976
0.9	36.323276763	29.0886904441	65.4119672071
0.92	34.4181885881	27.3806161454	61.7988047334
0.94	32.4864597749	25.6739612715	58.1604210463
0.96	30.5434582184	23.9805708976	54.5240291161
0.98	28.6041179096	22.3117060379	50.9158239474
1.0	26.6826585482	20.6778396389	47.3604981871
1.02	24.7923475211	19.0884913148	43.8808388359
1.04	22.9453066058	17.5521015647	40.4974081705
1.06	21.1523641382	16.0759448746	37.2283090128
1.08	19.4229519147	14.6660799454	34.0890318601
1.1	17.7650448302	13.3273343264	31.0923791567
1.12	16.1851401981	12.0633199889	28.248460187
1.14	14.688272869	10.8764758381	25.5647487071
1.16	13.2780616703	9.76813283105	23.0461945014
1.18	11.9567823063	8.73859722635	20.6953795327
1.2	10.7254616899	7.78724752011	18.51270921
