# mass number (A) = 9
# number of protons (Z) = 4
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
0.0	19.072378706	19.1118167576	38.1841954635
0.02	19.0723682897	19.1051436873	38.177511977
0.04	19.0722123938	19.0850827998	38.1572951937
0.06	19.0715396781	19.0515103731	38.1230500512
0.08	19.0697398558	19.0042245313	38.0739643871
0.1	19.0659764158	18.9429516255	38.0089280413
0.12	19.0592040433	18.8673549484	37.9265589917
0.14	19.04819036	18.7770455713	37.8252359313
0.16	19.031541512	18.6715950415	37.7031365535
0.18	19.0077310556	18.5505496333	37.5582806889
0.2	18.9751315222	18.4134458104	37.3885773326
0.22	18.9320479929	18.2598265304	37.1918745233
0.24	18.8767529771	18.0892580036	36.9660109807
0.26	18.8075218718	17.9013465104	36.7088683822
0.28	18.7226682747	17.6957548832	36.4184231579
0.3	18.6205784411	17.4722182705	36.0927967116
0.32	18.499744203	17.2305588212	35.7303030242
0.34	18.3587937172	16.970698955	35.3294926722
0.36	18.196519467	16.6926729238	34.8891923908
0.38	18.0119030132	16.3966364092	34.4085394223
0.4	17.8041360706	16.0828739513	33.8870100218
0.42	17.5726375753	15.7518040562	33.3244416315
0.44	17.3170664992	15.4039818826	32.7210483818
0.46	17.0373302651	15.0400994643	32.0774297293
0.48	16.7335887111	14.6609834817	31.3945721928
0.5	16.4062536469	14.2675906464	30.6738442933
0.52	16.0559841325	13.8610008146	29.9169849471
0.54	15.6836776958	13.4424079905	29.1260856864
0.56	15.2904577771	13.0131094225	28.3035671996
0.58	14.8776577558	12.5744930274	27.4521507832
0.6	14.4468019705	12.1280234098	26.5748253804
0.62	13.9995841842	11.6752267594	25.6748109436
0.64	13.5378439798	11.2176749286	24.7555189083
0.66	13.0635415906	10.7569689942	23.8205105848
0.68	12.5787316764	10.2947226101	22.8734542865
0.7	12.0855365532	9.83254544663	21.9180819999
0.72	11.5861193684	9.37202700334	20.9581463718
0.74	11.0826576904	8.91472105751	19.9973787479
0.76	10.5773179463	8.46213099116	19.0394489374
0.78	10.0722311033	8.01569620818	18.0879273115
0.8	9.5694699401	7.57677982382	17.1462497639
0.82	9.07102820574	7.14665777451	16.2176859803
0.84	8.57880190882	6.72650946198	15.3053113708
0.86	8.09457292381	6.3174100102	14.411982934
0.88	7.61999504636	5.92032417968	13.540319226
0.9	7.15658257433	5.53610194989	12.6926845242
0.92	6.7057014393	5.16547574947	11.8711771888
0.94	6.26856286409	4.8090592851	11.0776221492
0.96	5.84621947731	4.46734789373	10.313567371
0.98	5.43956377554	4.14072032071	9.58028409625
1.0	5.04932878965	3.82944180708	8.87877059673
1.02	4.67609078253	3.53366835447	8.209759137
1.04	4.32027378263	3.2534520244	7.57372580703
1.06	3.98215574062	2.98874712149	6.97090286211
1.08	3.66187608496	2.73941710584	6.40129319081
1.1	3.35944444669	2.50524207943	5.86468652613
1.12	3.07475032241	2.28592669384	5.36067701625
1.14	2.80757344902	2.08110833199	4.88868178101
1.16	2.55759467133	1.89036542435	4.44796009568
1.18	2.32440709563	1.71322576964	4.03763286527
1.2	2.10752733656	1.54917474181	3.65670207838
1.22	1.906406682	1.39766327735	3.30406995935
1.24	1.72044201884	1.25811555065	2.97855756949
1.26	1.54898638274	1.12993625903	2.67892264177
1.28	1.39135901516	1.01251745295	2.40387646811
1.3	1.24685483143	0.905244860936	2.15209969236
1.32	1.114753224	0.807503672006	1.922256896
1.34	0.994326144127	0.718683751008	1.71300989514
1.36	0.884845423809	0.638184274212	1.52302969802
1.38	0.785589316555	0.565417783052	1.35100709961
1.4	0.695848251219	0.4998136636	1.19566191482
1.42	0.614929806654	0.44082106766	1.05575087431
1.44	0.542162927035	0.387911298509	0.930074225544
1.46	0.476901407784	0.340579690149	0.817481097933
1.48	0.418526690355	0.298347013587	0.716873703943
1.5	0.366450010774	0.260760447118	0.627210457892
