# mass number (A) = 21
# number of protons (Z) = 6
# number of neutrons (N) = 15
# k (1/fm)	n_1(k) (fm^3)
0.0	3.35749928605
0.02	3.35685180756
0.04	3.35491346593
0.06	3.35169616156
0.08	3.3472184769
0.1	3.34150386352
0.12	3.33457822981
0.14	3.3264670486
0.16	3.3171921283
0.18	3.30676820972
0.2	3.29519956183
0.22	3.28247675301
0.24	3.26857377007
0.26	3.25344564534
0.28	3.23702673323
0.3	3.21922975241
0.32	3.1999456797
0.34	3.17904454777
0.36	3.15637716275
0.38	3.1317777207
0.4	3.10506726628
0.42	3.07605790277
0.44	3.04455763292
0.46	3.01037568472
0.48	2.97332815675
0.5	2.93324380475
0.52	2.88996978497
0.54	2.84337717055
0.56	2.79336606475
0.58	2.73987014846
0.6	2.68286051904
0.62	2.62234870135
0.64	2.55838873964
0.66	2.49107830907
0.68	2.42055881717
0.7	2.34701449687
0.72	2.2706705236
0.74	2.19179021685
0.76	2.11067141236
0.78	2.02764211243
0.8	1.94305553914
0.82	1.85728472777
0.84	1.77071680547
0.86	1.68374710256
0.88	1.59677324241
0.9	1.51018934908
0.92	1.42438050215
0.94	1.33971755426
0.96	1.25655241147
0.98	1.1752138581
1.0	1.09600398889
1.02	1.01919529176
1.04	0.945028404858
1.06	0.873710553346
1.08	0.805414653636
1.1	0.740279057662
1.12	0.678407895984
1.14	0.61987196748
1.16	0.564710114548
1.18	0.512931016472
1.2	0.464515329701
1.22	0.419418102183
1.24	0.377571389421
1.26	0.338887002274
1.28	0.303259320491
1.3	0.270568111274
1.32	0.240681298398
1.34	0.213457634461
1.36	0.188749236211
1.38	0.16640395049
1.4	0.146267525835
1.42	0.128185571981
1.44	0.112005296311
1.46	0.0975770124466
1.48	0.0847554217295
1.5	0.0734006730841
1.52	0.0633792107627
1.54	0.054564422698
1.56	0.0468371046503
1.58	0.0400857570944
1.6	0.0342067328812
1.62	0.0291042542139
1.64	0.0246903174649
1.66	0.0208845039091
1.68	0.0176137136418
1.7	0.0148118388598
1.72	0.0124193913911
1.74	0.0103830979234
1.76	0.00865547486826
1.78	0.00719439325807
1.8	0.00596264255313
1.82	0.00492750076647
1.84	0.00406031693204
1.86	0.0033361106605
1.88	0.00273319236513
1.9	0.00223280670479
1.92	0.00181880088548
1.94	0.00147731868526
1.96	0.00119652041536
1.98	0.000966328495496
2.0	0.000778197895226
2.02	0.000624910364881
2.04	0.000500391138943
2.06	0.000399546629494
2.08	0.000318121527432
2.1	0.000252573683263
2.12	0.000199965137884
2.14	0.000157867707573
2.16	0.000124281588412
2.18	9.75655262215e-05
2.2	7.63771928455e-05
2.22	5.96225128171e-05
2.24	4.64127919199e-05
2.26	3.60286073569e-05
2.28	2.78895254329e-05
2.3	2.15288147768e-05
2.32	1.65724196709e-05
2.34	1.27215480081e-05
2.36	9.73831115253e-06
2.38	7.43392826293e-06
2.4	5.65907542575e-06
2.42	4.29602042624e-06
2.44	3.25223748224e-06
2.46	2.45524321223e-06
2.48	1.84843599975e-06
2.5	1.38775628361e-06
2.52	1.03901568894e-06
2.54	7.75768854749e-07
2.56	5.77623824936e-07
2.58	4.28905438191e-07
2.6	3.17601728144e-07
2.62	2.34536340091e-07
2.64	1.72720755117e-07
2.66	1.26849016832e-07
2.68	9.29049713299e-08
2.7	6.78580119597e-08
2.72	4.94281871213e-08
2.74	3.59054710366e-08
2.76	2.60111754436e-08
2.78	1.87920310857e-08
2.8	1.35395064632e-08
2.82	9.72855349661e-09
2.84	6.97125512222e-09
2.86	4.98186409592e-09
2.88	3.55051932185e-09
2.9	2.52354983855e-09
2.92	1.78876288301e-09
2.94	1.26449003942e-09
2.96	8.9145752042e-10
2.98	6.26771636076e-10
3.0	4.39483204687e-10
3.02	3.07326711585e-10
3.04	2.14330616064e-10
3.06	1.49071553855e-10
3.08	1.03402914646e-10
3.1	7.15317713181e-11
3.12	4.93507916773e-11
3.14	3.39561896613e-11
3.16	2.33009798686e-11
3.18	1.59463223698e-11
3.2	1.08837540117e-11
3.22	7.40848507043e-12
3.24	5.02936664738e-12
3.26	3.4051092427e-12
3.28	2.29923480864e-12
3.3	1.5483558355e-12
3.32	1.03990588792e-12
3.34	6.96552316459e-13
3.36	4.65318699803e-13
3.38	3.10016595391e-13
3.4	2.05995461253e-13
3.42	1.36511495609e-13
3.44	9.022361935e-14
3.46	5.94718277892e-14
3.48	3.90969531424e-14
3.5	2.56339589645e-14
3.52	1.67621664028e-14
3.54	1.09316783117e-14
3.56	7.11027345412e-15
3.58	4.61242219894e-15
3.6	2.98411537547e-15
3.62	1.92551312374e-15
3.64	1.23914512771e-15
3.66	7.95322331154e-16
3.68	5.09108068753e-16
3.7	3.25029712807e-16
3.72	2.06958325723e-16
3.74	1.31428624157e-16
3.76	8.3242420889e-17
3.78	5.25832684599e-17
3.8	3.31282911888e-17
3.82	2.0816107178e-17
3.84	1.30451613048e-17
3.86	8.15359767702e-18
3.88	5.08275775989e-18
3.9	3.16009596864e-18
3.92	1.95953158766e-18
3.94	1.21186936769e-18
3.96	7.47500159385e-19
3.98	4.59853088751e-19
4.0	2.82149738404e-19
4.02	1.72660623737e-19
4.04	1.05380546634e-19
4.06	6.41477532693e-20
4.08	3.89454461318e-20
4.1	2.3582318998e-20
4.12	1.42420100732e-20
4.14	8.57850035607e-21
4.16	5.15355735935e-21
4.18	3.08786890955e-21
4.2	1.84529980471e-21
4.22	1.09984552683e-21
4.24	6.53812858111e-22
4.26	3.87643544774e-22
4.28	2.29228869513e-22
4.3	1.35196063033e-22
4.32	7.95274519524e-23
4.34	4.66582764724e-23
4.36	2.73022993655e-23
4.38	1.59341524185e-23
4.4	9.27509185872e-24
4.42	5.38477147097e-24
4.44	3.11800229142e-24
4.46	1.80071908508e-24
4.48	1.03723263642e-24
4.5	5.95891688987e-25
4.52	3.41444176164e-25
4.54	1.9513428935e-25
4.56	1.11226748944e-25
4.58	6.32334581719e-26
4.6	3.58547687378e-26
4.62	2.02772698307e-26
4.64	1.1437598714e-26
4.66	6.43462593436e-27
4.68	3.6105642769e-27
4.7	2.02064691162e-27
4.72	1.12789741686e-27
4.74	6.27932317584e-28
4.76	3.48674647897e-28
4.78	1.93104522904e-28
4.8	1.06666806833e-28
4.82	5.87666788131e-29
4.84	3.22922446279e-29
4.86	1.76982685067e-29
4.88	9.67451067834e-30
4.9	5.27464384618e-30
4.92	2.86829221888e-30
4.94	1.55567899058e-30
4.96	8.41556210737e-31
4.98	4.54059779801e-31
5.0	2.44348630525e-31
#normalisation = 1.0
