# mass number (A) = 12
# number of protons (Z) = 6
# k (1/fm)	n_1(k) (fm^3)
0.0	3.49798915
0.1	3.52824798
0.2	3.59405113
0.3	3.63231455
0.4	3.57117311
0.5	3.36195495
0.6	2.99884464
0.7	2.51901951
0.8	1.98630913
0.9	1.46826145
1.0	1.01706221
1.1	0.66033189
1.2	0.40202041
1.3	0.22964435
1.4	0.12315434
1.5	0.06204246
1.6	0.02937769
1.7	0.01308160
1.8	0.00548054
1.9	0.00216118
2.0	0.00080247
2.1	0.00028067
2.2	0.00009249
2.3	0.00002873
2.4	0.00000841
2.5	0.00000232
2.6	0.00000060
2.7	0.00000015
2.8	0.00000003
2.9	0.00000001
3.0	0.00000000
#normalisation = 0.99999999894
