# mass number (A) = 12
# number of protons (Z) = 6
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
0.0	20.9662577765	21.0096120098	41.9758697864
0.02	20.974018823	21.0173997921	41.991418615
0.04	20.9970428242	21.0405027498	42.0375455741
0.06	21.0345575487	21.0781449312	42.1127024799
0.08	21.0852931022	21.1290503479	42.2143434501
0.1	21.1475072624	21.1914684658	42.3389757282
0.12	21.219020148	21.263209088	42.482229236
0.14	21.297257453	21.341685852	42.6389433049
0.16	21.3793012846	21.4239673755	42.8032686601
0.18	21.4619474878	21.5068349236	42.9687824114
0.2	21.5417682023	21.5868453349	43.1286135372
0.22	21.6151783002	21.660397844	43.2755761442
0.24	21.6785042838	21.7238033706	43.4023076544
0.26	21.7280541907	21.7733548135	43.5014090042
0.28	21.7601870595	21.8053968892	43.5655839487
0.3	21.771380544	21.8163940973	43.5877746412
0.32	21.7582953354	21.8029954632	43.5612907986
0.34	21.7178351557	21.762094811	43.4799299667
0.36	21.6472012074	21.6908854497	43.3380866572
0.38	21.5439401215	21.5869083061	43.1308484275
0.4	21.4059846093	21.4480927084	42.8540773177
0.42	21.2316862097	21.2727892098	42.5044754195
0.44	21.0198397098	21.0597940301	42.0796337399
0.46	20.769699016	20.8083648915	41.5780639075
0.48	20.4809844384	20.5182282165	40.9992126549
0.5	20.1538815408	20.1895778426	40.3434593834
0.52	19.7890318815	19.8230655834	39.612097465
0.54	19.3875161284	19.4197841263	38.8073002548
0.56	18.9508301733	18.9812428976	37.9320730709
0.58	18.4808549904	18.509337648	36.9901926383
0.6	17.9798210811	18.0063146066	35.9861356876
0.62	17.4502684188	17.4747301253	34.9249985441
0.64	16.8950028566	16.9174067842	33.8124096409
0.66	16.3170499831	16.3373869495	32.6544369326
0.68	15.7196074124	15.7378847768	31.4574921892
0.7	15.1059964703	15.1222376283	30.2282340986
0.72	14.4796141969	14.4938578278	28.9734720247
0.74	13.843886523	13.8561856168	27.7000721398
0.76	13.2022234023	13.2126440966	26.4148674989
0.78	12.5579765918	12.56659685	25.1245734418
0.8	11.9144006736	11.9213088398	23.8357095133
0.82	11.2746178066	11.279911071	22.5545288776
0.84	10.6415865895	10.645369398	21.2869559875
0.86	10.0180753034	10.0204577461	20.0385330495
0.88	9.4066397015	9.40773590992	18.8143756114
0.9	8.80960540583	8.80953198849	17.6191373943
0.92	8.22905487821	8.22792942099	16.4569842992
0.94	7.66681884548	7.66475849871	15.3315773442
0.96	7.1244719808	7.1215921527	14.2460641335
0.98	6.6033325771	6.59974574882	13.2030783259
