# mass number (A) = 40
# number of protons (Z) = 20
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
0.0	82.2840973898	82.4542452527	164.738342642
0.02	82.1605688375	82.3302910184	164.490859856
0.04	81.7928712862	81.9613303526	163.754201639
0.06	81.1895725321	81.3559722479	162.54554478
0.08	80.3646341976	80.5282450192	160.892879217
0.1	79.3369474531	79.4971291715	158.834076625
0.12	78.1297080191	78.2859285927	156.415636612
0.14	76.7696541447	76.9215039473	153.691158092
0.16	75.2861962499	75.4333971679	150.719593418
0.18	73.7104706951	73.852879744	147.563350439
0.2	72.0743525521	72.2119599306	144.286312483
0.22	70.4094632213	70.5423849701	140.951848191
0.24	68.7462082485	68.8746739156	137.620882164
0.26	67.1128787922	67.2372147226	134.350093515
0.28	65.5348469979	65.6554560443	131.190303042
0.3	64.0338812112	64.1512198047	128.185101016
0.32	62.627601727	62.7421553389	125.369757066
0.34	61.3290918705	61.4413499422	122.770441813
0.36	60.1466729194	60.2571043308	120.40377725
0.38	59.0838449669	59.1928750622	118.276720029
0.4	58.1393895883	58.2473796756	116.386769264
0.42	57.3076243392	57.41485445	114.722478789
0.44	56.578793932	56.6854494566	113.264243389
0.46	55.9395785777	56.0457412068	111.985319784
0.48	55.3736965914	55.4793397972	110.853036389
0.5	54.8625760387	54.9675651263	109.830141165
0.52	54.3860689734	54.4901655418	108.876234515
0.54	53.9231816894	54.0260521654	107.949233855
0.56	53.4527953101	53.5540230639	107.006818374
0.58	52.9543528807	53.0534533085	106.007806189
0.6	52.4084917635	52.5049296314	104.913421395
0.62	51.7976034204	51.8908117074	103.688415128
0.64	51.1063064106	51.1957058681	102.302012279
0.66	50.3218224552	50.4068411152	100.72866357
0.68	49.4342495447	49.5143414537	98.9485909984
0.7	48.4367301097	48.5113926368	96.9481227465
0.72	47.3255160885	47.3943052529	94.7198213415
0.74	46.0999361722	46.1624795446	92.2624157168
0.76	44.7622734777	44.8182803326	89.5805538103
0.78	43.3175643216	43.366832843	86.6843971646
0.8	41.7733305856	41.8157520517	83.5890826373
0.82	40.1392593654	40.1748193566	80.314078722
0.84	38.4268441892	38.4556209693	76.8824651585
0.86	36.6490021082	36.6711624198	73.320164528
0.88	34.8196804608	34.8354730519	69.6551535127
0.9	32.9534661615	32.9632134122	65.9166795737
0.92	31.0652090465	31.0692971058	62.1345061523
0.94	29.169669216	29.1685370702	58.3382062862
0.96	27.281196527	27.2753244255	54.5565209525
0.98	25.4134485128	25.4033461575	50.8167946702
1.0	23.5791511076	23.5653459818	47.1444970894
1.02	21.7899047139	21.7729308875	43.5628356014
1.04	20.0560364337	20.0364241295	40.0924605633
1.06	18.3864977353	18.3647638882	36.7512616235
1.08	16.7888054872	16.7654454712	33.5542509584
1.1	15.2690231846	15.2445038249	30.5135270094
1.12	13.8317783301	13.8065322625	27.6383105926
1.14	12.4803113115	12.4547327025	24.935044014
1.16	11.2165507386	11.1909923341	22.4075430728
1.18	10.0412100375	10.0159814692	20.0571915067
1.2	8.95390013088	8.92926737947	17.8831675103
1.22	7.95325323329	7.92943912423	15.8826923575
1.24	7.03705312398	7.01423871519	14.0512918392
1.26	6.20236770102	6.18069441321	12.3830621142
1.28	5.44568013484	5.42525247224	10.8709326071
1.3	4.76301549827	4.74390421074	9.50691970901
1.32	4.1500603285	4.13230587325	8.28236620176
1.34	3.60227314911	3.58588932151	7.18816247062
1.36	3.11498452933	3.09996214619	6.21494667552
