# mass number (A) = 48
# number of protons (Z) = 20
# k (1/fm)	n_1(k) (fm^3)
0.0	3.69603733
0.1	3.55721695
0.2	3.21929464
0.3	2.85879576
0.4	2.62215764
0.5	2.53138983
0.6	2.48966956
0.7	2.36723607
0.8	2.09212577
0.9	1.68395439
1.0	1.22461712
1.1	0.80317528
1.2	0.47546818
1.3	0.25451368
1.4	0.12343880
1.5	0.05434753
1.6	0.02175959
1.7	0.00793467
1.8	0.00263872
1.9	0.00080121
2.0	0.00022234
2.1	0.00005644
2.2	0.00001312
2.3	0.00000279
2.4	0.00000054
2.5	0.00000010
2.6	0.00000002
2.7	0.00000000
2.8	0.00000000
2.9	0.00000000
3.0	0.00000000
#normalisation = 0.999999999997
