# mass number (A) = 56
# number of protons (Z) = 26
# k (1/fm)	n_1(k) (fm^3)
0.0	3.37599362
0.1	3.28701945
0.2	3.06334528
0.3	2.80723760
0.4	2.61423064
0.5	2.51146647
0.6	2.44319901
0.7	2.31419752
0.8	2.05763349
0.9	1.67707378
1.0	1.23763058
1.1	0.82263152
1.2	0.49176804
1.3	0.26449855
1.4	0.12815045
1.5	0.05601596
1.6	0.02212514
1.7	0.00790872
1.8	0.00256206
1.9	0.00075319
2.0	0.00020117
2.1	0.00004887
2.2	0.00001081
2.3	0.00000218
2.4	0.00000040
2.5	0.00000007
2.6	0.00000001
2.7	0.00000000
2.8	0.00000000
2.9	0.00000000
3.0	0.00000000
#normalisation = 0.999999999999
