# mass number (A) = 56
# number of protons (Z) = 26
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
0.0	94.4301896315	94.6254533029	189.055642934
0.02	94.3783170165	94.4695562934	188.84787331
0.04	94.223010457	94.0058669474	188.228877404
0.06	93.9652228256	93.2462573573	187.211480183
0.08	93.6066033775	92.2100760575	185.816679435
0.1	93.1495817377	90.9235075385	184.073089276
0.12	92.597470693	89.4187087512	182.016179444
0.14	91.9545744332	87.7327541688	179.687328602
0.16	91.2262870025	85.9064277677	177.13271477
0.18	90.4191650789	83.9829055478	174.402070627
0.2	89.5409598751	82.0063757349	171.54733561
0.22	88.6005949091	80.0206454798	168.621240389
0.24	87.6080795188	78.0677826373	165.675862156
0.26	86.5743520611	76.1868391137	162.761191175
0.28	85.5110514786	74.4126984356	159.923749914
0.3	84.4302209894	72.7750847911	157.20530578
0.32	83.3439527137	71.2977640847	154.641716798
0.34	82.2639867231	69.9979598325	152.261946556
0.36	81.2012819682	68.8859983248	150.087280293
0.38	80.1655795132	67.9651887762	148.130768289
0.4	79.1649802774	67.2319355104	146.396915788
0.42	78.2055599137	66.6760709459	144.88163086
0.44	77.2910425106	66.2813905803	143.572433091
0.46	76.4225525282	66.0263645856	142.448917114
0.48	75.5984609153	65.8849952676	141.483456183
0.5	74.8143369061	65.8277856624	140.642122568
0.52	74.0630118446	65.822782054	139.885793899
0.54	73.3347558335	65.83665223	139.171408063
0.56	72.6175623842	65.8357618149	138.453324199
0.58	71.8975308928	65.7872129434	137.684743836
0.6	71.1593319668	65.6598127053	136.819144672
0.62	70.3867366599	65.4249430205	135.81167968
0.64	69.5631877246	65.0573086567	134.620496381
0.66	68.6723892085	64.5355457317	133.20793494
0.68	67.6988901593	63.8426789915	131.541569151
0.7	66.6286388616	62.9664221613	129.595061023
0.72	65.4494858111	61.8993214897	127.348807301
0.74	64.1516164224	60.6387480266	124.790364449
0.76	62.7278980521	59.1867490031	121.914647055
0.78	61.1741300971	57.5497727725	118.72390287
0.8	59.4891904419	55.7382850161	115.227475458
0.82	57.6750761417	53.7662962548	111.441372397
0.84	55.7368406984	51.6508221202	107.387662819
0.86	53.6824344029	49.4112983449	103.093732748
0.88	51.5224578054	47.0689720963	98.5914299017
0.9	49.269841287	44.6462901802	93.9161314672
0.92	46.9394658618	42.1663029024	89.1057687642
0.94	44.547741681	39.652100121	84.1998418021
0.96	42.112161248	37.1262933868	79.2384546349
0.98	39.6508441202	34.610555202	74.2613993222
1.0	37.1820889528	32.1252234511	69.3073124039
