# mass number (A) = 4
# number of protons (Z) = 2
# k (1/fm)	n_1(k) (fm^3)
0.0	7.61942762
0.1	7.44986260
0.2	6.96347482
0.3	6.22236653
0.4	5.31541290
0.5	4.34080487
0.6	3.38887357
0.7	2.52925329
0.8	1.80460079
0.9	1.23089733
1.0	0.80262818
1.1	0.50033267
1.2	0.29816402
1.3	0.16986485
1.4	0.09251321
1.5	0.04816770
1.6	0.02397508
1.7	0.01140818
1.8	0.00518949
1.9	0.00225676
2.0	0.00093820
2.1	0.00037287
2.2	0.00014167
2.3	0.00005146
2.4	0.00001787
2.5	0.00000593
2.6	0.00000188
2.7	0.00000057
2.8	0.00000017
2.9	0.00000005
3.0	0.00000001
#normalisation = 0.99999999055
