# mass number (A) = 4
# number of protons (Z) = 2
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
0.0	15.2231159777	15.2545944861	30.4777104638
0.02	15.2094273298	15.2408586384	30.4502859682
0.04	15.168435195	15.1997252604	30.3681604555
0.06	15.100360337	15.1314161812	30.2317765182
0.08	15.0055684938	15.0362989006	30.0418673944
0.1	14.884567105	14.9148832962	29.7994504012
0.12	14.7380007872	14.7678170707	29.5058178579
0.14	14.5666456139	14.5958799972	29.162525611
0.16	14.371402272	14.399977033	28.771379305
0.18	14.1532881779	14.1811303883	28.3344185662
0.2	13.9134286507	13.9404706457	27.8538992964
0.22	13.6530472491	13.6792270394	27.3322742885
0.24	13.3734553883	13.3987170105	26.7721723988
0.26	13.07604136	13.1003351621	26.1763765221
0.28	12.7622588836	12.7855417445	25.5478006282
0.3	12.4336153204	12.4558508018	24.8894661222
0.32	12.0916596839	12.1128181149	24.2044777988
0.34	11.7379705789	11.7580290735	23.4959996524
0.36	11.3741441988	11.3930866095	22.7672308083
0.38	11.0017825084	11.019599316	22.0213818244
0.4	10.6224817304	10.6391698756	21.261651606
0.42	10.2378212497	10.2533839093	20.491205159
0.44	9.8493530392	9.86379935147	19.7131523907
0.46	9.45859170067	9.47193644512	18.9305281458
0.48	9.06700520385	9.07926844089	18.1462736447
0.5	8.6760063956	8.68721307184	17.3632194674
0.52	8.28694533787	8.29712486292	16.5840702008
0.54	7.9011025211	7.91028832219	15.8113908433
0.56	7.51968298696	7.52791204731	15.0475950343
0.58	7.14381138151	7.15112376861	14.2949351501
0.6	6.77452794756	6.78096633719	13.5554942848
0.62	6.41278545306	6.41839465472	12.8311801078
0.64	6.05944704106	6.06427353009	12.1237205712
0.66	5.71528497614	5.71937643755	11.4346614137
0.68	5.38098025272	5.38438514115	10.7653653939
0.7	5.05712302182	5.05989014173	10.1170131635
0.72	4.74421378538	4.74639189496	9.49060568034
0.74	4.44266530086	4.44430274269	8.88696804355
0.76	4.15280513343	4.15394949424	8.30675462767
0.78	3.87487878904	3.87557659068	7.75045537972
0.8	3.609053359	3.60934978172	7.21840314072
0.82	3.3554216045	3.35536024363	6.71078184813
0.84	3.11400640935	3.11362906555	6.2276354749
0.86	2.88476552924	2.88411203229	5.76887756153
0.88	2.66759656743	2.66670463294	5.33430120037
0.9	2.46234210888	2.46124722709	4.92358933596
0.92	2.268794948	2.26753030318	4.53632525117
0.94	2.08670334867	2.0852997677	4.17200311637
0.96	1.91577627971	1.91426220789	3.8300384876
0.98	1.75568857345	1.75409007551	3.50977864896
1.0	1.60608596036	1.60442674443	3.21051270479
1.02	1.4665899378	1.46489140006	2.93148133786
1.04	1.33680243654	1.3350837241	2.67188616064
1.06	1.21631025418	1.2145883438	2.43089859797
1.08	1.10468922998	1.10297902024	2.20766825021
1.1	1.00150814108	0.999822555587	2.00133069666
1.12	0.906332305056	0.904682404491	1.81101470955
1.14	0.81872687882	0.817121979554	1.63584885837
1.16	0.73825984825	0.736707645578	1.47496749383
1.18	0.66450470735	0.663011401381	1.32751610873
1.2	0.597042829418	0.595613251906	1.19265608132
1.22	0.535465536208	0.534103276749	1.06956881296
1.24	0.479375874082	0.478083404283	0.957459278364
1.26	0.428390108711	0.427168903112	0.855559011822
1.28	0.382138952076	0.380989604784	0.76312855686
1.3	0.340268537273	0.33919087344	0.679459410713
1.32	0.302441157977	0.301434339421	0.603875497399
1.34	0.268335790436	0.26739841487	0.535734205306
1.36	0.237648416487	0.236778609945	0.474427026432
1.38	0.210092166409	0.209287668633	0.419379835042
1.4	0.185397300466	0.184655543107	0.370052843573
1.42	0.163311047758	0.162629225384	0.325940273142
1.44	0.143597320546	0.142972454522	0.286569775068
1.46	0.126036321566	0.12546531699	0.251501638557
1.48	0.110424061051	0.109903756963	0.220327818014
1.5	0.0965717992185	0.0960990123994	0.192670811618
1.52	0.0843054289888	0.083876991675	0.168182420664
1.54	0.0734648125319	0.0730776044421	0.146542416974
1.56	0.0639030841423	0.0635540592143	0.127457143357
1.58	0.0554859307299	0.0551721389926	0.110658069722
1.6	0.0480908600455	0.0478094650567	0.0959003251022
1.62	0.0416064655986	0.041354757879	0.0829612234775
1.64	0.0359316960866	0.0357071029741	0.0716387990607
1.66	0.0309751360718	0.030775228408	0.0617503644799
1.68	0.0266543036045	0.0264767996494	0.0531311032538
1.7	0.0228949695229	0.022737736473	0.0456327059959
1.72	0.0196305022593	0.0194915557218	0.0391220579811
1.74	0.0168012411502	0.0166787429012	0.0334799840514
1.76	0.0143539005001	0.0142461548279	0.028600055328
1.78	0.0122410059681	0.0121464548766	0.0243874608448
1.8	0.0104203642469	0.0103375817662	0.020757946013
1.82	0.00885456647547	0.00878225230125	0.0176368187767
1.84	0.00751052537145	0.00744749802804	0.0149580233995
1.86	0.00635904567728	0.00630423537455	0.0126632810518
1.88	0.00537442719081	0.00532686852197	0.0107012957128
1.9	0.0045340993818	0.00449292398686	0.00902702336866
1.92	0.00381828638262	0.00378271568203	0.00760100206465
1.94	0.00320970097646	0.00317903906075	0.00638874003721
1.96	0.00269326608506	0.00266689282954	0.0053601589146
1.98	0.00225586217534	0.00223322663373	0.00448908880907
2.0	0.00188609895587	0.00186671307325	0.00375281202912
2.02	0.00157410971439	0.0015575423882	0.00313165210259
2.04	0.00131136665314	0.00129723816087	0.00260860481401
2.06	0.00109051560497	0.00107849240817	0.00216900801313
2.08	0.000905228556031	0.00089501848336	0.00180024703939
2.1	0.000750072457927	0.000741420263542	0.00149149272147
2.12	0.000620392878911	0.000613076167796	0.00123346904671
2.14	0.000512211118902	0.000506036626761	0.00101824774566
2.16	0.000422133493095	0.000416933705442	0.000839067198537
