# mass number (A) = 21
# number of protons (Z) = 8
# number of neutrons (N) = 13
# k (1/fm)	n_1(k) (fm^3)
0.0	2.44181766258
0.02	2.44492259998
0.04	2.4541821248
0.06	2.46943127853
0.08	2.49039812645
0.1	2.51670819574
0.12	2.54789057794
0.14	2.58338558694
0.16	2.62255383646
0.18	2.66468657535
0.2	2.70901709727
0.22	2.75473302209
0.24	2.80098923155
0.26	2.84692123073
0.28	2.89165870018
0.3	2.93433900167
0.32	2.97412040293
0.34	3.01019479387
0.36	3.04179967853
0.38	3.06822924268
0.4	3.08884431703
0.42	3.10308107903
0.44	3.11045836307
0.46	3.1105834772
0.48	3.10315645559
0.5	3.08797270714
0.52	3.06492405317
0.54	3.03399817845
0.56	2.99527655044
0.58	2.94893089048
0.6	2.89521830648
0.62	2.8344752203
0.64	2.76711024225
0.66	2.69359616081
0.68	2.61446122729
0.7	2.53027992189
0.72	2.44166339045
0.74	2.34924973937
0.76	2.25369437032
0.78	2.15566052667
0.8	2.05581021073
0.82	1.95479561448
0.84	1.85325118848
0.86	1.75178645325
0.88	1.65097963608
0.9	1.5513721943
0.92	1.45346426393
0.94	1.35771105137
0.96	1.26452016542
0.98	1.1742498678
1.0	1.08720820375
1.02	1.00365295913
1.04	0.923792378251
1.06	0.847786566394
1.08	0.775749494053
1.1	0.707751514612
1.12	0.643822305023
1.14	0.5839541388
1.16	0.528105402556
1.18	0.476204271045
1.2	0.428152461004
1.22	0.3838289906
1.24	0.343093878843
1.26	0.30579172756
1.28	0.271755137085
1.3	0.240807915636
1.32	0.212768050969
1.34	0.187450421271
1.36	0.164669230148
1.38	0.144240157833
1.4	0.12598222727
1.42	0.109719389531
1.44	0.0952818378922
1.46	0.08250706401
1.48	0.0712406728482
1.5	0.0613369754448
1.52	0.052659380275
1.54	0.045080604953
1.56	0.0384827303772
1.58	0.0327571192496
1.6	0.0278042202756
1.62	0.0235332783489
1.64	0.0198619697376
1.66	0.0167159797828
1.68	0.0140285389725
1.7	0.0117399315218
1.72	0.00979698883342
1.74	0.00815257847461
1.76	0.00676509762969
1.78	0.00559797839625
1.8	0.00461921081802
1.82	0.00380088819881
1.84	0.00311877803265
1.86	0.00255192081851
1.88	0.00208225810448
1.9	0.00169429032136
1.92	0.00137476431324
1.94	0.00111238994327
1.96	0.000897584735799
1.98	0.000722245200607
2.0	0.000579543257925
2.02	0.000463746033679
2.04	0.000370057210106
2.06	0.000294478087351
2.08	0.000233686526229
2.1	0.000184931991815
2.12	0.000145944993654
2.14	0.000114859313782
2.16	9.01455222465e-05
2.18	7.05543961237e-05
2.2	5.5068977762e-05
2.22	4.2864127682e-05
2.24	3.32725444796e-05
2.26	2.5756336133e-05
2.28	1.98833328374e-05
2.3	1.53074298744e-05
2.32	1.1752339502e-05
2.34	8.99821315717e-06
2.36	6.87066942113e-06
2.38	5.23182942075e-06
2.4	3.97301998925e-06
2.42	3.00885645695e-06
2.44	2.27246192151e-06
2.46	1.71161882746e-06
2.48	1.28568224803e-06
2.5	9.63112983661e-07
2.52	7.19513023685e-07
2.54	5.36066583147e-07
2.56	3.98307310092e-07
2.58	2.95146803873e-07
2.6	2.18111692393e-07
2.62	1.60746544019e-07
2.64	1.18148154866e-07
2.66	8.66035315691e-08
2.68	6.33094248287e-08
2.7	4.61557675678e-08
2.72	3.35590113916e-08
2.74	2.43342871123e-08
2.76	1.75976669087e-08
2.78	1.26916840483e-08
2.8	9.12876008323e-09
2.82	6.54837280219e-09
2.84	4.68473177262e-09
2.86	3.34246183037e-09
2.88	2.37836895387e-09
2.9	1.68781050396e-09
2.92	1.19453936376e-09
2.94	8.43160386296e-10
2.96	5.93544778054e-10
2.98	4.16707155474e-10
3.0	2.91771725666e-10
3.02	2.03746810863e-10
3.04	1.41897384473e-10
3.06	9.85585926907e-11
3.08	6.8273426421e-11
3.1	4.71679030871e-11
3.12	3.24997229956e-11
3.14	2.23332288562e-11
3.16	1.53060342442e-11
3.18	1.04619751847e-11
3.2	7.13189691612e-12
3.22	4.84883398694e-12
3.24	3.28784224651e-12
3.26	2.22344572376e-12
3.28	1.49963130201e-12
3.3	1.00875420444e-12
3.32	6.76752083549e-13
3.34	4.52811771045e-13
3.36	3.02169169643e-13
3.38	2.01107097798e-13
3.4	1.33490362493e-13
3.42	8.83727049028e-14
3.44	5.83488842185e-14
3.46	3.8423204247e-14
3.48	2.52349040577e-14
3.5	1.65294051282e-14
3.52	1.07984321965e-14
3.54	7.03578442966e-15
3.56	4.57207238617e-15
3.58	2.96321276845e-15
3.6	1.91541174969e-15
3.62	1.23484211046e-15
3.64	7.93982782915e-16
3.66	5.0916846701e-16
3.68	3.25658982728e-16
3.7	2.07738099021e-16
3.72	1.32166427309e-16
3.74	8.38645509787e-17
3.76	5.30747977375e-17
3.78	3.3500499217e-17
3.8	2.1089562866e-17
3.82	1.32415126462e-17
3.84	8.29204583157e-18
3.86	5.17893197328e-18
3.88	3.22606771645e-18
3.9	2.00429595239e-18
3.92	1.24195440087e-18
3.94	7.67547413522e-19
3.96	4.73108619374e-19
3.98	2.90852576813e-19
4.0	1.78337098556e-19
4.02	1.09060508159e-19
4.04	6.65197620342e-20
4.06	4.04661151738e-20
4.08	2.45521935459e-20
4.1	1.48575548952e-20
4.12	8.96732567791e-21
4.14	5.39805604733e-21
4.16	3.24093986163e-21
4.18	1.94072489737e-21
4.2	1.15908874007e-21
4.22	6.90445462808e-22
4.24	4.10206306327e-22
4.26	2.43072494418e-22
4.28	1.43658095543e-22
4.3	8.46808990557e-23
4.32	4.97854168542e-23
4.34	2.919311432e-23
4.36	1.70734213489e-23
4.38	9.95916191992e-24
4.4	5.79411866027e-24
4.42	3.36213062323e-24
4.44	1.94582881943e-24
4.46	1.12320176079e-24
4.48	6.46657405902e-25
4.5	3.7132510267e-25
4.52	2.12666054185e-25
4.54	1.21480362393e-25
4.56	6.92114992225e-26
4.58	3.93291839204e-26
4.6	2.2290321801e-26
4.62	1.26003523563e-26
4.64	7.1041841414e-27
4.66	3.99494786699e-27
4.68	2.24064794451e-27
4.7	1.25343537725e-27
4.72	6.99352767653e-28
4.74	3.89185707271e-28
4.76	2.16014999549e-28
4.78	1.1958524018e-28
4.8	6.6029513798e-29
4.82	3.63634990573e-29
4.84	1.99737899619e-29
4.86	1.0942655635e-29
4.88	5.979331346e-30
4.9	3.25874468264e-30
4.92	1.77139765978e-30
4.94	9.60395245646e-31
4.96	5.19340660356e-31
4.98	2.80106523568e-31
5.0	1.50682520562e-31
#normalisation = 1.0
