# mass number (A) = 16
# number of protons (Z) = 8
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
0.0	23.1834622399	23.2314012303	46.4148634702
0.02	23.2110196165	23.2590535766	46.470073193
0.04	23.2931019725	23.3414179949	46.6345199675
0.06	23.4279516626	23.4767283719	46.9046800344
0.08	23.6126779237	23.6620800709	47.2747579946
0.1	23.8433139027	23.8934873113	47.736801214
0.12	24.1148946333	24.1659616251	48.2808562584
0.14	24.4215541667	24.4736095791	48.8951637458
0.16	24.7566396275	24.8097475204	49.566387148
0.18	25.1128395998	25.1670307288	50.2798703286
0.2	25.4823239489	25.5375940613	51.0199180102
0.22	25.8568919635	25.9132009509	51.7700929145
0.24	26.2281255599	26.2853974789	52.5135230388
0.26	26.5875442364	26.6456681843	53.2332124208
0.28	26.9267584928	26.9855903054	53.9123487982
0.3	27.2376185374	27.2969832523	54.5346017898
0.32	27.5123552916	27.5720503049	55.0844055965
0.34	27.7437109551	27.8035097805	55.5472207356
0.36	27.9250567119	27.9847132396	55.9097699515
0.38	28.0504955205	28.1097486629	56.1602441834
0.4	28.1149483398	28.1735269431	56.2884752829
0.42	28.1142225687	28.1718504698	56.2860730385
0.44	28.0450619276	28.1014630314	56.146524959
0.46	27.905177452	27.9600807119	55.8652581639
0.48	27.6932597078	27.7464038974	55.4396636052
0.5	27.408972752	27.460110925	54.8690836769
0.52	27.0529307443	27.1018342933	54.1547650375
0.54	26.6266584607	26.6731206969	53.2997791576
0.56	26.1325372521	26.1763764462	52.3089136983
0.58	25.5737382368	25.6148000748	51.1885383116
0.6	24.9541447012	24.9923041262	49.9464488274
0.62	24.2782658095	24.3134282388	48.5916940482
0.64	23.5511437976	23.5832457163	47.1343895139
0.66	22.7782568356	22.8072657871	45.5855226227
0.68	21.9654197077	21.9913337111	43.9567534187
0.7	21.1186843673	21.1415308069	42.2602151743
0.72	20.2442422969	20.2640763356	40.5083186326
0.74	19.3483304297	19.3652330086	38.7135634383
0.76	18.437142196	18.4512176865	36.8883598824
0.78	17.5167450336	17.5281186137	35.0448636473
0.8	16.5930054678	16.6018202928	33.1948257606
0.82	15.6715226194	15.6779368609	31.3494594803
0.84	14.7575707585	14.7617545793	29.5193253378
0.86	13.8560512787	13.8581838097	27.7142350885
0.88	12.9714542393	12.9717206197	25.943174859
0.9	12.1078294098	12.1064179436	24.2142473534
0.92	11.2687665608	11.2658660365	22.5346325973
0.94	10.4573845703	10.4531817848	20.910566355
0.96	9.67632877728	9.67100629295	19.3473350702
0.98	8.92777589099	8.92151005103	17.849285942
1.0	8.21344567572	8.20640489267	16.4198505684
1.02	7.53461856799	7.52696189319	15.0615804612
1.04	6.89215834231	6.88403431764	13.7761926599
1.06	6.28653892885	6.27808471528	12.5646236441
1.08	5.71787449293	5.70921526519	11.4270897581
1.1	5.18595191318	5.17720050506	10.3631524182
1.12	4.69026483846	4.68152161947	9.37178645793
1.14	4.23004856068	4.22140152181	8.45145008249
1.16	3.80431500815	3.79584003263	7.60015504079
1.18	3.41188724018	3.40364853348	6.81553577366
1.2	3.05143290363	3.04348355688	6.09491646051
1.22	2.72149619596	2.71387885687	5.43537505283
1.24	2.42052796216	2.41327558844	4.8338035506
1.26	2.14691363464	2.14005030608	4.28696394072
1.28	1.89899880275	1.89254056998	3.79153937273
1.3	1.67511227153	1.66906802122	3.34418029275
1.32	1.47358653539	1.46795885423	2.94154538962
1.34	1.29277565243	1.28756167411	2.58033732654
1.36	1.13107055655	1.12626277889	2.25733333544
1.38	0.986911889206	0.982498950426	1.96941083963
1.4	0.858800468762	0.854767874632	1.71356834339
1.42	0.745305544464	0.741636340049	1.48694188451
1.44	0.645071003776	0.64174638553	1.28681738931
1.46	0.55681971674	0.553819582566	1.11063929931
1.48	0.479356210007	0.476659646527	0.956015856534
1.5	0.41156786671	0.409153574353	0.820721441062
1.52	0.352424847158	0.350271504892	0.70269635205
1.54	0.300978920254	0.299065492715	0.600044412969
1.56	0.256361387142	0.254667377667	0.511028764809
1.58	0.217780267713	0.216285921353	0.434066189066
1.6	0.184516907835	0.183203368756	0.367720276591
1.62	0.155922151056	0.154771578997	0.310693730053
1.64	0.131412203747	0.130407854224	0.261820057971
1.66	0.110464307494	0.10959058043	0.220054887924
1.68	0.0926123175585	0.0918547788599	0.184467096418
1.7	0.0774422716523	0.076787652024	0.154229923676
1.72	0.064588019395	0.0640241944154	0.12861221381
1.74	0.0537269698516	0.0532429250016	0.106969894853
1.76	0.0445760026305	0.0441617866192	0.0887377892497
1.78	0.0368875772243	0.0365342465926	0.0734218238169
1.8	0.0304460656706	0.0301456232914	0.060591688962
1.82	0.0250643251987	0.0248096549305	0.0498739801292
1.84	0.020580520277	0.0203653196907	0.0409458399677
1.86	0.0168551973562	0.0166739101303	0.0335291074865
1.88	0.0137686105329	0.0136163598162	0.0273849703491
1.9	0.0112182922598	0.0110908160328	0.0223091082925
1.92	0.00911686002	0.00901044924268	0.0181273092627
1.94	0.007390047456	0.0073014875815	0.0146915350375
1.96	0.00597494671279	0.00590146296115	0.0118764096739
1.98	0.00481844762188	0.00475765425373	0.00957610187561
2.0	0.00387585872291	0.00382571242309	0.007701571146
2.02	0.00310969491353	0.00306845228899	0.00617814720252
2.04	0.00248861665222	0.00245479576407	0.0049434124163
2.06	0.00198650604337	0.00195885182818	0.00394535787154
2.08	0.00158166574521	0.00155911913208	0.0031407848773
2.1	0.00125612740333	0.00123779789973	0.00249392530306
2.12	0.000995057177488	0.000980198675145	0.00197525585263
2.14	0.000786246857605	0.000774236398403	0.00156048325601
2.16	0.000619680021457	0.000609999260143	0.0012296792816
2.18	0.000487163645977	0.000479382749854	0.000966546395832
2.2	0.000382016523847	0.000375780258076	0.000757796781923
2.22	0.00029880674155	0.000293822500785	0.000592629242335
2.24	0.000233131332063	0.000229158893903	0.000462290225966
2.26	0.000181432016919	0.000178274808987	0.000359706825905
2.28	0.000140841693328	0.000138339383096	0.000279181076424
2.3	0.000109057000092	0.000107079234042	0.000216136234134
2.32	8.42329106115e-05	8.26740466497e-05	0.000166906957261
