# mass number (A) = 208
# number of protons (Z) = 82
# k (1/fm)	n_1(k) (fm^3)
0.0	2.80820843
0.1	2.80338110
0.2	2.75357922
0.3	2.63771833
0.4	2.50326350
0.5	2.36683276
0.6	2.19575112
0.7	2.00293839
0.8	1.82765462
0.9	1.63684209
1.0	1.35537471
1.1	0.98135123
1.2	0.60283422
1.3	0.31094764
1.4	0.13463030
1.5	0.04910801
1.6	0.01516419
1.7	0.00398342
1.8	0.00089413
1.9	0.00017217
2.0	0.00002854
2.1	0.00000408
2.2	0.00000051
2.3	0.00000005
2.4	0.00000001
2.5	0.00000000
2.6	0.00000000
2.7	0.00000000
2.8	0.00000000
2.9	0.00000000
3.0	0.00000000
#normalisation = 1.0
