# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
0.0	291.752032769	292.355320481	584.10735325
0.02	292.449477986	291.653783724	584.10326171
0.04	294.479854622	289.591446435	584.071301057
0.06	297.663158342	286.291698183	583.954856525
0.08	301.718343175	281.949066432	583.667409607
0.1	306.289682101	276.813586714	583.103268815
0.12	310.97975018	271.170921305	582.150671485
0.14	315.385641357	265.319992053	580.705633411
0.16	319.134751002	259.55008968	578.684840682
0.18	321.916578366	254.119432426	576.036010791
0.2	323.507505062	249.236973643	572.744478705
0.22	323.786322951	245.048921375	568.835244326
0.24	322.739318115	241.630969435	564.370287549
0.26	320.454845588	238.986697007	559.441542595
0.28	317.10842367	237.052026739	554.160450409
0.3	312.940316863	235.705094745	548.645411608
0.32	308.228264722	234.780429872	543.008694595
0.34	303.258384928	234.086004177	537.344389105
0.36	298.297306451	233.421528338	531.718834789
0.38	293.568286916	232.5963356	526.164622516
0.4	289.233487747	231.445320822	520.678808569
0.42	285.383800983	229.841657516	515.225458499
0.44	282.036740125	227.705373996	509.742114122
0.46	279.14202704	225.007290357	504.149317397
0.48	276.593724172	221.768257902	498.361982074
0.5	274.24715506	218.054059828	492.301214888
0.52	271.9384803	213.966689304	485.905169604
0.54	269.504674878	209.632989914	479.137664792
0.56	266.801780351	205.191805594	471.993585944
0.58	263.719648805	200.780835931	464.500484736
0.6	260.19190068	196.52433256	456.71623324
0.62	256.20041804	192.522617591	448.723035631
0.64	251.77431673	188.844177483	440.618494213
0.66	246.983916977	185.52081202	432.504728997
0.68	241.930705405	182.546026589	424.476731993
0.7	236.734611609	179.876573927	416.611185535
0.72	231.520087972	177.436802825	408.956890796
0.74	226.402480669	175.125274067	401.527754736
0.76	221.476028895	172.822970076	394.298998972
0.78	216.804558488	170.4023591	387.206917588
0.8	212.415585004	167.73657559	380.152160593
0.82	208.298153437	164.708038403	373.00619184
0.84	204.404359932	161.215935849	365.620295781
0.86	200.65416197	157.182147153	357.836309123
0.88	196.942816261	152.5553281	349.498144361
0.9	193.150105678	147.313049602	340.46315528
0.92	189.150434916	141.462028276	330.612463193
0.94	184.822885556	135.036617461	319.859503017
0.96	180.060412666	128.095827807	308.156240473
0.98	174.77751866	120.719214846	295.496733507
1.0	168.915933881	113.002005866	281.917939747
1.02	162.448044572	105.049842159	267.497886731
1.04	155.378016381	96.9734894031	252.351505784
1.06	147.740747369	88.8838244429	236.624571812
1.08	139.598935498	80.887347486	220.486282984
1.1	131.038653628	73.0824014302	204.121055058
1.12	122.163887151	65.556210794	187.720097945
1.14	113.090507134	58.3827868615	171.473293996
1.16	103.940130465	51.6216872665	155.561817731
1.18	94.8342658438	45.3175701783	140.151836022
1.2	85.8890697242	39.5004470578	125.389516782
1.22	77.2109490659	34.1865140164	111.397463082
1.24	68.8931570017	29.3794295515	98.2725865531
1.26	61.013440876	25.0719045114	86.0853453874
1.28	53.632725591	21.247476745	74.880202336
1.3	46.7947528008	17.8823559394	64.6771087402
1.32	40.5265503816	14.9472415238	55.4737919055
1.34	34.8395771834	12.4090362253	47.2486134087
1.36	29.7313743533	10.2323981638	39.9637725171
1.38	25.1875544937	8.38109385056	33.5686483443
1.4	21.1839708818	6.81913205343	28.0031029352
1.42	17.6889279673	5.51167351654	23.2006014838
1.44	14.6653184093	4.42572360714	19.0910420164
1.46	12.0725982912	3.530624016	15.6032223072
1.48	9.8685385734	2.7983658008	12.6669043742
1.5	8.01071549489	2.20374962401	10.2144651189
1.52	6.45772426536	1.72442039554	8.1821446609
1.54	5.17011823264	1.34080312763	6.51092136028
1.56	4.11108945932	1.03596509445	5.14705455377
1.58	3.24691635293	0.795426782245	4.04234313517
1.6	2.54720999027	0.606940990839	3.15415098111
1.62	1.98499356569	0.460256111801	2.44524967749
1.64	1.53664957942	0.34687630753	1.88352588695
1.66	1.18176759474	0.259828224115	1.44159581886
1.68	0.902922238469	0.193441107212	1.09636334568
1.7	0.685407136736	0.143144819201	0.828551955937
1.72	0.516946124061	0.105288301591	0.622234425652
1.74	0.387398694995	0.0769794809019	0.464378175896
1.76	0.288472548912	0.0559464490463	0.344418997959
1.78	0.213452383876	0.0404189164161	0.253871300292
1.8	0.156950924886	0.0290283863398	0.185979311226
1.82	0.114685563076	0.0207251804527	0.135410743528
1.84	0.0832819270903	0.0147103051192	0.0979922322095
1.86	0.0601041652692	0.0103801433751	0.0704843086444
1.88	0.0431106262138	0.0072820451276	0.0503926713414
1.9	0.0307329149788	0.00507903752444	0.0358119525032
1.92	0.0217758991406	0.00352206120549	0.0252979603461
1.94	0.0153360735048	0.00242833651987	0.0177644100247
1.96	0.01073570124	0.00166466219901	0.012400363439
1.98	0.00747027877074	0.00113463750182	0.00860491627256
2.0	0.00516707748275	0.000768971320575	0.00593604880332
2.02	0.00355276234448	0.000518194867475	0.00407095721196
2.04	0.00242834978034	0.000347227199934	0.00277557698027
2.06	0.00165002593239	0.000231355328117	0.00188138126051
2.08	0.00111458948973	0.000153284290548	0.00126787378028
2.1	0.000748503178088	0.000100989257873	0.000849492435961
2.12	0.000499731196337	6.61635661058e-05	0.000565894762443
2.14	0.000331705491728	4.31057708721e-05	0.000374811262601
2.16	0.000218902762663	2.79274389996e-05	0.000246830201663
2.18	0.000143628598532	1.79933571149e-05	0.000161621955647
2.2	9.36979645186e-05	1.15288158741e-05	0.000105226780393
2.22	6.0775304407e-05	7.34605999533e-06	6.81213644023e-05
2.24	3.91958273544e-05	4.65508034738e-06	4.38509077017e-05
2.26	2.51348301312e-05	2.93365034491e-06	2.80684804761e-05
2.28	1.60266587225e-05	1.83866807461e-06	1.78653267971e-05
2.3	1.01612751573e-05	1.14608636192e-06	1.13073615192e-05
2.32	6.40617331801e-06	7.10485860532e-07	7.11665917854e-06
2.34	4.01606991547e-06	4.38048846568e-07	4.45411876203e-06
2.36	2.50358658745e-06	2.68610778728e-07	2.77219736618e-06
2.38	1.55199105133e-06	1.63818437613e-07	1.71580948894e-06
2.4	9.56725494775e-07	9.93676690781e-08	1.05609316385e-06
2.42	5.86493410131e-07	5.99480158575e-08	6.46441425988e-07
