# mass number (A) = 9
# number of protons (Z) = 4
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	0.0	15.2324744216
0.0	0.02	15.2298128
0.0	0.04	15.2217923959
0.0	0.06	15.2083071843
0.0	0.08	15.1891824265
0.0	0.1	15.1641775992
0.0	0.12	15.1329904454
0.0	0.14	15.0952620969
0.0	0.16	15.0505832041
0.0	0.18	14.9985009966
0.0	0.2	14.9385271819
0.0	0.22	14.8701465806
0.0	0.24	14.7928263809
0.0	0.26	14.7060258869
0.0	0.28	14.6092066231
0.0	0.3	14.501842653
0.0	0.32	14.3834309576
0.0	0.34	14.2535017215
0.0	0.36	14.1116283663
0.0	0.38	13.9574371761
0.0	0.4	13.7906163587
0.0	0.42	13.6109243953
0.0	0.44	13.4181975367
0.0	0.46	13.2123563192
0.0	0.48	12.993410982
0.0	0.5	12.7614656902
0.0	0.52	12.516721482
0.0	0.54	12.2594778812
0.0	0.56	11.9901331382
0.0	0.58	11.7091830853
0.0	0.6	11.4172186171
0.0	0.62	11.1149218304
0.0	0.64	10.8030608809
0.0	0.66	10.4824836378
0.0	0.68	10.1541102368
0.0	0.7	9.81892465338
0.0	0.72	9.47796543216
0.0	0.74	9.13231572343
0.0	0.76	8.78309278859
0.0	0.78	8.43143714251
0.0	0.8	8.07850150549
0.0	0.82	7.72543973713
0.0	0.84	7.37339592142
0.0	0.86	7.0234937658
0.0	0.88	6.67682646705
0.0	0.9	6.33444718465
0.0	0.92	5.99736024699
0.0	0.94	5.6665131992
0.0	0.96	5.34278978247
0.0	0.98	5.0270039155
0.0	1.0	4.71989472807
0.0	1.02	4.42212267672
0.0	1.04	4.13426675214
0.0	1.06	3.856822769
0.0	1.08	3.59020271046
0.0	1.1	3.33473508323
0.0	1.12	3.09066622421
0.0	1.14	2.8581624868
0.0	1.16	2.63731322455
0.0	1.18	2.42813448118
0.0	1.2	2.23057329035
0.0	1.22	2.0445124843
0.0	1.24	1.86977590943
0.0	1.26	1.70613394692
0.0	1.28	1.5533092394
0.0	1.3	1.41098252842
0.0	1.32	1.27879851336
0.0	1.34	1.15637164913
0.0	1.36	1.04329180806
0.0	1.38	0.939129739738
0.0	1.4	0.843442271928
0.0	1.42	0.755777204661
0.0	1.44	0.67567785936
0.0	1.46	0.602687253733
0.0	1.48	0.536351882147
0.0	1.5	0.476225089487
0.0	1.52	0.421870034215
0.0	1.54	0.372862243308
0.0	1.56	0.328791767979
0.0	1.58	0.289264954393
0.0	1.6	0.253905848136
0.0	1.62	0.222357254825
0.0	1.64	0.194281482078
0.0	1.66	0.169360790105
0.0	1.68	0.147297579482
0.0	1.7	0.127814345299
0.0	1.72	0.110653426903
0.0	1.74	0.0955765819593
0.0	1.76	0.0823644125971
0.0	1.78	0.0708156700985
0.0	1.8	0.0607464629591
0.0	1.82	0.051989391319
0.0	1.84	0.0443926287613
0.0	1.86	0.037818970384
0.0	1.88	0.0321448639236
0.0	1.9	0.0272594385824
0.0	1.92	0.0230635441426
0.0	1.94	0.01946881096
0.0	1.96	0.0163967395487
0.0	1.98	0.0137778267256
0.0	2.0	0.011550733675
0.0	2.02	0.00966149985026
0.0	2.04	0.0080628053371
0.0	2.06	0.00671328317268
0.0	2.08	0.00557688214009
0.0	2.1	0.00462227973043
0.0	2.12	0.00382234427935
0.0	2.14	0.00315364472982
0.0	2.16	0.00259600603701
0.0	2.18	0.00213210790304
0.0	2.2	0.0017471242965
0.0	2.22	0.00142840106187
0.0	2.24	0.00116516884593
0.0	2.26	0.000948288550508
0.0	2.28	0.000770026552809
0.0	2.3	0.000623857006764
0.0	2.32	0.00050428864274
0.0	2.34	0.000406713610116
0.0	2.36	0.000327276051611
0.0	2.38	0.00026275825348
0.0	2.4	0.000210482376878
0.0	2.42	0.000168225938736
0.0	2.44	0.000134149371893
0.0	2.46	0.000106734151407
0.0	2.48	8.47301247051e-05
0.0	2.5	6.71108261391e-05
0.0	2.52	5.30356904514e-05
0.0	2.54	4.18182039828e-05
0.0	2.56	3.28991468571e-05
0.0	2.58	2.58241838032e-05
0.0	2.6	2.02251558801e-05
0.0	2.62	1.5804510487e-05
0.0	2.64	1.23223831354e-05
0.0	2.66	1e-05
0.0	2.68	1e-05
