#m_1	m_2	CGcoefficient
-5	-4	0.0
-5	-3	0.0
-5	-2	0.0
-5	-1	0.0
-5	0	0.0
-5	1	-0.3547874376
-5	2	-0.5321811564
-5	3	-0.5321811564
-5	4	-0.3547874376
-4	-4	0.0
-4	-3	0.0
-4	-2	0.0
-4	-1	0.0
-4	0	0.501745206
-4	1	0.396664414
-4	2	0.0
-4	3	-0.396664414
-4	4	-0.501745206
-3	-4	0.0
-3	-3	0.0
-3	-2	0.0
-3	-1	-0.5288858853
-3	0	-0.083624201
-3	1	0.3498251311
-3	2	0.3498251311
-3	3	-0.083624201
-3	4	-0.5288858853
-2	-4	0.0
-2	-3	0.0
-2	-2	0.4580286124
-2	-1	-0.2290143062
-2	0	-0.383214231
-2	1	0.0
-2	2	0.383214231
-2	3	0.2290143062
-2	4	-0.4580286124
-1	-4	0.0
-1	-3	-0.3238751378
-1	-2	0.4284465352
-1	-1	0.1619375689
-1	0	-0.3072549339
-1	1	-0.3072549339
-1	2	0.1619375689
-1	3	0.4284465352
-1	4	-0.3238751378
0	-4	0.167248402
0	-3	-0.4599331055
0	-2	0.167248402
0	-1	0.3763089045
0	0	0.0
0	1	-0.3763089045
0	2	-0.167248402
0	3	0.4599331055
0	4	-0.167248402
1	-4	0.3238751378
1	-3	-0.4284465352
1	-2	-0.1619375689
1	-1	0.3072549339
1	0	0.3072549339
1	1	-0.1619375689
1	2	-0.4284465352
1	3	0.3238751378
1	4	0.0
2	-4	0.4580286124
2	-3	-0.2290143062
2	-2	-0.383214231
2	-1	0.0
2	0	0.383214231
2	1	0.2290143062
2	2	-0.4580286124
2	3	0.0
2	4	0.0
3	-4	0.5288858853
3	-3	0.083624201
3	-2	-0.3498251311
3	-1	-0.3498251311
3	0	0.083624201
3	1	0.5288858853
3	2	0.0
3	3	0.0
3	4	0.0
4	-4	0.501745206
4	-3	0.396664414
4	-2	0.0
4	-1	-0.396664414
4	0	-0.501745206
4	1	0.0
4	2	0.0
4	3	0.0
4	4	0.0
5	-4	0.3547874376
5	-3	0.5321811564
5	-2	0.5321811564
5	-1	0.3547874376
5	0	0.0
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
