# mass number (A) = 27
# number of protons (Z) = 13
#relative orbital quantum number l = 0
# k (1/fm)	total two_body (fm^3)
0.0	0.627089749523
0.02	0.626890314945
0.04	0.626294262327
0.06	0.62530827688
0.08	0.623943275646
0.1	0.622214077365
0.12	0.620138954672
0.14	0.617739082418
0.16	0.615037898933
0.18	0.612060399601
0.2	0.608832383913
0.22	0.605379678295
0.24	0.601727357447
0.26	0.597898986579
0.28	0.593915906021
0.3	0.589796578072
0.32	0.58555601387
0.34	0.581205295557
0.36	0.576751206111
0.38	0.572195976193
0.4	0.567537154086
0.42	0.562767601623
0.44	0.557875615764
0.46	0.552845172476
0.48	0.547656286683
0.5	0.542285479439
0.52	0.536706341165
0.54	0.53089017774
0.56	0.524806724559
0.58	0.518424912314
0.6	0.511713667264
0.62	0.504642728109
0.64	0.497183461311
0.66	0.489309656786
0.68	0.480998286333
0.7	0.472230207961
0.72	0.462990800429
0.74	0.4532705138
0.76	0.443065323598
0.78	0.432377078274
0.8	0.421213732004
0.82	0.409589457425
0.84	0.397524635606
0.86	0.38504572337
0.88	0.37218500089
0.9	0.35898020528
0.92	0.345474058532
0.94	0.331713700577
0.96	0.317750040447
0.98	0.303637040274
1.0	0.289430948334
1.02	0.275189498267
1.04	0.260971092137
1.06	0.246833984986
1.08	0.232835488088
1.1	0.219031207173
1.12	0.205474330571
1.14	0.192214980484
1.16	0.179299638611
1.18	0.166770655085
1.2	0.15466584729
1.22	0.143018192656
1.24	0.131855617051
1.26	0.121200878043
1.28	0.111071540039
1.3	0.101480036325
1.32	0.0924338112819
1.34	0.0839355345853
1.36	0.0759833780935
1.38	0.0685713453338
1.4	0.0616896430405
1.42	0.0553250840689
1.44	0.0494615111757
1.46	0.0440802315864
1.48	0.0391604529402
1.5	0.0346797120472
1.52	0.0306142888964
1.54	0.0269395994445
1.56	0.0236305618707
1.58	0.0206619321509
1.6	0.0180086059527
1.62	0.0156458849499
1.64	0.0135497066718
1.66	0.0116968379215
1.68	0.0100650326008
1.7	0.00863315546407
1.72	0.00738127387419
1.74	0.00629072006466
1.76	0.00534412671897
1.78	0.00452543887072
1.8	0.00381990521948
1.82	0.00321405195676
1.84	0.00269564211932
1.86	0.00225362334573
1.88	0.00187806672171
1.9	0.00156009917201
1.92	0.00129183160496
1.94	0.00106628475041
1.96	0.000877314362629
1.98	0.000719537194823
2.0	0.00058825889786
2.02	0.000479404757738
2.04	0.000389453967938
2.06	0.000315377936599
2.08	0.000254582955731
2.1	0.000204857410843
2.12	0.000164323583961
2.14	0.000131394000003
2.16	0.000104732184371
2.18	8.32176364845e-05
2.2	6.59147778601e-05
2.22	5.20456019729e-05
2.24	4.09657344511e-05
2.26	3.21436040065e-05
2.28	2.51424249432e-05
2.3	1.96046993012e-05
2.32	1.52389590563e-05
2.34	1.18084848807e-05
2.36	9.12175655887e-06
2.38	7.02441020424e-06
2.4	5.39249810443e-06
2.42	4.12686766022e-06
2.44	3.14849595525e-06
2.46	2.39463562149e-06
2.48	1.81564557861e-06
2.5	1.37239675534e-06
2.52	1.03415795634e-06
2.54	7.76880591684e-07
2.56	5.81813060102e-07
2.58	4.34386228566e-07
2.6	3.23320764508e-07
2.62	2.39915152274e-07
2.64	1.77480172657e-07
2.66	1.30891556505e-07
2.68	9.62375532869e-08
2.7	7.05423914278e-08
2.72	5.15501516603e-08
2.74	3.75565218426e-08
2.76	2.7278337722e-08
2.78	1.97528158338e-08
2.8	1.42600203257e-08
2.82	1.02634345828e-08
2.84	7.36458278671e-09
2.86	5.26851027532e-09
2.88	3.75762251257e-09
2.9	2.67193241381e-09
2.92	1.89420134822e-09
2.94	1.33880246844e-09
2.96	9.4340436045e-10
2.98	6.62783323409e-10
3.0	4.64236064051e-10
3.02	3.24191082858e-10
3.04	2.25714470672e-10
3.06	1.56680567402e-10
3.08	1.08435002945e-10
3.1	7.48210330447e-11
3.12	5.14729373264e-11
3.14	3.5305018226e-11
3.16	2.41433392984e-11
3.18	1.64612497924e-11
3.2	1.11901005237e-11
3.22	7.58423912719e-12
3.24	5.12504888278e-12
3.26	3.45297214733e-12
3.28	2.31952093977e-12
