# mass number (A) = 9
# number of protons (Z) = 4
# P (GeV)	cm two_body (GeV^-3)
0.0	5.84226469327
0.02	5.83809461592
0.04	5.82560160496
0.06	5.80483720331
0.08	5.77588691574
0.1	5.73886961368
0.12	5.69393671141
0.14	5.64127112296
0.16	5.58108601152
0.18	5.51362334492
0.2	5.43915227287
0.22	5.35796734319
0.24	5.2703865752
0.26	5.17674940995
0.28	5.07741455681
0.3	4.97275775696
0.32	4.86316948389
0.34	4.74905260079
0.36	4.63081999433
0.38	4.5088922035
0.4	4.3836950613
0.42	4.25565736591
0.44	4.12520859712
0.46	3.99277669212
0.48	3.85878589399
0.5	3.72365468458
0.52	3.58779381252
0.54	3.45160442561
0.56	3.31547631611
0.58	3.17978628578
0.6	3.04489663718
0.62	2.91115379622
0.64	2.77888707028
0.66	2.64840754552
0.68	2.5200071258
0.7	2.39395771531
0.72	2.27051054586
0.74	2.14989564912
0.76	2.03232147359
0.78	1.91797464484
0.8	1.80701986706
0.82	1.69959996313
0.84	1.5958360493
0.86	1.49582784012
0.88	1.39965407794
0.9	1.30737308079
0.92	1.21902340129
0.94	1.13462458878
0.96	1.05417804568
0.98	0.977667968605
1.0	0.905062364281
1.02	0.836314129362
1.04	0.771362183267
1.06	0.710132642615
1.08	0.652540025766
1.1	0.598488475983
1.12	0.547872991826
1.14	0.500580653706
1.16	0.456491835922
1.18	0.415481394072
1.2	0.3774198184
1.22	0.342174344415
1.24	0.309610013013
1.26	0.279590673265
1.28	0.251979922053
1.3	0.226641975785
1.32	0.203442470462
1.34	0.182249187468
1.36	0.162932703453
1.38	0.145366963711
1.4	0.129429779397
1.42	0.11500324981
1.44	0.101974111772
1.46	0.0902340188581
1.48	0.079679753858
1.5	0.070213378365
1.52	0.0617423238383
1.54	0.0541794287928
1.56	0.0474429270152
1.58	0.0414563918399
1.6	0.0361486415719
1.62	0.0314536111181
1.64	0.0273101947857
1.66	0.0236620650481
1.68	0.020457471859
1.7	0.0176490268349
1.72	0.0151934763306
1.74	0.0130514671064
1.76	0.0111873079461
1.78	0.00956873023146
1.8	0.00816665012739
1.82	0.00695493467664
1.84	0.00591017376594
1.86	0.00501145959485
1.88	0.0042401749702
1.9	0.00357979146006
1.92	0.00301567817543
1.94	0.00253492170702
1.96	0.00212615752899
1.98	0.00177941299144
2.0	0.00148596185902
2.02	0.0012381902127
2.04	0.00102947341501
2.06	0.000854063744134
2.08	0.000706988227462
2.1	0.000583956149164
2.12	0.000481275666398
2.14	0.000395778943927
2.16	0.000324755204527
2.18	0.000265891091236
2.2	0.000217217745225
2.22	0.000177064018435
2.24	0.000144015261346
2.26	0.000116877152229
2.28	9.4644063502e-05
2.3	7.647149246e-05
2.32	6.16521166364e-05
2.34	4.9595067615e-05
2.36	3.98080505844e-05
2.38	3.18819697494e-05
2.4	2.54777514572e-05
2.42	2.03150872338e-05
2.44	1.61628476042e-05
2.46	1.28309444244e-05
2.48	1.01634443907e-05
2.5	8.03275934863e-06
2.52	6.33476002714e-06
2.54	4.9846788851e-06
2.56	3.91368496224e-06
2.58	3.06602905402e-06
2.6	2.39667128675e-06
2.62	1.86931536858e-06
2.64	1.45478455402e-06
2.66	1.12968380538e-06
2.68	8.7530088548e-07
2.7	6.76706288688e-07
2.72	5.2201812557e-07
2.74	4.01803424798e-07
2.76	3.08591905196e-07
2.78	2.36482191229e-07
2.8	1.80823781159e-07
2.82	1.37960904194e-07
2.84	1.0502678951e-07
2.86	7.97788769942e-08
2.88	6.04671809783e-08
2.9	4.57294216939e-08
2.92	3.45077064276e-08
2.94	2.59825096385e-08
2.96	1.95205000897e-08
2.98	1.46334203831e-08
3.0	1.09457633947e-08
3.02	8.16943073287e-09
3.04	6.08391730168e-09
3.06	4.5208574967e-09
3.08	3.35200443141e-09
3.1	2.4799038675e-09
3.12	1.83067752534e-09
3.14	1.34845309579e-09
3.16	9.91076276768e-10
3.18	7.26818226342e-10
3.2	5.31853821972e-10
3.22	3.88335201338e-10
3.24	2.82923805153e-10
3.26	2.05674633754e-10
3.28	1.49190353475e-10
3.3	1.07981605027e-10
3.32	7.79844649611e-11
3.34	5.61973654087e-11
3.36	4.04085822562e-11
3.38	2.89922103779e-11
3.4	2.0755794194e-11
3.42	1.48268179835e-11
3.44	1.05683548225e-11
3.46	7.51653877278e-12
3.48	5.33432855073e-12
3.5	3.77740211539e-12
3.52	2.66906119725e-12
3.54	1.88181078386e-12
3.56	1.32387120864e-12
3.58	9.29326106961e-13
3.6	6.50943667299e-13
3.62	4.54958511677e-13
3.64	3.17287930878e-13
3.66	2.20794845081e-13
3.68	1.53312714791e-13
3.7	1.06223726373e-13
3.72	7.34377312087e-14
3.74	5.0660745303e-14
3.76	3.48721517765e-14
3.78	2.39519572568e-14
3.8	1.64156695371e-14
3.82	1.1226173864e-14
3.84	7.66056383433e-15
3.86	5.21609812733e-15
3.88	3.54394563075e-15
3.9	2.40261875348e-15
3.92	1.62532202827e-15
3.94	1.0971119817e-15
3.96	7.38957909278e-16
3.98	4.96644786475e-16
4.0	3.33065555204e-16
4.02	2.22880179293e-16
4.04	1.48823421678e-16
4.06	9.9158387138e-17
4.08	6.59243983426e-17
4.1	4.37342483168e-17
4.12	2.89505051514e-17
4.14	1.91227271857e-17
4.16	1.2603841413e-17
4.18	8.28925807534e-18
4.2	5.43986639111e-18
4.22	3.56222096705e-18
4.24	2.32762887531e-18
4.26	1.51763411726e-18
4.28	9.87372654466e-19
4.3	6.40996976752e-19
4.32	4.15233076154e-19
4.34	2.68404117403e-19
4.36	1.73120253195e-19
4.38	1.11421307905e-19
4.4	7.15567305704e-20
4.42	4.58558538302e-20
