# mass number (A) = 9
# number of protons (Z) = 4
#relative orbital quantum number l = 2
# k (1/fm)	total two_body (fm^3)
0.0	0.61963423874
0.02	0.61898567617
0.04	0.61704405867
0.06	0.613821554318
0.08	0.609338302058
0.1	0.603622202084
0.12	0.596708626668
0.14	0.58864005562
0.16	0.579465641651
0.18	0.569240711835
0.2	0.558026212261
0.22	0.545888103666
0.24	0.532896716412
0.26	0.519126073631
0.28	0.504653191607
0.3	0.48955736662
0.32	0.473919457415
0.34	0.457821172294
0.36	0.4413443695
0.38	0.424570379089
0.4	0.407579353933
0.42	0.390449656787
0.44	0.373257289592
0.46	0.356075370338
0.48	0.338973661909
0.5	0.322018156398
0.52	0.305270717441
0.54	0.288788782154
0.56	0.272625123337
0.58	0.256827671725
0.6	0.241439397211
0.62	0.226498247187
0.64	0.212037139456
0.66	0.198084006522
0.68	0.184661887564
0.7	0.171789063908
0.72	0.159479233527
0.74	0.14774171979
0.76	0.136581709557
0.78	0.126000515651
0.8	0.115995858732
0.82	0.106562163719
0.84	0.0976908660615
0.86	0.0893707233924
0.88	0.0815881283763
0.9	0.0743274189025
0.92	0.0675711821221
0.94	0.0613005492226
0.96	0.0554954782351
0.98	0.050135022577
1.0	0.0451975834455
1.02	0.040661144576
1.04	0.0365034882696
1.06	0.0327023919576
1.08	0.0292358049173
1.1	0.0260820050653
1.12	0.0232197360391
1.14	0.0206283250283
1.16	0.0182877820343
1.18	0.016178881418
1.2	0.0142832267487
1.22	0.012583300077
1.24	0.011062496849
1.26	0.00970514772723
1.28	0.00849652862009
1.3	0.00742286022537
1.32	0.00647129837774
1.34	0.00562991645838
1.36	0.0048876810748
1.38	0.00423442215787
1.4	0.00366079855108
1.42	0.00315826008824
1.44	0.0027190070714
1.46	0.00233594797372
1.48	0.00200265610386
1.5	0.00171332588074
1.52	0.00146272928229
1.54	0.00124617294947
1.56	0.00105945634906
1.58	0.000898831325724
1.6	0.000760963306465
1.62	0.000642894359268
1.64	0.000542008252139
1.66	0.00045599760966
1.68	0.000382833220905
1.7	0.000320735515242
1.72	0.000268148190822
1.74	0.000223713954057
1.76	0.000186252306833
1.78	0.000154739301045
1.8	0.00012828916696
1.82	0.000106137712444
1.84	8.76273837003e-05
1.86	7.21938746249e-05
1.88	5.93541705853e-05
1.9	4.86959131325e-05
1.92	3.98679744575e-05
1.94	3.25721339799e-05
1.96	2.65557540396e-05
1.98	2.16053569781e-05
2.0	1.75410117358e-05
2.02	1.4211444249e-05
2.04	1.1489792248e-05
2.06	9.26993140173e-06
2.08	7.46330600209e-06
2.1	5.99620345598e-06
2.12	4.80741767846e-06
2.14	3.84625200648e-06
2.16	3.07081744624e-06
2.18	2.44658690344e-06
2.2	1.94517051464e-06
2.22	1.54328129636e-06
2.24	1.22186406303e-06
