# mass number (A) = 12
# number of protons (Z) = 6
#relative orbital quantum number l = 1
# k (1/fm)	total two_body (fm^3)
0.0	3.18466124101
0.02	3.18259329918
0.04	3.17639339455
0.06	3.16607335623
0.08	3.15165311828
0.1	3.13316103852
0.12	3.11063432611
0.14	3.08411955988
0.16	3.05367327528
0.18	3.01936259435
0.2	2.98126587062
0.22	2.93947331906
0.24	2.89408760051
0.26	2.84522433035
0.28	2.7930124822
0.3	2.73759465978
0.32	2.67912721289
0.34	2.61778017736
0.36	2.55373702296
0.38	2.48719419846
0.4	2.41836046783
0.42	2.34745603743
0.44	2.27471147899
0.46	2.20036645887
0.48	2.12466828878
0.5	2.0478703178
0.52	1.97023018971
0.54	1.89200799273
0.56	1.81346433166
0.58	1.73485835394
0.6	1.6564457627
0.62	1.57847684936
0.64	1.50119457843
0.66	1.42483275533
0.68	1.34961430621
0.7	1.27574969589
0.72	1.20343550703
0.74	1.13285319986
0.76	1.06416806773
0.78	0.997528399879
0.8	0.933064858265
0.82	0.870890071241
0.84	0.811098442728
0.86	0.753766171626
0.88	0.698951472662
0.9	0.646694986645
0.92	0.597020365328
0.94	0.549935013792
0.96	0.505430971401
0.98	0.463485911111
1.0	0.424064236067
1.02	0.387118252113
1.04	0.352589394937
1.06	0.320409491142
1.08	0.290502033416
1.1	0.262783451244
1.12	0.237164360074
1.14	0.213550773603
1.16	0.191845265688
1.18	0.171948070369
1.2	0.153758110532
1.22	0.13717394772
1.24	0.122094647596
1.26	0.108420557436
1.28	0.096053993826
1.3	0.0848998403118
1.32	0.0748660562749
1.34	0.065864099549
1.36	0.057809266414
1.38	0.050620953511
1.4	0.0442228469482
1.42	0.038543044415
1.44	0.0335141164961
1.46	0.0290731135973
1.48	0.0251615249662
1.5	0.0217251962416
1.52	0.0187142118027
1.54	0.0160827479317
1.56	0.0137889024775
1.58	0.0117945063174
1.6	0.0100649214823
1.62	0.00856883035395
1.64	0.00727801986719
1.66	0.00616716417331
1.68	0.00521360875178
1.7	0.00439715850149
1.72	0.00369987191128
1.74	0.00310586300431
1.76	0.00260111237776
1.78	0.00217328831998
1.8	0.00181157868407
1.82	0.00150653392861
1.84	0.00124992150481
1.86	0.00103459157111
1.88	0.000854353851568
1.9	0.000703865319425
1.92	0.000578528280941
1.94	0.000474398353092
1.96	0.000388101770216
1.98	0.000316761415752
2.0	0.000257930953469
2.02	0.000209536425303
2.04	0.000169824687645
2.06	0.000137318072431
2.08	0.000110774681559
2.1	8.91537512232e-05
2.12	7.15855549613e-05
2.14	5.73453493065e-05
2.16	4.58309025597e-05
2.18	3.65431844665e-05
2.2	2.90698316026e-05
2.22	2.30710394175e-05
2.24	1.82675666406e-05
2.26	1.44305707415e-05
2.28	1.13730240974e-05
2.3	8.94248928109e-06
2.32	7.01505836434e-06
2.34	5.49028530612e-06
2.36	4.28696239945e-06
2.38	3.33961145475e-06
2.4	2.59557800517e-06
2.42	2.01263245469e-06
2.44	1.55699589092e-06
2.46	1.20172039865e-06
2.48	9.25364284216e-07
2.5	7.10911804659e-07
2.52	5.4489493036e-07
2.54	4.16681493559e-07
2.56	3.17899915172e-07
2.58	2.41975678227e-07
2.6	1.83758936931e-07
2.62	1.39226215219e-07
2.64	1.05242146891e-07
2.66	7.93697207455e-08
2.68	5.97195892549e-08
2.7	4.48307402205e-08
2.72	3.35762719686e-08
2.74	2.50892009675e-08
2.76	1.87042070292e-08
2.78	1.39120203746e-08
2.8	1.03238065684e-08
2.82	7.64343497195e-09
2.84	5.64594526543e-09
2.86	4.16087271754e-09
2.88	3.05937124241e-09
2.9	2.24429639354e-09
2.92	1.64258866761e-09
2.94	1.19943938663e-09
2.96	8.73834029046e-10
2.98	6.35156945218e-10
3.0	4.60611614655e-10
3.02	3.33265789616e-10
3.04	2.40574105237e-10
3.06	1.73264501355e-10
3.08	1.24501088403e-10
3.1	8.92564918277e-11
3.12	6.38424954088e-11
3.14	4.55599808731e-11
3.16	3.24385258944e-11
3.18	2.30432028173e-11
3.2	1.63316093416e-11
3.22	1.15483458795e-11
3.24	8.14733342463e-12
3.26	5.7347745512e-12
3.28	4.02737994621e-12
3.3	2.82185368106e-12
3.32	1.9726600483e-12
3.34	1.3758659134e-12
3.36	9.57428406743e-13
3.38	6.64726618048e-13
3.4	4.60454392334e-13
3.42	3.18227115771e-13
3.44	2.1942948193e-13
3.46	1.50959421636e-13
3.48	1.03617505879e-13
3.5	7.09600518005e-14
3.52	4.8484486661e-14
3.54	3.30521698542e-14
3.56	2.2480483701e-14
3.58	1.52552746648e-14
3.6	1.03286441706e-14
3.62	6.97711214083e-15
3.64	4.70237640155e-15
3.66	3.16204879356e-15
3.68	2.1214335284e-15
3.7	1.42003863933e-15
3.72	9.48376870983e-16
3.74	6.3193438849e-16
3.76	4.20120090719e-16
3.78	2.78666984319e-16
3.8	1.84420149191e-16
3.82	1.21770525539e-16
3.84	8.02208253369e-17
3.86	5.27282523766e-17
3.88	3.45788945188e-17
3.9	2.26250983819e-17
3.92	1.47700395381e-17
3.94	9.62021578558e-18
3.96	6.25172844773e-18
3.98	4.05347682455e-18
4.0	2.62221162391e-18
4.02	1.69246771901e-18
4.04	1.08989790175e-18
4.06	7.00267803058e-19
4.08	4.48906167573e-19
4.1	2.87117858762e-19
4.12	1.83222248887e-19
4.14	1.16656710832e-19
4.16	7.41062614775e-20
4.18	4.69692779721e-20
4.2	2.9702076166e-20
4.22	1.87401824231e-20
4.24	1.17970940666e-20
4.26	7.40952945314e-21
4.28	4.64323546815e-21
4.3	2.90312285231e-21
4.32	1.81102680899e-21
4.34	1.12719546686e-21
4.36	6.99984794653e-22
4.38	4.33703697775e-22
4.4	2.6810994042e-22
4.42	1.65366717029e-22
4.44	1.01765088305e-22
4.46	6.24834737348e-23
4.48	3.82778275705e-23
4.5	2.33961976056e-23
4.52	1.42678745184e-23
4.54	8.68139266078e-24
4.56	5.27030503957e-24
4.58	3.1922614491e-24
4.6	1.92920160887e-24
4.62	1.16325077596e-24
4.64	6.99819066091e-25
4.66	4.20063535498e-25
4.68	2.51571302393e-25
4.7	1.50322580335e-25
4.72	8.96199012131e-26
