# mass number (A) = 40
# number of protons (Z) = 20
#relative orbital quantum number l = 2
# k (1/fm)	total two_body (fm^3)
0.0	1.05715447601
0.02	1.05628616321
0.04	1.05369130311
0.06	1.04939981416
0.08	1.04346051828
0.1	1.03593962226
0.12	1.0269186783
0.14	1.01649210619
0.16	1.00476437565
0.18	0.991846960612
0.2	0.977855184015
0.22	0.962905074464
0.24	0.947110352704
0.26	0.930579658097
0.28	0.9134141126
0.3	0.895705303361
0.32	0.877533745583
0.34	0.858967865805
0.36	0.840063523152
0.38	0.82086406362
0.4	0.801400880866
0.42	0.781694437437
0.44	0.761755683469
0.46	0.741587796431
0.48	0.721188155796
0.5	0.700550460926
0.52	0.679666898973
0.54	0.658530272109
0.56	0.637135999514
0.58	0.61548391895
0.6	0.593579824644
0.62	0.571436692142
0.64	0.549075555843
0.66	0.526526020562
0.68	0.503826403819
0.7	0.481023520114
0.72	0.458172131545
0.74	0.435334100439
0.76	0.412577288681
0.78	0.389974255145
0.8	0.367600806736
0.82	0.345534460289
0.84	0.323852871879
0.86	0.302632287368
0.88	0.281946063381
0.9	0.261863301882
0.92	0.242447634325
0.94	0.223756183496
0.96	0.205838722958
0.98	0.188737045815
1.0	0.172484546677
1.02	0.15710601348
1.04	0.1426176194
1.06	0.129027099692
1.08	0.116334093923
1.1	0.104530630896
1.12	0.0936017314164
1.14	0.0835261030914
1.16	0.0742769012526
1.18	0.0658225309562
1.2	0.058127466541
1.22	0.0511530673671
1.24	0.0448583709133
1.26	0.03920084726
1.28	0.0341371019735
1.3	0.029623517417
1.32	0.0256168254371
1.34	0.0220746071225
1.36	0.0189557178303
1.38	0.0162206378809
1.4	0.013831751201
1.42	0.0117535557294
1.44	0.00995281059646
1.46	0.00839862595648
1.48	0.00706250191309
1.5	0.0059183232685
1.52	0.00494231687405
1.54	0.0041129782077
1.56	0.00341097348815
1.58	0.00281902319457
1.6	0.00232177233059
1.62	0.00190565218395
1.64	0.00155873771733
1.66	0.00127060410614
1.68	0.0010321853347
1.7	0.000835637190049
1.72	0.000674206463122
1.74	0.000542107688908
1.76	0.000434408334895
1.78	0.00034692298219
1.8	0.000276116736166
1.82	0.000219017850722
1.84	0.000173139348749
1.86	0.000136409266594
1.88	0.000107109037001
1.9	8.38194478174e-05
1.92	6.53735671916e-05
1.94	5.08160048279e-05
1.96	3.93678781954e-05
1.98	3.03968678689e-05
2.0	2.33917734672e-05
2.02	1.79410174375e-05
2.04	1.37145852759e-05
2.06	1.04489352368e-05
2.08	7.93445617785e-06
2.1	6.00509739461e-06
2.12	4.52983793845e-06
2.14	3.40570416223e-06
2.16	2.55208253621e-06
2.18	1.90610979756e-06
2.2	1.41895409112e-06
2.22	1.05282892256e-06
2.24	7.78606578775e-07
2.26	5.73919349118e-07
2.28	4.21655633162e-07
2.3	3.0877409999e-07
2.32	2.25372740765e-07
2.34	1.63961200051e-07
2.36	1.18894443485e-07
2.38	8.59338670184e-08
2.4	6.1908603893e-08
2.42	4.4455246849e-08
2.44	3.18186594773e-08
2.46	2.27001651931e-08
2.48	1.61423167687e-08
2.5	1.14417859616e-08
2.52	8.08377562943e-09
2.54	5.69283382768e-09
2.56	3.99611437754e-09
2.58	2.79604243739e-09
2.6	1.95005709675e-09
2.62	1.35565714824e-09
2.64	9.3940444471e-10
2.66	6.48868604596e-10
2.68	4.46748914467e-10
2.7	3.06601311523e-10
2.72	2.09743935067e-10
2.74	1.43024631952e-10
2.76	9.72163681666e-11
2.78	6.58682546531e-11
2.8	4.44858806774e-11
2.82	2.99487394743e-11
2.84	2.00976948674e-11
2.86	1.34439318503e-11
2.88	8.96436849823e-12
2.9	5.95836929903e-12
2.92	3.94775696306e-12
2.94	2.60729164913e-12
2.96	1.71650849529e-12
2.98	1.12647185802e-12
3.0	7.36908682711e-13
3.02	4.80536981007e-13
3.04	3.12363754341e-13
3.06	2.02402548356e-13
3.08	1.30735542964e-13
3.1	8.41772142046e-14
3.12	5.40280636996e-14
3.14	3.4567584195e-14
3.16	2.20467311172e-14
3.18	1.40166973792e-14
3.2	8.88329851957e-15
3.22	5.61216750183e-15
3.24	3.53439861981e-15
3.26	2.21885890036e-15
3.28	1.3885892534e-15
3.3	8.66260604048e-16
3.32	5.38709531881e-16
3.34	3.33958697739e-16
3.36	2.06378057631e-16
3.38	1.27135722372e-16
3.4	7.80738545113e-17
3.42	4.77945335978e-17
3.44	2.91666153893e-17
3.46	1.77431061636e-17
3.48	1.07599357182e-17
3.5	6.50469147655e-18
3.52	3.91995705687e-18
3.54	2.3549086777e-18
3.56	1.41028065313e-18
3.58	8.41930608191e-19
3.6	5.01056692982e-19
3.62	2.9726090383e-19
3.64	1.75804346144e-19
3.66	1.0364845427e-19
3.68	6.09169254177e-20
3.7	3.56907399061e-20
3.72	2.08456794957e-20
3.74	1.21372411669e-20
3.76	7.04478610726e-21
3.78	4.07624260584e-21
3.8	2.35124068925e-21
3.82	1.35200864745e-21
3.84	7.75010564192e-22
3.86	4.42875849167e-22
3.88	2.52291744555e-22
3.9	1.43275253333e-22
3.92	8.1112327697e-23
3.94	4.57773347404e-23
3.96	2.57550573006e-23
3.98	1.44451923261e-23
4.0	8.07668852512e-24
4.02	4.50186990639e-24
4.04	2.50151172168e-24
4.06	1.38567866317e-24
4.08	7.65197051781e-25
4.1	4.21245424862e-25
4.12	2.31179133244e-25
4.14	1.26477700088e-25
4.16	6.89813273715e-26
