# mass number (A) = 48
# number of protons (Z) = 20
# P (GeV)	cm two_body (GeV^-3)
0.0	4.69360492826
0.02	4.69061827209
0.04	4.68167315209
0.06	4.66681385456
0.08	4.64611333673
0.1	4.61967198583
0.12	4.58761595674
0.14	4.55009515795
0.16	4.50728096775
0.18	4.4593637699
0.2	4.40655040048
0.22	4.34906159456
0.24	4.2871295132
0.26	4.22099541968
0.28	4.15090755825
0.3	4.07711927135
0.32	3.99988737337
0.34	3.91947078064
0.36	3.83612938179
0.38	3.75012311862
0.4	3.66171123747
0.42	3.57115166516
0.44	3.47870046112
0.46	3.38461129953
0.48	3.28913494079
0.5	3.19251866044
0.52	3.09500561432
0.54	2.99683413099
0.56	2.89823693468
0.58	2.79944031362
0.6	2.70066325851
0.62	2.60211660346
0.64	2.50400220646
0.66	2.4065122078
0.68	2.30982840334
0.7	2.2141217648
0.72	2.11955213178
0.74	2.02626809137
0.76	1.9344070501
0.78	1.84409549248
0.8	1.75544940933
0.82	1.66857486954
0.84	1.58356870081
0.86	1.50051923941
0.88	1.41950710535
0.9	1.34060595922
0.92	1.26388319886
0.94	1.18940055868
0.96	1.11721458124
0.98	1.04737693898
1.0	0.979934593332
1.02	0.91492978873
1.04	0.852399888242
1.06	0.792377067176
1.08	0.734887888602
1.1	0.679952791185
1.12	0.627585524183
1.14	0.577792566905
1.16	0.530572570357
1.18	0.485915857249
1.2	0.443804013211
1.22	0.404209597276
1.24	0.367095993708
1.26	0.332417420538
1.28	0.300119102997
1.3	0.270137612954
1.32	0.242401368595
1.34	0.216831282471
1.36	0.193341540713
1.38	0.171840492015
1.4	0.1522316219
1.42	0.134414585928
1.44	0.118286274852
1.46	0.10374188512
1.48	0.0906759695555
1.5	0.0789834452763
1.52	0.0685605388095
1.54	0.0593056517044
1.56	0.0511201335804
1.58	0.0439089532827
1.6	0.0375812624863
1.62	0.0320508495742
1.64	0.0272364847811
1.66	0.023062160378
1.68	0.0194572320064
1.7	0.0163564691265
1.72	0.0137000239244
1.74	0.0114333289295
1.76	0.0095069340739
1.78	0.00787629400959
1.8	0.00650151625307
1.82	0.00534708020202
1.84	0.00438153632653
1.86	0.0035771939396
1.88	0.00290980495031
1.9	0.00235824995081
1.92	0.00190423192731
1.94	0.00153198185203
1.96	0.00122797943687
1.98	0.000980691431658
2.0	0.000780329044743
