# mass number (A) = 16
# number of protons (Z) = 8
#relative orbital quantum number l = 1
# k (1/fm)	total two_body (fm^3)
0.0	2.90519015802
0.02	2.90391132482
0.04	2.90006836618
0.06	2.89364216734
0.08	2.88460173754
0.1	2.8729054848
0.12	2.85850294975
0.14	2.84133694947
0.16	2.82134607057
0.18	2.79846744164
0.2	2.77263970708
0.22	2.7438061195
0.24	2.71191766467
0.26	2.67693613284
0.28	2.63883705231
0.3	2.5976124053
0.32	2.55327305314
0.34	2.5058508059
0.36	2.45540008201
0.38	2.40199911476
0.4	2.34575067497
0.42	2.28678229202
0.44	2.22524596857
0.46	2.16131739721
0.48	2.09519469936
0.5	2.02709671839
0.52	1.95726090878
0.54	1.88594087217
0.56	1.81340359785
0.58	1.73992647082
0.6	1.66579411388
0.62	1.59129513187
0.64	1.51671882587
0.66	1.44235194344
0.68	1.36847552728
0.7	1.29536192007
0.72	1.22327197698
0.74	1.15245253043
0.76	1.083134144
0.78	1.01552918433
0.8	0.949830231118
0.82	0.88620883751
0.84	0.82481464474
0.86	0.765774847303
0.88	0.709193998007
0.9	0.655154135877
0.92	0.603715214495
0.94	0.554915803839
0.96	0.508774035159
0.98	0.465288755873
1.0	0.424440859837
1.02	0.386194757714
1.04	0.350499952271
1.06	0.317292684436
1.08	0.286497617511
1.1	0.258029529162
1.12	0.231794983413
1.14	0.207693957913
1.16	0.185621404938
1.18	0.165468727995
1.2	0.147125159294
1.22	0.130479026723
1.24	0.115418902214
1.26	0.101834626435
1.28	0.0896182075814
1.3	0.0786645945579
1.32	0.068872327115
1.34	0.0601440673888
1.36	0.0523870189108
1.38	0.0455132404102
1.4	0.0394398626983
1.42	0.0340892175852
1.44	0.0293888881791
1.46	0.0252716900709
1.48	0.021675592847
1.5	0.0185435911313
1.52	0.0158235339621
1.54	0.0134679207992
1.56	0.0114336718447
1.58	0.00968187969385
1.6	0.00817754861955
1.62	0.00688932706581
1.64	0.00578923819636
1.66	0.00485241263483
1.68	0.00405682685116
1.7	0.00338305000913
1.72	0.00281400149731
1.74	0.00233472082668
1.76	0.00193215109555
1.78	0.00159493679679
1.8	0.00131323637414
1.82	0.00107854962102
1.84	0.00088355975443
1.86	0.000721989784813
1.88	0.000588472635169
1.9	0.000478434336165
1.92	0.000387989532623
1.94	0.000313848476737
1.96	0.000253234649927
1.98	0.000203812144103
2.0	0.000163621940302
2.02	0.000131026244586
2.04	0.000104660074283
2.06	8.3389329399e-05
2.08	6.6274631585e-05
2.1	5.25402644165e-05
2.12	4.15476019424e-05
2.14	3.27724661314e-05
2.16	2.57859066949e-05
2.18	2.0237947907e-05
2.2	1.58438957652e-05
2.22	1.2372844649e-05
2.24	9.6380652089e-06
2.26	7.48899439068e-06
2.28	5.80458418989e-06
2.3	4.48779798775e-06
2.32	3.4610722315e-06
2.34	2.66258695398e-06
2.36	2.04321136797e-06
2.38	1.56401073905e-06
2.4	1.19421816642e-06
2.42	9.09590018918e-07
2.44	6.91076814914e-07
2.46	5.23752525292e-07
2.48	3.95954830129e-07
2.5	2.98596971703e-07
2.52	2.24618702249e-07
2.54	1.68549591618e-07
2.56	1.26162788327e-07
2.58	9.42013520477e-08
2.6	7.01626153422e-08
2.62	5.2128792244e-08
2.64	3.86343220408e-08
2.66	2.8562297462e-08
2.68	2.10638451509e-08
2.7	1.5495560835e-08
2.72	1.13711012294e-08
2.74	8.32384100229e-09
2.76	6.07815102143e-09
2.78	4.42737275304e-09
2.8	3.21697735521e-09
2.82	2.33172673149e-09
2.84	1.68591409832e-09
2.86	1.21596697918e-09
2.88	8.74856992707e-10
2.9	6.27887292576e-10
2.92	4.49527274702e-10
2.94	3.21041007544e-10
2.96	2.2871542571e-10
2.98	1.62540375278e-10
3.0	1.15228067676e-10
3.02	8.1486727798e-11
3.04	5.74840568964e-11
