#k	cm_distr
0.0	663.565171918
0.00394654	663.083119031
0.00789308	661.640094285
0.0118396	659.245499419
0.0157862	655.914149298
0.0197327	651.667126613
0.0236792	646.530357376
0.0276258	640.535180723
0.0315723	633.717209309
0.0355189	626.115759503
0.0394654	617.773851391
0.0434119	608.737354073
0.0473585	599.054130955
0.051305	588.772045445
0.0552516	577.942664665
0.0591981	566.615561431
0.0631446	554.839738755
0.0670912	542.667618463
0.0710377	530.143360246
0.0749843	517.314542611
0.0789308	504.225610151
0.0828773	490.918158444
0.0868239	477.431503861
0.0907704	463.802683563
0.094717	450.067025303
0.0986635	436.255298413
0.10261	422.397987326
0.106557	408.521587856
0.110503	394.652026016
0.11445	380.811524101
0.118396	367.022304409
0.122343	353.298896901
0.126289	339.677199134
0.130236	326.15778091
0.134182	312.763434327
0.138129	299.511253459
0.142075	286.417192776
0.146022	273.496921845
0.149969	260.766680037
0.153915	248.241567117
0.157862	235.937537554
0.161808	223.870545817
0.165755	212.05546375
0.169701	200.508901096
0.173648	189.240829398
0.177594	178.271590603
0.181541	167.61232435
0.185487	157.276648917
0.189434	147.276359217
0.19338	137.623107709
0.197327	128.326581035
0.201274	119.395411703
0.20522	110.837434496
0.209167	102.657179344
0.213113	94.8593756083
0.21706	87.4459606163
0.221006	80.41736172
0.224953	73.772724216
0.228899	67.4946121485
0.232846	61.621202283
0.236792	56.1032921765
0.240739	50.9474915374
0.244685	46.1445125857
0.248632	41.6838424659
0.252579	37.5538856976
0.256525	33.741935686
0.260472	30.2345166027
0.264418	27.0174688564
0.268365	24.0760630533
0.272311	21.3952279182
0.276258	18.959718386
0.280204	16.754067169
0.284151	14.7631004272
0.288097	12.9716927544
0.292044	11.3650349843
0.29599	9.9287424537
0.299937	8.6489319255
0.303884	7.51223013582
0.30783	6.5059475837
0.311777	5.61801585292
0.315723	4.8370531392
0.31967	4.15242977752
0.323616	3.55420841287
0.327563	3.03318673541
0.331509	2.5808775374
0.335456	2.18951726024
0.339402	1.85197909956
0.343349	1.56181659517
0.347296	1.31318756238
0.351242	1.10084298086
0.355189	0.920080270851
0.359135	0.766695144859
0.363082	0.636968787085
0.367028	0.52760546006
0.370975	0.435707718242
0.374921	0.358735952038
0.378868	0.294474484555
0.382814	0.240998238161
0.386761	0.196639144624
0.390707	0.159962726235
0.394654	0.129734762361
0.398601	0.104902599925
0.402547	0.0845678028869
0.406494	0.0679695140143
0.41044	0.0544645117923
0.414387	0.043511341427
0.418333	0.0346561837437
0.42228	0.0275200631221
0.426226	0.0217875084263
0.430173	0.0171970971338
0.434119	0.0135329852212
0.438066	0.0106175396184
0.442012	0.00830508747603
0.445959	0.00647671386815
0.449906	0.00503568343005
0.453852	0.00390350017393
0.457799	0.00301676502832
0.461745	0.00232449206853
0.465692	0.00178565466225
0.469638	0.00136762193162
0.473585	0.00104431230834
0.477531	0.000795038544055
0.481478	0.000603453290899
0.485424	0.000456662203953
0.489371	0.0003445435971
0.493318	0.000259173797242
0.497264	0.000194373011725
0.501211	0.000145338574989
0.505157	0.000108349135614
0.509104	8.05325472887e-05
0.51305	5.96786886941e-05
0.516997	4.40929388046e-05
0.520943	3.24804500052e-05
0.52489	2.38549512061e-05
0.528836	1.7467872964e-05
0.532783	1.27508059792e-05
0.536729	9.28281437753e-06
0.540676	6.73687427837e-06
0.544623	4.8749620973e-06
0.548569	3.51763279254e-06
0.552516	2.53074346738e-06
0.556462	1.81544564461e-06
0.560409	1.29854306918e-06
0.564355	9.24713904509e-07
0.568302	6.57280250711e-07
0.572248	4.63729179045e-07
0.576195	3.28436990776e-07
0.580141	2.31865729127e-07
0.584088	1.62862593439e-07
0.588034	1.14056647492e-07
0.591981	7.96412622704e-08
