#k	cm_distr
0.0	614.355058899
0.00394654	613.947262041
0.00789308	612.727767612
0.0118396	610.704367911
0.0157862	607.889400741
0.0197327	604.301048126
0.0236792	599.960738883
0.0276258	594.893797975
0.0315723	589.132043949
0.0355189	582.705996631
0.0394654	575.648123926
0.0434119	567.995439241
0.0473585	559.784955987
0.051305	551.053038215
0.0552516	541.837348691
0.0591981	532.171654034
0.0631446	522.095565087
0.0670912	511.640056227
0.0710377	500.840257727
0.0749843	489.728702424
0.0789308	478.335455596
0.0828773	466.691231881
0.0868239	454.824603031
0.0907704	442.764140801
0.094717	430.536144194
0.0986635	418.166977144
0.10261	405.682808784
0.106557	393.110522535
0.110503	380.472780994
0.11445	367.796337713
0.118396	355.106907271
0.122343	342.42643797
0.126289	329.780059967
0.130236	317.192643676
0.134182	304.685877655
0.138129	292.281385528
0.142075	280.002024698
0.146022	267.868379815
0.149969	255.899931622
0.153915	244.115316695
0.157862	232.531418342
0.161808	221.164600388
0.165755	210.030382489
0.169701	199.141751806
0.173648	188.511825373
0.177594	178.151187726
0.181541	168.071137694
0.185487	158.280181869
0.189434	148.786891776
0.19338	139.600423364
0.197327	130.721166249
0.201274	122.161003682
0.20522	113.92246816
0.209167	106.009715574
0.213113	98.4259277797
0.21706	91.1735074007
0.221006	84.2538830253
0.224953	77.6677689471
0.228899	71.4147755514
0.232846	65.4937339938
0.236792	59.9022416492
0.240739	54.6371166634
0.244685	49.6937096327
0.248632	45.0667282888
0.252579	40.7492245005
0.256525	36.733860522
0.260472	33.0117920964
0.264418	29.5734671667
0.268365	26.408327171
0.272311	23.5050537983
0.276258	20.8518092513
0.280204	18.4358726057
0.284151	16.2444450143
0.288097	14.2642016496
0.292044	12.4817202808
0.29599	10.8835332217
0.299937	9.45625070925
0.303884	8.1866907749
0.30783	7.0619441805
0.311777	6.06954325141
0.315723	5.19746837
0.31967	4.43427719798
0.323616	3.7691150661
0.327563	3.19178185802
0.331509	2.69275733529
0.335456	2.26320373477
0.339402	1.89499563911
0.343349	1.58067646977
0.347296	1.31348446131
0.351242	1.08729876469
0.355189	0.896625810771
0.359135	0.736559699443
0.363082	0.602751679805
0.367028	0.491356902812
0.370975	0.399009226176
0.374921	0.322771018988
0.378868	0.260094524918
0.382814	0.208779978617
0.386761	0.166943592366
0.390707	0.132975672482
0.394654	0.10551035923
0.398601	0.0833948472536
0.402547	0.0656604242066
0.406494	0.0514978600798
0.41044	0.0402342381075
0.414387	0.0313129675258
0.418333	0.0242758937589
0.42228	0.0187477852541
0.426226	0.0144227294317
0.430173	0.0110527754117
0.434119	0.00843763519545
0.438066	0.00641618356861
0.442012	0.00486074504902
0.445959	0.00366808014753
0.449906	0.00275743794313
0.453852	0.0020649287461
0.457799	0.00154042081583
0.461745	0.00114474617315
0.465692	0.000847455769449
0.469638	0.000624975309898
0.473585	0.000459145301661
0.477531	0.000336031300096
0.481478	0.00024499318385
0.485424	0.000177939497
0.489371	0.00012874789699
0.493318	9.28018376608e-05
0.497264	6.66383574382e-05
0.501211	4.76699008361e-05
0.505157	3.3971874475e-05
0.509104	2.41185218341e-05
0.51305	1.70585387149e-05
0.516997	1.20196565692e-05
0.520943	8.43729103568e-06
0.52489	5.90038547794e-06
0.528836	4.11074428719e-06
0.532783	2.8531689051e-06
0.536729	1.97289782632e-06
0.540676	1.35910316342e-06
0.544623	9.32765833352e-07
0.548569	6.37774157172e-07
0.552516	4.34457292812e-07
0.556462	2.94839856266e-07
0.560409	1.99348961962e-07
0.564355	1.34283284798e-07
0.568302	9.01183654963e-08
0.572248	6.02544664457e-08
0.576195	4.01376006416e-08
0.580141	2.66379986216e-08
0.584088	1.76133372504e-08
0.588034	1.16030284408e-08
0.591981	7.61542451913e-09
